"","Transcriptomics","Final"
"4259",0,0
"4056",1,1
"2954",0,0
"2548",0,0
"56922",2,1
"64087",0,0
"23417",0,0
"4357",0,0
"4190",2,1
"4191",2,1
"4200",2,1
"4199",1,1
"10873",0,0
"3620",0,0
"1545",0,0
"1543",0,0
"1557",0,0
"1544",1,1
"27430",2,1
"4144",2,1
"4143",0,0
"4548",2,1
"4598",0,0
"8867",0,0
"3635",0,0
"3632",0,0
"3636",0,0
"27124",0,0
"3633",1,1
"56623",2,1
"3628",2,1
"3706",0,0
"3707",1,1
"80271",0,0
"51477",0,0
"8821",2,1
"3631",0,0
"2595",0,0
"84693",0,0
"4594",0,0
"80168",0,0
"116255",0,0
"4507",0,0
"10797",2,1
"56913",2,1
"91703",0,0
"443",0,0
"4668",0,0
"9498",0,0
"57282",-1,0
"6528",0,0
"482",0,0
"476",2,1
"480",0,0
"483",2,1
"23439",0,0
"477",0,0
"481",2,1
"478",0,0
"6549",0,0
"6550",1,1
"6548",0,0
"84735",0,0
"55748",2,1
"6559",0,0
"57419",0,0
"123041",0,0
"9187",0,0
"25769",0,0
"124583",2,1
"79077",2,1
"9583",1,1
"1841",0,0
"4832",0,0
"4830",2,1
"29922",0,0
"10201",0,0
"4831",2,1
"4833",0,0
"57127",1,1
"6005",0,0
"6557",0,0
"6558",2,1
"349565",1,1
"64802",0,0
"23057",0,0
"10135",2,1
"4837",1,1
"5409",0,0
"4843",1,1
"4846",0,0
"4842",0,0
"4860",2,1
"6580",1,1
"55808",0,0
"30833",0,0
"5251",0,0
"56953",1,1
"4907",2,1
"6476",0,0
"5009",0,0
"5019",2,1
"64064",1,1
"1629",0,0
"594",0,0
"593",2,1
"26873",1,1
"4942",2,1
"7372",0,0
"10861",0,0
"1811",0,0
"1836",2,1
"1583",0,0
"1584",0,0
"1585",0,0
"1586",0,0
"1588",0,0
"1576",0,0
"1593",0,0
"1548",1,1
"1553",0,0
"1562",0,0
"1558",0,0
"1559",0,0
"1565",1,1
"1572",0,0
"51302",0,0
"64816",0,0
"1577",0,0
"1551",0,0
"10858",1,1
"66002",0,0
"8529",0,0
"4051",0,0
"9420",0,0
"1582",0,0
"5831",2,1
"5050",1,1
"5051",1,1
"5049",1,1
"5048",2,1
"7941",0,0
"347734",2,1
"57194",0,0
"5337",0,0
"5338",0,0
"130013",0,0
"5091",0,0
"5244",0,0
"5136",0,0
"5142",2,1
"5137",0,0
"5151",2,1
"50940",0,0
"5139",0,0
"5140",1,1
"27115",1,1
"5144",0,0
"5153",0,0
"5150",0,0
"5138",0,0
"8622",0,0
"5141",0,0
"5143",0,0
"10846",0,0
"5152",0,0
"5148",0,0
"8654",0,0
"5145",0,0
"5147",1,1
"5146",0,0
"5158",0,0
"5149",0,0
"1737",2,1
"5162",2,1
"5160",2,1
"5161",0,0
"55163",2,1
"10396",0,0
"5105",0,0
"5106",0,0
"8310",0,0
"5833",0,0
"10400",0,0
"26227",0,0
"5730",0,0
"27306",0,0
"9536",1,1
"80142",0,0
"5740",0,0
"114971",0,0
"9489",0,0
"5743",0,0
"5742",0,0
"6898",0,0
"5053",0,0
"5264",0,0
"5728",0,0
"8871",0,0
"8395",0,0
"8394",2,1
"23396",0,0
"5297",2,1
"55361",0,0
"5298",0,0
"5295",1,1
"23533",0,0
"5290",0,0
"5293",2,1
"5296",1,1
"8503",0,0
"5291",0,0
"5294",1,1
"10870",2,1
"4952",0,0
"23236",0,0
"5336",0,0
"5335",0,0
"5334",0,0
"5331",0,0
"257068",1,1
"84812",0,0
"5330",0,0
"23007",0,0
"51196",0,0
"5332",0,0
"113026",0,0
"5333",0,0
"89869",0,0
"5288",0,0
"5286",0,0
"5287",0,0
"200576",1,1
"5305",2,1
"79837",2,1
"5289",0,0
"5277",1,1
"51227",2,1
"8818",0,0
"9091",0,0
"5279",0,0
"5283",2,1
"123745",-1,0
"8398",0,0
"64600",1,1
"81579",2,1
"100137049",1,1
"5322",0,0
"5320",0,0
"30814",0,0
"26279",0,0
"5319",0,0
"10654",0,0
"117283",0,0
"9807",2,1
"51447",2,1
"8876",0,0
"8875",0,0
"55350",0,0
"27068",1,1
"8613",0,0
"8611",2,1
"8612",1,1
"5498",0,0
"8288",0,0
"9588",2,1
"4353",0,0
"5625",0,0
"6578",0,0
"23761",2,1
"9791",2,1
"81490",1,1
"10005",0,0
"10965",0,0
"122970",0,0
"5805",2,1
"6303",2,1
"112483",0,0
"8566",0,0
"151531",0,0
"7378",1,1
"2944",1,1
"64080",0,0
"5959",1,1
"8608",1,1
"112724",1,1
"157506",2,1
"51109",2,1
"57665",2,1
"195814",0,0
"145226",0,0
"50700",0,0
"8228",0,0
"113278",0,0
"54981",0,0
"6482",1,1
"6484",0,0
"6483",1,1
"10090",0,0
"9653",0,0
"3423",1,1
"222537",0,0
"9957",0,0
"9951",0,0
"9956",0,0
"9955",0,0
"9953",0,0
"55501",1,1
"113189",0,0
"50515",2,1
"166012",0,0
"411",0,0
"23563",0,0
"4166",0,0
"10164",0,0
"9435",1,1
"8534",0,0
"9469",0,0
"56548",2,1
"266722",0,0
"9394",0,0
"90161",0,0
"2799",0,0
"10157",0,0
"118881",1,1
"3176",0,0
"1757",1,1
"81537",1,1
"6652",1,1
"6342",2,1
"9056",1,1
"55304",0,0
"9517",0,0
"10558",2,1
"2098",2,1
"8879",2,1
"8869",0,0
"56848",0,0
"8877",1,1
"130752",0,0
"339221",0,0
"55627",2,1
"55512",0,0
"6609",0,0
"6610",0,0
"259230",2,1
"116369",0,0
"115111",0,0
"115019",0,0
"284129",2,1
"26266",0,0
"6646",2,1
"6649",0,0
"6648",2,1
"6647",2,1
"6697",0,0
"6723",2,1
"6611",2,1
