"","GSM1079349","GSM1079350","GSM1079351","GSM1079352","GSM1079353","GSM1079354","GSM1079355","GSM1079356","GSM1079357","GSM1079358"
"2820",1,1,1,0,1,0,1,0,0,0
"5832",1,1,1,1,1,1,1,1,1,1
"9563",0,1,1,0,0,0,1,1,1,1
"2539",1,1,0,0,1,1,1,1,0,0
"2542",1,0,1,0,0,0,1,1,0,1
"2593",0,1,0,0,0,0,1,1,1,1
"9514",1,1,1,0,1,0,1,0,0,0
"5476",1,0,0,0,1,1,1,1,0,0
"2720",0,0,0,0,0,1,1,1,1,1
"2588",0,0,0,0,1,1,0,1,0,1
"2581",1,0,0,0,1,1,1,0,0,0
"2583",1,1,0,0,0,1,0,0,0,1
"55454",1,1,1,1,1,1,1,1,1,1
"55790",0,0,0,0,0,0,1,1,1,0
"79586",0,0,1,1,0,1,1,0,1,0
"337876",0,0,0,0,0,0,0,0,0,0
"22856",1,1,1,1,1,1,1,1,1,1
"63917",1,1,1,1,1,1,1,1,1,1
"11226",1,0,0,1,1,0,0,0,1,0
"55568",0,0,0,0,0,1,1,0,0,1
"2589",1,1,1,1,1,1,1,1,1,1
"51809",1,1,1,1,1,1,1,1,1,1
"8693",0,0,1,1,0,1,1,1,1,0
"2591",1,0,0,0,0,1,1,0,0,0
"117248",0,0,0,0,0,0,0,0,0,0
"26290",1,1,1,0,0,1,0,1,0,1
"114805",0,0,0,0,0,0,0,0,0,0
"79695",0,0,0,0,0,0,0,0,0,0
"50614",1,0,1,1,0,0,0,0,0,1
"79623",1,0,1,0,1,0,0,1,0,1
"2590",1,1,0,1,1,1,0,0,0,0
"11227",0,0,0,1,0,0,1,0,1,1
"81031",0,0,0,0,0,0,0,0,0,0
"126792",1,1,1,1,1,1,1,1,1,1
"11285",0,0,0,1,1,0,0,0,1,1
"8972",0,0,0,0,0,0,0,0,0,0
"175",1,0,1,1,1,1,0,1,0,0
"26301",0,0,0,0,1,1,1,0,1,1
"4329",0,0,0,0,0,0,0,0,0,0
"7915",0,0,0,1,1,0,0,0,0,0
"2731",0,1,1,1,0,0,0,1,0,1
"275",1,0,1,1,1,1,1,0,0,1
"2653",0,0,1,1,1,0,0,0,1,1
"2651",0,0,0,0,0,0,0,0,0,0
"55343",1,0,1,0,1,0,1,1,0,0
"8836",0,0,0,0,0,0,0,0,0,0
"79017",1,1,1,1,1,1,1,1,1,1
"8908",0,0,1,0,0,0,1,1,0,1
"2992",1,1,1,1,1,1,1,1,1,1
"2997",1,1,0,1,0,1,1,0,1,1
"2998",0,0,0,0,0,0,0,0,0,0
"2687",0,0,0,1,1,1,1,0,1,1
"6472",1,1,1,1,1,1,1,1,1,1
"6470",0,0,1,0,0,0,0,1,0,1
"2717",1,1,1,1,1,1,1,1,1,1
"2632",1,1,1,1,1,1,1,1,1,1
"2990",1,1,1,1,1,1,1,1,1,1
"8372",0,1,1,1,1,0,1,0,0,1
"26035",0,0,0,0,0,0,0,0,0,0
"54480",1,1,1,1,1,1,1,1,1,1
"2131",1,0,0,0,0,1,1,0,0,0
"2132",0,1,0,0,1,1,1,0,0,0
"27087",1,1,1,0,0,0,0,1,0,1
"26229",0,0,1,1,1,0,0,1,1,0
"135152",0,0,0,0,0,0,0,0,0,0
"4669",0,0,0,0,1,1,1,0,0,1
"64579",0,0,0,0,0,0,0,0,0,0
"9348",0,0,0,0,0,0,0,0,0,0
"8509",1,1,1,1,1,1,1,1,1,1
"3340",0,1,1,0,1,1,1,0,0,1
"2137",1,0,1,1,0,1,0,0,1,1
"2135",1,1,1,0,1,1,1,1,0,1
"2134",1,0,1,1,0,1,1,0,0,1
"144195",1,1,1,1,1,1,1,1,1,1
"154091",0,0,0,0,0,0,0,0,0,0
"11182",1,1,1,0,1,0,0,1,0,1
"56606",1,1,0,0,1,0,0,0,0,1
