"","x"
"80271",0
"94005",2
"27115",0
"128869",1
"51477",0
"10026",1
"5138",2
"51604",1
"3631",2
"5139",0
"8821",2
"50940",0
"2595",0
"84693",1
"8733",2
"5136",0
"4594",2
"3028",3
"5152",0
"3033",3
"3037",0
"80168",0
"116255",0
"5146",0
"4507",2
"3038",0
"3036",0
"27235",0
"6521",0
"83697",0
"10797",2
"56913",1
"443",0
"91703",2
"6522",1
"6508",0
"5145",0
"4668",1
"9498",0
"57282",1
"6528",0
"3098",3
"80201",0
"8654",0
"2645",0
"483",3
"3101",0
"5149",1
"478",0
"480",0
"481",0
"3099",0
"5147",2
"482",0
"476",3
"477",0
"23439",0
"3081",1
"11112",2
"3067",1
"6549",0
"6550",0
"5148",0
"496",0
"6548",0
"495",2
"55748",3
"5158",0
"84735",0
"6559",0
"8942",0
"5162",3
"3157",1
"5161",0
"123041",0
"1737",3
"3158",0
"5160",3
"55163",1
"25769",0
"54511",0
"10396",0
"57419",0
"9187",0
"5105",0
"124583",1
"3155",1
"5106",1
"3162",0
"3163",3
"79077",2
"8310",0
"9583",1
"26062",0
"197257",0
"5833",0
"1841",2
"10400",0
"6448",1
"29922",0
"26227",0
"10201",0
"5730",1
"4830",1
"27306",1
"80142",1
"4831",3
"4832",0
"200576",1
"8396",2
"9536",1
"4833",2
"6005",2
"79837",2
"5740",2
"5289",0
"57127",0
"6557",0
"5277",0
"114971",1
"6558",1
"349565",0
"9489",0
"64802",0
"23057",0
"8818",0
"5743",0
"5742",0
"10135",0
"6898",0
"5053",0
"5283",0
"5264",0
"4837",0
"5409",0
"5728",2
"645740",0
"8871",0
"51227",0
"8395",0
"9091",0
"4842",0
"23396",0
"4843",0
"5279",1
"8394",2
"55361",1
"201288",0
"4846",0
"5297",2
"4860",3
"5298",2
"5294",1
"123745",0
"5290",0
"6580",0
"5295",3
"10870",1
"55808",0
"5251",0
"5320",1
"8503",0
"30833",0
"81579",0
"56953",0
"23533",2
"8398",0
"5296",0
"5322",0
"4907",0
"5291",1
"5293",2
"6476",0
"5009",0
"4952",0
"64600",0
"64064",0
"23236",1
"100137049",0
"30814",0
"26279",2
"5335",3
"8399",0
"5332",1
"257068",0
"5319",0
"6489",0
"5336",0
"23007",0
"29906",0
"5334",0
"10654",2
"9651",0
"9807",1
"412",0
"51196",0
"117283",0
"5331",0
"84812",0
"5330",1
"6391",1
"113026",0
"6392",2
"6390",3
"51447",1
"5333",1
"6389",2
"6821",1
"89869",0
"6533",0
"5288",0
"55350",0
"5092",0
"5287",1
"23530",3
"5286",0
"8876",0
"79178",0
"5305",3
"8875",1
"64499",3
"6567",0
"7177",3
"1890",1
"27068",2
"1636",0
"9365",0
"9331",0
"55217",1
"7368",1
"7296",3
"8613",0
"5315",3
"8611",0
"26063",2
"8612",0
"1666",3
"874",2
"5498",1
"11181",0
"10901",1
"126410",1
"80162",1
"7166",0
"8288",1
"2053",1
"9588",3
"121278",0
"8897",1
"4353",1
"8898",1
"169355",0
"6999",0
"2880",0
"5625",1
"9152",0
"6578",0
"6561",0
"9497",2
"115584",0
"6575",0
"6916",0
"23761",2
"6574",3
"7054",0
"142680",0
"9791",1
"6534",1
"81490",0
"10005",0
"3293",0
"1622",3
"225",0
"10965",1
"28965",0
"122970",0
"10020",1
"23205",1
"5805",0
"26061",2
"112483",1
"6303",1
"29880",2
"54716",0
"7355",0
"6564",0
"8566",1
"113235",1
"151531",0
"1200",3
"2168",1
"7358",1
"23169",2
"51056",3
"7378",2
"9390",0
"80146",2
"5184",2
"4891",0
"5168",2
"2944",0
"30061",0
"84912",0
"248",0
"64080",0
"4524",0
"3906",0
"65263",0
"8608",0
"25796",1
"5959",0
"7357",2
"28982",2
"6120",2
"11046",0
"54576",0
"54575",0
"51109",3
"157506",2
"54578",0
"54579",0
"10864",0
"9356",1
"54657",0
"195814",0
"9376",0
"112724",1
"50700",0
"54658",0
"348932",0
"54659",0
"54577",0
"57665",2
"120103",0
"1080",0
"85320",0
"145226",0
