"","ImmProt_mTregs_01","ImmProt_mTregs_02","ImmProt_mTregs_03","ImmProt_mTregs_04","ImmProt_mTregs_01_activated","ImmProt_mTregs_02_activated","ImmProt_mTregs_03_activated","ImmProt_nTregs_01","ImmProt_nTregs_02","ImmProt_nTregs_03","ImmProt_nTregs_04","ImmProt_nTregs_01_activated","ImmProt_nTregs_02_activated","ImmProt_nTregs_03_activated"
"79948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23175",0,1,0,1,1,1,1,1,1,0,1,1,1,0
"64900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122618",1,0,1,0,1,1,1,0,0,1,1,1,0,0
"201164",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23646",0,1,1,0,1,0,1,0,1,1,1,1,0,1
"590",1,0,0,0,0,0,0,1,0,1,0,0,1,0
"91012",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"204219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253782",1,1,1,0,1,1,1,0,1,1,0,0,1,1
"29956",0,1,1,0,1,0,0,1,1,0,0,1,0,1
"79603",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145173",1,0,1,0,0,0,0,0,1,1,0,0,0,0
"644974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56886",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"152586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55830",1,1,0,0,1,1,1,0,1,1,1,0,1,1
"170384",0,1,1,1,1,1,1,0,0,0,0,1,0,1
"283358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
