"","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"84002",1,0,0,1,0,1
"3141",1,1,0,0,0,1
"140679",0,0,1,0,0,0
"8424",1,1,1,1,1,1
"53630",1,1,1,1,1,1
"635",1,1,1,1,1,1
"23743",1,1,1,1,1,1
"10599",1,1,1,1,1,1
"1244",0,0,1,0,0,1
"8714",0,0,1,0,0,0
"28234",1,1,1,1,1,1
"645",1,1,1,1,1,0
"644",1,1,1,1,1,1
"9488",1,1,1,1,0,1
"10380",0,0,1,0,1,0
"686",0,1,0,1,0,1
"8884",0,1,0,1,0,1
"80704",1,1,1,1,1,1
"51733",0,1,0,0,1,1
"7108",0,1,1,1,1,0
"50814",1,1,0,1,1,1
"3295",1,1,0,1,1,0
"6307",1,1,1,1,1,1
"493",1,1,1,1,1,1
"492",1,1,1,1,1,1
"491",0,0,0,0,0,1
"490",1,1,1,1,1,1
"847",1,1,1,1,1,1
"6543",1,1,1,1,1,1
"6547",0,0,0,0,1,0
"6546",0,0,1,0,0,0
"166785",1,0,1,0,0,1
"2538",1,1,1,1,1,1
"92579",1,1,0,0,0,0
"1373",0,1,0,0,1,1
"873",1,1,1,1,1,1
"10423",1,1,1,1,1,1
"8760",1,1,1,1,1,1
"1040",0,0,0,0,0,1
"56994",0,1,0,0,1,1
"10390",0,1,1,0,0,1
"64781",1,1,1,1,1,1
"10087",0,1,0,0,1,1
"6565",0,0,1,0,0,0
"9023",1,1,1,1,1,1
"1103",1,1,1,1,1,1
"162466",1,1,0,0,0,0
"9468",1,1,1,1,1,1
"5130",0,0,1,0,0,1
"6579",1,1,1,1,1,1
"6555",1,1,1,1,1,1
"6554",1,0,0,1,1,0
"55349",1,1,0,1,0,1
"1120",0,0,1,1,1,1
"1119",0,1,1,0,0,0
"60482",0,0,1,0,0,0
"6582",0,0,0,0,1,0
"6584",0,1,1,0,0,1
"6820",0,0,1,0,1,0
"10948",1,1,1,1,1,1
"19",0,0,0,1,1,1
"1118",0,0,0,0,1,0
"27159",0,0,0,0,0,1
"54682",0,0,0,1,1,0
"9058",1,0,0,0,0,0
"6576",1,1,1,1,1,1
"1159",1,1,1,1,1,1
"548596",1,1,1,1,1,1
"1160",0,1,1,1,0,0
"1158",0,0,0,0,0,1
"1152",1,1,1,0,0,0
"5172",1,1,1,1,1,1
"65010",1,1,1,0,1,1
"54675",1,1,0,1,1,0
"10559",1,1,1,1,0,1
"55907",1,1,1,1,1,1
"8034",1,1,0,1,0,1
"8824",1,1,0,0,1,1
"51805",1,1,0,1,0,0
"51004",0,1,0,0,1,1
"10229",1,0,1,1,1,0
"2650",0,1,0,0,1,0
"9245",0,0,1,0,0,1
"51301",1,0,0,0,1,1
"192134",0,0,1,1,0,0
"386757",1,1,1,1,1,1
"6535",0,0,1,1,0,0
"1384",1,1,1,1,1,0
"6583",1,0,1,0,0,0
"1431",1,1,1,1,1,1
"54677",1,0,1,1,1,0
"8140",0,0,0,1,1,0
"23428",0,1,0,0,1,0
"1036",1,1,0,1,0,0
"23657",0,0,1,0,1,0
"57379",1,1,1,1,1,1
"978",1,0,1,0,0,1
"7371",1,0,0,0,1,1
"83549",1,1,1,1,1,1
"51727",1,1,1,1,1,1
"129607",1,1,1,1,0,0
"160851",1,1,0,1,1,1
"8526",0,0,1,0,1,1
"1606",1,1,1,1,1,1
"8527",0,0,1,1,0,1
"1607",1,1,1,1,1,1
"1608",1,1,1,1,1,1
"1609",0,0,1,1,0,1
"8525",0,1,1,1,1,0
"9162",0,0,0,0,1,0
"1610",1,1,1,1,1,1
"51022",1,0,0,0,1,1
"2745",1,1,1,1,1,1
"8528",0,0,0,0,0,1
"10455",1,1,0,0,0,0
"1632",1,1,1,1,1,1
"1633",1,1,1,1,1,1
"1638",1,1,1,1,1,1
"6319",1,0,1,1,0,0
"9415",1,1,1,0,0,0
"3992",1,0,1,0,0,1
"8694",0,1,0,1,1,0
"84649",1,1,0,1,0,0
"1716",1,1,1,1,1,1
"6513",1,1,1,1,1,1
"6517",0,1,0,0,0,0
"6515",1,1,1,1,1,1
"1718",1,1,1,0,0,0
"1581",1,1,1,1,1,1
"1717",1,1,0,1,0,1
"8560",1,1,1,1,1,1
"123099",1,0,0,1,0,0
"11309",0,0,0,0,0,1
"6783",0,0,1,0,0,0
"1723",0,1,1,1,0,0
"1809",1,1,1,1,1,1
"1808",0,0,1,0,1,0
"1807",0,0,0,0,0,1
"23539",1,1,1,1,1,1
"2224",1,1,1,1,1,1
"29958",0,1,1,0,1,1
"60386",1,0,1,0,0,1
"84920",0,0,1,0,1,0
"79087",1,1,1,0,0,0
"26002",1,1,1,1,1,1
"1621",1,0,0,0,0,0
"7299",1,1,1,1,1,1
"6530",1,0,0,0,0,0
