"","GSM663128","GSM663132","GSM1511438","GSM1511439","GSM1511440","GSM1511441","GSM1511442","GSM1511443","GSM1906878","GSM1906879","GSM1906880"
"11254",0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0,0,0,0,0
"2875",0,1,1,1,0,0,0,0,1,0,1
"84706",0,1,1,0,0,1,0,0,0,1,1
"92745",1,0,1,1,1,0,0,0,1,1,0
"10991",1,0,1,0,0,0,0,0,0,1,0
"284273",0,1,0,0,0,1,1,1,1,1,0
"10327",1,1,0,1,1,1,1,1,1,1,1
"8854",0,0,0,0,0,0,0,0,0,0,0
"224",0,1,0,0,0,1,1,1,0,1,0
"223",1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0,0,0,0,0
"217",0,1,0,0,1,1,1,1,1,0,1
"219",0,1,1,1,0,0,1,0,1,0,1
"239",1,0,1,1,0,0,0,1,1,0,0
"247",1,0,1,1,1,0,0,0,1,0,0
"246",0,0,0,0,0,0,1,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1
"8574",0,1,0,1,1,1,0,0,1,0,0
"23600",1,0,0,1,1,1,0,1,1,0,0
"115286",1,1,1,1,1,1,1,1,1,1,1
"271",1,1,1,1,1,1,1,1,1,1,1
"272",0,1,1,0,0,1,1,0,1,0,0
"270",0,0,0,0,0,0,0,0,0,0,0
"290",0,1,1,0,0,1,1,0,1,0,1
"278",1,1,1,0,1,1,1,1,1,1,1
"277",1,1,1,0,1,1,1,1,1,1,1
"279",1,1,1,0,1,1,1,1,1,1,1
"280",1,1,1,0,1,1,1,1,1,1,1
"6519",1,0,1,0,0,1,1,0,1,1,0
"276",1,1,1,0,1,1,1,1,1,1,1
"11136",0,0,0,0,0,0,0,0,0,0,0
"10998",1,0,1,0,1,0,0,0,1,1,0
"113451",1,0,1,1,0,1,1,0,1,0,0
"9057",1,1,1,1,1,1,1,1,1,1,1
"384",0,1,0,0,1,0,1,0,0,1,0
"445",0,1,1,1,1,0,0,0,1,1,0
"83884",0,1,0,1,0,0,0,0,1,1,0
"10166",0,1,0,1,0,0,1,1,1,0,0
"410",1,0,0,1,1,0,1,1,1,1,0
"427",1,1,1,1,1,1,1,1,1,1,1
"9963",0,1,0,0,0,1,1,1,1,0,1
"9962",0,1,0,1,0,1,0,1,1,0,1
"80150",0,1,0,0,1,1,0,1,1,0,1
"440",1,1,0,1,1,1,1,1,1,1,1
"790",1,0,0,1,1,0,1,1,1,0,0
"6505",0,0,0,0,0,0,1,1,0,0,0
"6512",1,0,1,0,0,0,0,0,1,1,0
"6511",0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,1,0,1,0,0,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,0,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1
"90423",1,0,0,0,0,1,1,1,1,1,0
"528",0,1,0,0,1,1,1,1,1,0,1
"525",0,1,1,1,0,0,0,0,0,1,1
"10312",1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0
"245973",0,0,0,0,0,0,1,0,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,1,1,1
"23545",0,1,0,1,0,1,1,1,1,1,0
"8992",1,1,1,1,1,1,1,1,1,1,1
"535",0,1,1,1,0,1,0,0,0,1,0
"527",1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,1,1,1,1
"523",1,0,0,0,1,1,0,1,1,0,1
"529",1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1
"51382",0,1,0,1,0,1,1,1,1,0,0
"245972",0,0,0,0,0,0,0,0,0,0,0
"957",0,1,0,1,0,0,0,1,0,1,0
"956",0,0,0,0,0,0,0,0,0,0,0
"955",0,1,0,1,1,1,1,0,1,0,0
"953",1,0,0,0,0,1,0,1,0,1,1
"954",1,0,1,1,1,1,0,0,0,0,1
"377841",0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1
"291",0,1,0,1,0,0,1,0,0,1,0
"292",1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,0,1,0,1,0,0,1,0,1
"8706",0,0,0,0,0,0,0,0,0,0,0
"10317",1,0,1,1,0,1,0,1,0,1,1
"84002",0,0,0,0,0,1,0,0,0,0,0
"3141",1,0,1,0,0,1,0,1,1,0,0
"140679",1,0,1,1,0,0,0,0,1,1,0
"8424",0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,0,0,0,0,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,0,0,0,1,1,1,0,1,1
"8714",1,0,1,1,1,0,0,0,0,1,1
"28234",0,0,0,0,0,0,0,0,0,0,0
"645",1,0,0,1,0,1,1,1,1,0,1
"644",1,1,0,0,1,1,1,0,1,1,1
"9488",1,1,1,1,1,1,1,1,1,1,1
"10380",0,1,0,0,1,1,1,1,1,0,0
"686",1,0,0,1,0,1,0,1,0,1,0
"8884",1,1,1,1,1,0,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0
"51733",1,0,1,1,0,0,0,0,0,1,0
"7108",1,0,1,0,1,0,0,0,1,0,0
"50814",1,0,0,0,1,1,1,0,1,0,0
"3295",1,0,1,0,0,0,1,1,1,0,1
"6307",1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0,0,0,0,0
"491",0,1,1,0,0,0,0,0,0,1,0
"490",1,1,1,1,1,1,1,1,1,1,1
"847",1,1,1,1,1,1,1,1,1,1,1
"6543",1,0,1,0,1,0,1,0,1,0,0
"6547",0,0,0,0,0,0,0,0,0,0,0
"6546",0,0,0,0,0,0,0,0,0,0,0
"166785",1,0,0,1,0,1,1,1,1,0,0
"2538",0,0,0,0,0,0,0,0,0,0,0
"92579",0,1,0,0,1,1,0,0,1,0,0
"1373",0,0,0,0,0,0,0,0,0,0,0
"873",0,1,0,0,0,0,1,1,1,0,0
"10423",1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1
"1040",1,0,1,0,0,1,0,0,0,1,0
"56994",1,0,0,1,0,0,1,1,1,1,0
"10390",1,1,0,1,1,1,0,0,1,1,1
"64781",1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1,1,1,1,1
"6565",0,0,0,0,0,0,0,0,0,0,0
"9023",0,0,0,0,0,0,1,0,0,0,0
"1103",0,1,1,0,1,0,0,0,1,1,0
"162466",0,1,1,1,0,0,1,1,0,1,0
"9468",0,0,0,0,0,0,0,0,0,0,0
"5130",1,1,1,1,1,1,1,1,1,1,1
"6579",0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0
"6554",0,1,0,1,0,1,0,1,1,0,1
"55349",0,1,1,0,1,0,0,1,0,1,0
"1120",1,0,0,1,1,1,1,0,1,1,1
"1119",0,1,1,1,0,1,0,1,1,1,0
"60482",0,0,0,0,0,0,0,0,0,0,0
"6582",1,0,1,1,0,0,0,0,0,1,0
"6584",1,0,1,0,1,1,0,1,0,1,0
"6820",1,0,1,0,1,0,0,0,1,0,0
"10948",1,1,1,1,1,0,0,0,1,1,1
"19",0,0,0,1,0,0,0,0,0,0,0
"1118",0,1,1,1,1,0,0,0,1,0,1
"27159",1,0,1,1,0,0,0,1,0,1,0
"54682",0,0,0,0,0,0,0,0,0,0,0
"9058",1,0,1,0,0,0,0,0,0,1,1
"6576",1,1,1,1,1,0,1,0,1,1,1
"1159",1,0,1,0,0,0,0,0,1,1,0
"548596",1,0,1,0,0,0,0,0,1,1,0
"1160",1,0,1,0,0,0,0,0,0,0,0
"1158",0,0,0,0,0,0,0,0,0,0,0
"1152",1,0,0,0,1,1,0,0,1,0,0
"5172",0,0,0,0,0,0,0,0,0,0,0
"65010",1,0,1,1,1,0,0,0,0,1,1
"54675",1,0,0,0,1,1,0,1,1,0,1
"10559",0,1,0,1,0,1,1,1,0,1,0
"55907",1,0,1,0,0,0,1,1,1,1,0
"8034",0,1,0,1,1,1,1,1,1,0,1
"8824",1,1,0,1,1,1,1,1,1,1,1
"51805",0,1,0,0,0,1,1,1,0,1,0
"51004",1,0,0,0,1,1,1,1,0,1,1
"10229",0,1,0,1,1,1,0,1,0,1,0
"2650",0,1,1,0,0,1,1,0,0,1,0
"9245",1,0,1,1,0,0,1,0,0,1,0
"51301",0,1,0,0,0,1,0,0,0,1,0
"192134",1,0,1,1,0,0,1,0,1,0,0
"386757",1,0,0,0,1,0,1,1,1,1,0
"6535",1,0,0,0,1,0,1,1,1,0,0
"1384",0,1,1,1,0,1,0,0,1,0,1
"6583",0,0,0,0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1,1,1,1
"54677",0,1,0,1,1,1,0,0,1,1,0
"8140",1,1,1,1,1,1,1,1,1,1,1
"23428",1,0,1,0,0,0,1,1,0,1,0
"1036",1,0,0,0,1,0,1,0,0,1,0
"23657",0,0,0,0,0,0,0,0,0,0,0
"57379",0,0,0,0,0,0,0,0,0,0,0
"978",0,1,0,0,1,0,1,0,0,1,0
"7371",0,1,0,1,1,0,0,1,1,0,0
"83549",1,1,1,0,1,1,1,1,1,1,1
"51727",1,1,1,1,1,1,1,1,1,1,1
"129607",1,1,1,0,1,0,1,1,1,1,1
"160851",1,0,0,1,0,1,1,1,1,0,0
"8526",1,0,0,0,0,1,1,1,0,1,0
"1606",1,1,1,1,1,1,1,1,1,1,1
"8527",1,1,1,1,1,1,1,1,1,1,1
"1607",0,0,0,0,0,0,0,0,0,0,0
"1608",0,0,0,1,0,0,0,0,0,0,0
"1609",1,0,1,1,1,0,0,0,1,0,1
"8525",1,0,0,1,1,0,0,0,0,1,0
"9162",0,0,0,0,0,0,0,0,0,0,0
"1610",0,0,0,0,0,0,0,0,0,0,0
"51022",0,1,0,0,1,1,1,0,0,1,0
"2745",1,1,1,1,1,1,1,1,1,1,1
"8528",1,0,0,1,1,0,0,1,0,0,1
"10455",1,0,0,0,1,0,1,1,1,0,0
"1632",0,1,0,0,1,0,1,1,0,1,0
"1633",1,1,0,1,1,1,1,1,1,1,1
"1638",0,0,0,0,0,0,0,0,0,0,0
"6319",1,0,0,0,0,0,0,1,1,1,0
"9415",1,0,0,1,0,0,1,1,1,0,0
"3992",1,0,1,0,1,1,0,0,1,1,0
"8694",1,1,0,1,1,1,1,1,1,1,1
"84649",0,1,1,1,1,0,1,0,0,1,0
"1716",1,0,1,0,0,1,0,1,1,0,0
"6513",1,0,0,1,1,0,1,0,0,1,1
"6517",1,0,0,1,1,0,0,1,1,0,0
"6515",1,1,1,1,1,1,1,1,1,1,1
"1718",1,0,0,1,1,1,0,0,1,1,0
"1581",0,0,0,0,0,0,0,0,0,0,0
"1717",0,1,0,1,1,0,1,0,1,0,0
"8560",1,1,1,1,1,1,1,1,1,1,1
"123099",1,0,1,1,1,0,0,0,1,0,0
"11309",1,0,1,0,1,1,0,1,0,1,0
"6783",0,0,0,0,0,0,0,0,0,0,0
"1723",1,0,1,0,1,1,1,1,1,0,0
"1809",0,0,1,0,0,0,0,0,0,0,0
"1808",1,1,0,1,1,1,1,1,1,1,1
"1807",0,0,0,0,0,0,0,0,0,0,0
"23539",1,0,1,1,0,0,0,0,1,0,0
"2224",1,1,1,1,1,1,1,1,1,1,1
"29958",0,0,0,0,0,0,0,0,0,0,0
"60386",0,1,0,0,1,1,1,0,1,1,0
"84920",0,1,0,0,1,1,1,1,0,0,1
"79087",1,0,1,1,0,0,0,0,1,1,0
"26002",0,0,0,0,0,0,0,0,0,0,0
"1621",1,0,0,0,1,1,0,1,0,1,0
"7299",0,0,0,0,0,0,0,0,0,0,0
"6530",0,1,1,0,1,0,0,0,1,1,0
"6581",0,0,0,0,0,0,0,0,0,0,0
"669",0,1,0,0,1,1,1,1,0,1,0
"5224",0,1,0,0,1,1,1,0,1,0,0
"5223",1,1,1,1,1,1,1,1,1,1,1
"4597",0,1,1,1,0,0,0,0,1,0,0
"51071",0,1,0,0,1,1,1,1,0,1,0
"1806",0,1,0,1,1,1,0,1,0,1,0
"7083",0,1,0,1,1,0,0,1,1,1,0
"7084",1,0,0,1,0,1,1,0,1,1,0
"1854",1,1,0,1,1,1,0,1,1,1,1
"3704",1,1,0,0,1,0,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1,1,1,1
"1892",1,1,1,1,1,1,0,1,1,1,1
"549",0,1,0,0,1,1,1,1,1,1,0
"1962",0,0,0,0,0,0,0,0,0,0,0
"1891",1,1,1,1,1,1,1,1,1,1,1
"11001",0,1,0,0,1,1,0,1,1,0,0
"28231",0,1,0,0,0,1,1,1,0,1,0
"53919",0,0,0,0,0,0,0,0,0,0,0
"10257",1,0,0,1,0,1,0,1,0,1,0
"28232",1,1,1,1,1,1,1,1,1,1,1
"2109",1,1,1,1,1,1,1,1,1,1,1
"2108",0,1,0,1,1,1,0,1,1,0,0
"2110",1,0,0,0,1,1,0,1,1,0,0
"55500",0,1,0,1,1,1,1,1,0,1,0
"55224",1,0,1,1,0,0,1,0,1,1,0
"8790",0,0,0,0,0,0,0,0,0,0,0
"51086",0,0,0,0,0,0,0,0,0,0,0
