"","GSM2579315","GSM2579319","GSM2579323","GSM2579327","GSM2579331","GSM2579335","GSM3045784","GSM1414742","GSM1414743","GSM1414744","GSM1414745"
"51301",1,1,0,0,1,0,1,0,1,0,1
"2182",0,1,0,1,0,0,0,0,1,0,1
"9963",0,0,0,1,0,1,1,0,0,1,1
"2180",0,0,1,0,1,1,1,0,0,1,1
"192134",0,0,0,0,0,0,0,0,0,0,0
"386757",0,0,0,0,0,0,0,0,0,0,0
"80150",1,0,0,0,1,1,0,1,0,1,0
"51703",1,1,1,1,1,1,1,1,1,1,1
"81616",0,1,1,1,0,0,1,0,0,1,1
"23305",0,1,1,0,0,1,1,0,0,1,1
"440",0,0,1,0,1,0,1,0,1,1,1
"6535",0,1,1,1,0,0,1,1,0,1,0
"1384",1,1,0,0,1,0,0,1,1,0,0
"116285",0,0,1,1,0,0,0,1,1,0,0
"6583",0,0,1,1,1,0,1,0,1,0,1
"5167",0,0,0,1,0,0,0,0,0,0,0
"790",1,1,0,1,1,1,1,1,1,1,1
"5169",0,1,0,0,1,0,0,0,1,0,1
"54898",0,0,0,0,0,1,0,0,0,0,0
"6511",0,0,0,0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1,1,1,1
"6785",0,1,0,0,1,1,0,0,0,0,1
"6505",1,0,0,0,1,1,1,0,0,1,0
"54677",1,1,0,1,0,1,0,0,1,1,1
"60481",1,1,1,1,1,1,1,1,1,1,1
"6507",0,0,0,0,0,0,0,1,0,0,1
"79071",1,1,1,0,0,0,1,0,1,1,0
"1579",0,0,0,0,0,0,0,0,0,0,0
"6512",0,0,0,0,0,0,0,1,0,0,0
"2194",1,0,0,0,1,1,1,1,1,0,0
"6506",0,1,0,0,1,0,0,1,0,0,1
"376497",1,1,1,0,0,1,0,1,0,0,0
"10999",0,1,0,0,0,1,0,1,1,0,0
"525",0,0,0,0,0,0,0,0,0,0,0
"11000",1,1,0,0,1,1,0,1,0,1,0
"230",1,1,1,1,1,1,1,1,1,1,1
"226",0,0,1,0,1,1,0,1,1,0,0
"527",0,1,0,1,0,0,0,1,1,1,0
"8140",1,1,1,1,0,1,1,1,1,1,0
"229",0,0,0,0,0,0,0,0,1,0,1
"23545",0,1,0,1,1,0,1,0,0,1,1
"5207",0,0,0,1,1,1,1,0,1,1,1
"526",1,1,1,1,0,1,1,1,1,1,1
"23428",0,1,0,1,0,0,1,0,0,0,1
"5208",0,1,1,1,1,0,1,0,1,1,1
"1036",1,0,0,0,0,1,0,0,0,0,1
"245973",1,0,0,0,1,0,1,0,0,1,1
"5210",1,1,0,0,0,0,1,1,1,0,0
"8789",0,0,0,0,0,0,0,0,0,0,0
"5209",1,0,0,1,1,1,1,1,0,1,0
"124935",1,0,1,1,0,0,1,1,0,1,0
"2203",0,1,1,1,0,1,1,1,0,0,1
"2235",1,0,1,1,1,0,1,1,1,1,0
"23657",0,0,0,0,0,1,1,1,0,0,1
"57379",0,0,0,0,0,0,0,0,0,0,1
"2629",0,1,1,1,0,0,1,1,0,1,0
"10840",0,0,0,0,0,0,0,0,0,0,0
"26301",0,1,0,1,0,0,1,1,0,1,0
"79901",0,0,0,1,0,0,1,0,0,1,0
"978",0,0,0,0,0,1,0,1,0,0,0
"7371",1,1,1,0,0,1,0,1,0,1,0
"83549",1,1,1,1,1,1,1,1,1,1,1
"7915",1,0,0,0,1,1,1,0,1,1,1
"125061",0,1,1,1,0,0,1,1,0,1,0
"4329",0,0,1,1,1,0,1,1,1,1,0
"51727",1,1,1,1,1,1,1,1,1,1,1
"1719",1,0,1,1,0,1,0,1,0,0,0
"129607",0,0,1,1,1,1,1,0,1,1,0
"2356",1,1,1,1,1,1,1,1,1,1,1
