"","GSM663126","GSM663130","GSM1511432","GSM1511433","GSM1511434","GSM1511435","GSM1511436","GSM1511437","GSM1906875","GSM1906876","GSM1906877"
"247",0,1,1,1,1,1,1,0,0,1,0
"246",0,0,0,0,0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1
"8574",0,1,0,1,1,1,0,0,1,1,0
"23600",1,0,0,1,1,1,0,0,1,0,0
"115286",1,1,1,1,1,1,1,1,1,1,1
"271",1,1,1,1,1,1,1,1,1,1,1
"272",1,0,1,1,1,0,0,0,1,0,0
"270",0,0,0,0,0,0,0,0,0,0,0
"290",1,0,1,0,0,1,1,1,1,0,1
"278",1,1,1,1,1,1,1,1,1,1,1
"277",1,1,1,1,1,1,1,1,1,1,1
"279",1,1,1,1,1,1,1,1,1,1,1
"280",1,1,1,1,1,1,1,1,1,1,1
"6519",1,0,0,1,0,0,0,0,0,1,0
"276",1,1,1,1,1,1,1,1,1,1,1
"11136",0,1,0,1,1,1,1,0,0,1,1
"10998",1,0,0,1,0,0,1,1,0,1,1
"113451",1,0,1,1,0,0,1,1,1,0,1
"9057",1,1,1,1,1,1,1,1,1,1,1
"384",0,1,0,0,1,0,1,1,0,1,0
"445",1,0,1,1,0,0,1,1,0,1,0
"83884",1,0,1,0,1,0,0,0,0,1,0
"10166",0,1,1,0,1,0,1,0,0,0,1
"410",0,1,1,1,0,0,0,0,1,0,0
"427",1,1,1,1,1,1,1,1,1,1,1
"9963",0,1,1,0,1,0,1,1,0,1,1
"9962",0,1,0,0,1,1,1,0,1,0,0
"80150",0,1,0,0,1,1,0,0,0,0,1
"440",1,1,1,0,1,1,1,1,1,1,1
"790",1,0,0,1,1,0,1,0,1,0,0
"6505",0,0,0,0,0,1,0,0,0,0,0
"6512",0,1,1,1,1,0,0,0,0,1,0
"6511",0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0,0,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,0,1,1,1,1,1,1,1
"90423",0,1,0,0,1,0,0,1,0,1,0
"528",0,1,0,1,0,0,0,1,1,1,0
"525",1,0,1,1,0,0,0,0,0,1,1
"10312",1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,0,0,0,0,0
"245973",0,0,0,0,0,0,0,0,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,1,1,1
"23545",0,1,1,1,0,0,0,0,1,0,0
"8992",1,1,1,1,1,1,1,1,1,1,1
"535",0,1,1,1,1,0,1,1,0,1,1
"527",1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,1,1,1,1
"523",0,1,1,1,0,0,1,0,1,0,1
"529",1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1
"51382",0,1,1,1,0,0,0,0,0,1,1
"245972",0,0,0,0,0,0,0,0,0,0,0
"957",0,1,1,1,0,1,1,0,1,0,1
"956",0,0,0,0,0,0,0,0,0,0,0
"955",0,1,0,0,1,1,1,1,1,0,0
"953",1,0,1,0,1,1,0,0,0,0,1
"954",1,0,0,1,0,0,1,1,0,0,1
"377841",0,0,0,0,0,0,0,0,0,0,0
"293",1,1,1,1,1,1,1,1,1,1,1
"291",0,1,1,1,0,0,0,1,1,0,0
