"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"R3HCC1",31,2,2,1,1,0,0,68,8,1,2,0,13,6,6,1,0,1,137,16,4,6,3
"LOXL2",1,0,0,0,0,0,0,85,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2
"ENTPD4",11,1,0,3,0,0,0,8,2,0,1,0,8,4,0,0,1,0,46,1,3,0,0
"SLC25A37",11,0,3,2,3,0,2,50,5,0,3,1,9,3,1,2,0,0,247,1,7,2,5
"ADAM28",39,0,4,0,0,0,0,343,2,1,1,6,0,0,9,0,0,0,0,0,0,0,0
"ADAMDEC1",247,1,20,0,0,0,0,16566,0,1,1,0,9,1,399,0,0,0,15,6,1,2,1
"DOCK5",6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,54,0,1,0,0
"GNRH1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"KCTD9",3,0,1,0,0,0,0,26,5,0,0,0,2,1,3,0,0,0,102,1,0,2,0
"CDCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"PPP2R2A",9,1,1,0,4,0,1,23,7,1,4,1,22,10,3,2,2,0,117,5,2,0,8
"BNIP3L",134,4,27,1,2,1,0,100,19,1,23,1,23,7,9,4,0,1,132,11,7,3,17
"DPYSL2",13,0,1,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,9,0,1,0,5
"TRIM35",0,0,0,0,1,0,0,5,0,0,1,0,4,1,2,1,0,1,7,1,0,1,1
"PTK2B",10,1,0,1,2,1,0,1,11,0,2,2,14,6,2,1,2,5,100,3,0,4,2
"EPHX2",1,1,0,0,1,0,0,29,1,0,2,0,4,1,1,1,0,0,468,2,0,0,1
"CLU",4,3,0,0,4,2,91,4,2,0,158,0,11,3,2,0,1,0,9,1,1,2,215
"SCARA3",0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCDC25",12,2,4,0,1,0,1,50,4,0,6,2,15,7,0,1,0,2,304,4,2,3,12
"ESCO2",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0
"PBK",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0
"SCARA5",0,0,0,0,0,0,0,296,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
"NUGGC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELP3",2,2,0,0,1,0,1,8,4,0,1,0,4,1,2,0,1,0,37,0,0,0,3
"PNOC",10,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,21,0,0,0
"ZNF395",2,0,0,0,0,0,0,5,1,0,1,0,1,0,0,1,0,0,92,3,0,1,0
"FBXO16",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0
"FZD3",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,2,0,0,0
"EXTL3",1,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,23,0,0,0,0
"INTS9",4,0,1,1,0,0,0,2,3,0,1,0,1,2,0,0,0,1,16,1,0,0,1
"HMBOX1",4,0,1,2,2,0,0,7,13,1,0,0,4,3,1,0,0,0,39,0,0,1,7
"KIF13B",10,0,0,0,0,2,0,3,1,0,0,0,4,3,1,0,1,0,133,1,0,0,1
"DUSP4",44,18,5,9,31,9,0,5,49,0,0,4,30,22,0,6,4,0,4,11,2,54,0
"RP11-489E7.4",0,4,0,5,0,0,0,2,14,0,0,0,13,4,0,0,2,0,2,4,0,0,0
"LEPROTL1",50,34,11,6,24,7,1,44,70,1,10,1,194,56,2,11,4,17,290,7,1,24,17
"RP11-51J9.5",7,4,0,0,2,0,1,3,4,0,1,0,5,7,0,3,1,2,35,1,0,0,4
"DCTN6",45,4,6,2,8,0,2,80,20,0,4,2,54,14,2,5,1,2,226,7,1,7,21
"RBPMS",0,0,0,0,0,0,5,176,0,0,0,0,0,0,22,0,0,0,0,0,0,0,27
"GTF2E2",20,3,5,3,7,1,0,47,21,1,0,0,17,10,3,3,2,0,146,6,0,8,7
"GSR",3,0,1,0,1,0,0,1,1,0,0,0,7,0,0,0,0,0,54,0,0,0,1
"UBXN8",19,0,3,0,0,0,0,15,2,0,0,0,2,1,0,0,0,1,31,4,0,0,3
"PPP2CB",6,0,0,0,0,0,0,25,3,0,0,0,0,0,1,0,0,1,97,2,0,0,2
"WRN",0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,19,0,0,2,0
"NRG1",1,0,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-11N9.4",13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"FUT10",4,0,0,0,0,0,0,3,1,0,0,1,13,2,0,0,0,0,32,0,0,0,0
"TTI2",8,0,0,1,0,0,0,12,1,0,0,0,2,1,0,0,0,0,37,0,0,0,4
"MAK16",4,0,1,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,13,0,0,1,1
"DUSP26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
"RP11-150O12.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"ZNF703",4,0,2,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,268,1,0,0,0
"ERLIN2",12,1,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0,0,50,3,0,0,2
"PROSC",42,2,2,0,6,3,0,39,9,0,5,1,22,8,3,5,0,0,227,6,1,0,9
"BRF2",2,0,1,0,0,0,0,16,3,0,0,1,2,7,1,1,0,0,52,0,0,2,2
"RAB11FIP1",22,4,0,1,1,0,0,1,7,1,1,2,13,6,0,3,1,0,509,6,0,0,0
"EIF4EBP1",111,0,12,0,3,0,0,38,14,0,4,2,10,4,2,0,1,2,681,11,6,2,9
"ASH2L",14,0,3,1,0,0,1,19,7,1,5,0,6,5,1,0,1,0,66,1,0,0,7
"LSM1",79,6,8,3,3,0,0,83,47,2,8,7,73,26,10,1,6,7,432,18,4,16,13
"BAG4",4,0,0,0,0,0,0,7,5,0,0,0,10,1,0,0,0,0,16,3,0,0,0
"DDHD2",3,2,1,0,0,0,0,8,2,0,0,1,7,1,0,1,0,0,36,1,0,1,2
"WHSC1L1",19,3,4,3,5,2,1,62,23,0,1,1,44,14,3,7,1,2,219,11,0,3,9
"RP11-350N15.5",2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23,3,0,0,0
"LETM2",1,1,0,2,1,0,0,5,4,0,5,0,6,2,0,1,0,0,6,2,0,2,0
"FGFR1",5,0,0,0,0,0,0,51,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2
"TACC1",43,2,9,2,2,4,0,27,5,0,8,0,9,8,2,0,0,3,132,3,4,3,30
"PLEKHA2",16,1,3,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9,0,3,2,0
"TM2D2",51,0,5,1,3,0,0,75,11,1,0,0,19,4,6,2,0,7,118,7,3,1,32
"ADAM9",29,0,1,0,0,0,0,24,1,0,0,0,1,0,3,0,0,0,66,0,2,0,3
"IDO1",3,0,2,0,0,0,0,44,0,0,0,0,0,0,2,0,0,0,1,0,39,0,33
"C8orf4",0,0,0,0,0,0,17,341,1,0,0,0,0,0,13,0,0,0,290,0,0,0,140
"SFRP1",0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GOLGA7",41,6,13,3,5,1,2,75,36,0,9,0,50,21,3,3,1,7,144,8,0,7,9
"GINS4",3,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,6,0,29,0,0,3,0
"ANK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"KAT6A",3,0,0,0,0,0,0,4,1,0,1,0,4,3,0,3,1,2,42,1,0,1,10
"AP3M2",12,0,0,0,1,0,0,8,5,0,1,0,6,3,1,2,0,1,25,1,0,2,14
"PLAT",2,0,1,0,0,0,6,1251,0,0,23,0,2,0,1,0,0,0,1,4,0,0,281
"IKBKB",8,2,0,0,0,0,0,6,6,0,2,0,8,2,0,0,1,0,41,3,0,1,8
"POLB",6,0,3,0,0,0,0,4,3,1,0,1,0,0,3,0,0,0,18,0,0,0,1
"VDAC3",131,2,13,0,3,2,0,115,36,0,9,3,79,14,11,7,7,5,1003,6,2,8,18
"SLC20A2",14,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,95,0,0,0,2
"SMIM19",56,10,3,0,1,0,3,66,18,1,4,2,35,13,3,5,1,2,447,13,3,13,5
"THAP1",12,2,1,1,1,3,0,25,5,0,1,0,18,8,0,0,1,2,62,0,0,2,3
"RNF170",15,1,2,0,1,0,0,14,2,0,1,0,6,2,0,0,0,0,102,2,1,0,6
"HOOK3",13,0,5,1,0,1,0,11,9,0,0,0,6,1,3,0,1,1,51,0,3,1,8
"FNTA",62,3,6,1,6,0,1,72,19,0,2,2,22,23,5,7,3,1,253,1,2,3,16
"HGSNAT",14,3,10,0,0,1,0,27,13,0,2,0,10,3,1,5,1,0,128,2,0,0,11
"SPIDR",8,0,0,1,1,0,0,26,1,0,1,0,0,1,2,0,0,0,68,1,0,1,3
"CEBPD",200,1,47,3,3,0,0,334,47,0,0,0,27,9,2,2,7,1,306,2,9,4,32
"PRKDC",13,0,0,0,1,0,0,17,3,0,1,0,15,4,1,0,0,1,109,1,0,2,3
"MCM4",12,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,69,1,0,0,1
"UBE2V2",48,3,6,2,5,1,3,52,22,1,1,5,34,11,1,5,1,0,389,11,2,6,8
"SNAI2",0,0,0,0,0,0,0,271,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
"PCMTD1",12,1,1,0,0,0,0,29,6,0,1,1,6,2,3,2,0,1,82,12,0,0,9
"RP11-110G21.1",1,0,0,0,0,0,0,5,4,0,0,0,3,0,2,0,0,0,13,1,0,0,1
"RB1CC1",3,4,2,0,3,0,0,14,7,0,5,0,7,2,1,0,0,1,91,1,0,1,6
"ATP6V1H",40,2,6,0,4,0,0,33,15,0,2,0,15,0,2,0,0,7,106,1,4,3,11
"TCEA1",43,2,7,2,5,0,0,70,27,1,13,4,54,14,3,5,4,3,322,30,3,7,14
"LYPLA1",46,2,4,3,4,0,0,29,19,0,10,2,36,12,4,1,2,0,338,8,2,5,13
"MRPL15",80,1,8,0,1,0,3,41,16,0,1,2,22,7,5,0,1,2,697,4,4,1,7
"TMEM68",7,0,2,2,2,0,0,14,6,0,0,3,2,2,3,0,0,0,104,5,1,0,4
"TGS1",9,3,3,0,0,0,0,13,8,0,1,0,13,1,2,0,1,2,68,2,1,0,4
"LYN",48,0,8,0,0,0,0,5,4,0,2,1,1,2,0,0,0,0,23,3,19,0,2
"RPS20",1217,142,191,50,151,52,0,1107,526,13,167,106,1420,367,46,115,30,75,6906,241,79,150,204
"CHCHD7",57,3,9,3,6,0,0,37,16,1,6,0,43,7,0,5,2,3,292,11,2,8,29
"SDR16C5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"IMPAD1",8,0,0,0,1,0,0,8,3,0,0,0,1,2,3,0,0,0,41,0,0,0,1
"RP11-513O17.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"UBXN2B",8,1,0,0,0,0,0,5,3,0,1,0,4,0,0,0,3,0,45,1,2,3,1
"SDCBP",530,22,58,6,16,4,4,180,66,5,174,3,162,49,1,10,10,9,580,7,30,18,140
"NSMAF",10,0,2,0,1,0,0,14,6,0,4,0,0,0,0,0,0,0,42,0,0,0,0
"TOX",0,2,0,0,5,1,0,11,6,1,0,0,0,2,0,0,0,0,24,1,0,0,0
"RP11-25K19.1",1,1,0,0,3,2,1,25,9,0,1,0,2,5,3,0,0,0,23,1,2,3,0
"CA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3
"RAB2A",105,6,12,1,3,1,2,126,27,1,12,2,67,18,7,5,0,9,806,38,6,6,21
"CHD7",6,0,1,0,0,0,0,2,0,1,3,0,1,1,2,1,0,0,83,0,0,0,3
"AC022182.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"AC022182.3",3,0,1,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,1,2,0,0
"ASPH",19,0,3,0,0,0,3,33,1,0,1,1,0,0,4,0,0,0,217,1,1,1,12
"GGH",62,0,4,0,0,0,0,12,9,0,2,0,3,1,0,0,0,0,1189,7,1,0,3
"TTPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
"YTHDF3-AS1",1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,32,5,0,1,1
"YTHDF3",13,1,0,0,0,0,0,2,1,0,0,0,5,1,1,1,0,0,53,1,0,1,2
"CYP7B1",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARMC1",12,1,1,1,2,0,0,15,4,0,2,0,12,6,0,2,0,1,94,1,0,0,2
"MTFR1",9,0,1,0,0,0,0,11,5,0,2,0,7,0,1,1,0,0,83,1,0,1,1
"PDE7A",5,2,2,0,0,1,0,12,11,0,0,1,10,2,0,1,0,0,18,0,0,0,0
"DNAJC5B",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RRS1",15,0,2,1,3,0,0,11,3,0,2,0,12,4,0,1,0,1,130,5,0,0,3
"ADHFE1",0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,1,0,0,3,0,0,0,1
"MYBL1",0,0,0,0,3,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,2,0
"VCPIP1",2,0,0,0,1,0,0,4,5,0,0,0,3,1,0,0,0,0,28,2,2,0,0
"C8orf44",3,0,0,1,0,0,0,6,3,0,1,0,2,1,0,0,0,0,40,1,0,2,1
"SGK3",12,1,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,0,52,1,1,0,2
"COPS5",44,1,9,0,8,0,1,70,22,0,13,0,25,9,8,2,0,3,482,12,3,8,17
"CSPP1",4,1,0,0,0,0,0,12,3,0,0,0,5,0,0,1,0,0,47,0,0,0,2
"ARFGEF1",1,0,0,0,2,0,0,9,3,0,0,0,6,5,0,0,0,0,61,2,1,0,2
"CPA6",0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0
"PREX2",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SULF1",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLCO5A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"NCOA2",0,0,0,0,0,0,0,1,4,0,0,0,4,3,0,3,0,0,21,1,1,0,0
"TRAM1",113,8,16,3,11,0,1,98,31,1,15,5,136,21,5,6,1,8,230,98,9,12,22
"LACTB2",36,1,4,0,0,0,0,13,4,0,0,4,9,1,0,5,0,0,195,5,0,0,8
"MSC",0,0,0,0,1,0,0,61,0,0,0,1,0,3,1,0,0,0,0,1,0,3,0
"TRPA1",0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"TERF1",33,4,7,0,5,1,1,56,27,0,3,0,27,12,4,3,0,2,154,1,2,0,5
"RPL7",2271,272,473,100,287,61,36,3960,1093,87,604,189,3218,736,160,296,90,113,22186,632,146,427,526
"RDH10",2,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,35,0,0,0,0
"STAU2",13,1,0,0,2,0,0,10,5,0,1,0,6,2,0,0,0,0,58,5,0,3,1
"UBE2W",12,0,4,0,2,0,1,10,9,0,1,0,10,4,0,0,0,0,35,3,0,3,3
"TCEB1",114,7,17,2,9,5,2,94,24,1,19,2,82,13,10,7,0,4,519,14,6,10,59
"TMEM70",93,8,9,1,8,0,0,41,16,0,2,0,31,10,1,9,1,5,259,23,2,5,7
"LY96",27,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"JPH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"GDAP1",3,0,3,0,0,0,0,3,0,0,1,0,4,1,0,0,0,0,4,0,0,0,1
"CASC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"HNF4G",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,55,0,0,0,0
"PEX2",29,1,5,0,3,1,0,64,27,2,2,1,23,3,3,3,2,2,233,7,0,5,3
"ZC2HC1A",7,0,0,0,0,0,0,22,2,0,1,0,0,0,3,1,0,0,23,0,0,4,7
"IL7",5,0,0,0,0,0,0,41,0,0,0,0,0,0,5,0,0,0,40,0,0,5,1
"STMN2",5,0,0,0,0,0,0,420,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0
"HEY1",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,33,0,0,0,5
"MRPS28",84,3,4,3,2,1,1,35,8,0,3,0,21,5,2,1,0,4,493,3,3,7,19
"RP11-92K15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"TPD52",40,7,4,3,6,4,0,1,12,0,0,3,31,6,1,4,0,3,1031,80,1,5,5
"ZBTB10",6,1,1,2,0,0,0,4,1,0,4,0,4,0,0,2,0,0,56,2,1,0,3
"RP11-48B3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"ZNF704",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3
"PAG1",21,6,1,0,2,0,2,9,3,0,2,0,8,3,0,3,0,0,107,0,0,1,1
"FABP5",232,24,37,5,27,2,0,1281,18,0,2,6,19,50,0,4,1,5,3310,8,19,8,2228
"FABP4",7,0,5,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"IMPA1",6,2,1,0,3,0,0,12,8,0,3,0,13,3,0,2,0,0,98,1,0,2,4
"ZFAND1",17,3,3,0,4,4,2,58,17,0,5,1,22,6,4,0,0,3,209,16,1,1,12
"CHMP4C",0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,181,3,0,0,2
"SNX16",3,0,0,0,1,0,0,14,0,0,1,0,2,1,0,0,0,1,31,1,0,0,6
"LRRCC1",5,0,4,0,0,0,0,26,3,0,1,0,0,4,0,1,0,0,149,0,0,0,4
"E2F5",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,0,0,1
"C8orf59",17,2,3,1,0,0,1,26,9,0,3,0,10,3,0,3,3,0,125,10,2,1,10
"CA13",1,0,0,0,0,0,2,1,2,0,0,0,4,0,0,0,0,0,38,0,0,0,0
"CA1",17,0,0,0,0,4,1,4,8,0,0,1,2,1,0,0,0,0,11243,0,0,0,1
"CA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"CA2",40,0,6,0,0,0,1,8,7,8,0,0,8,1,1,0,2,0,8566,1,2,1,11
"ATP6V0D2",153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WWP1",17,1,5,0,0,0,0,21,3,0,0,0,4,0,2,1,0,0,29,1,2,0,1
"RMDN1",43,3,12,0,1,0,0,11,3,0,1,0,4,2,0,1,0,1,182,0,2,0,5
"CPNE3",11,0,4,0,2,2,0,28,11,0,0,0,8,2,1,2,0,0,174,5,0,2,6
"RP11-37B2.1",1,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,10,0,2,0,0
"RIPK2",22,1,5,0,0,1,1,13,5,1,6,1,10,1,0,1,0,1,37,5,18,2,3
"OSGIN2",7,1,0,0,0,0,0,5,4,0,0,0,3,3,1,0,0,0,16,2,0,0,0
"NBN",15,0,2,0,2,0,0,18,0,0,2,0,12,3,1,2,0,0,107,1,2,0,1
"DECR1",122,5,17,1,2,1,2,108,24,0,2,4,32,10,5,2,1,2,1268,7,5,8,26
"TMEM64",3,0,0,0,0,0,0,18,0,1,0,0,4,1,2,0,0,0,8,2,0,1,0
"TMEM55A",16,0,6,0,0,1,1,36,0,0,6,0,3,2,9,0,0,0,5,6,3,0,2
"OTUD6B",4,0,0,0,0,1,0,4,1,1,2,0,3,1,0,0,1,0,8,0,0,0,4
"LRRC69",69,2,1,1,4,2,0,4,9,0,2,0,4,13,0,0,1,1,73,1,1,2,1
"RUNX1T1",0,0,0,0,0,0,2,47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"TRIQK",8,0,1,0,0,0,1,20,0,0,1,0,0,0,0,0,0,0,51,1,0,0,2
"FAM92A1",9,0,2,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,19,0,4,0,2
"RBM12B",0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,16,1,0,0,0
"TMEM67",0,1,0,0,0,0,1,7,4,0,0,0,10,8,1,0,2,0,14,1,0,1,0
"PDP1",5,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,13,0,0,0,2
"CDH17",0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1061,0,0,0,0
"GEM",11,0,17,0,0,0,0,61,12,1,1,0,1,0,5,1,0,3,6,0,8,4,0
"KIAA1429",7,2,1,0,2,2,0,12,1,0,1,0,3,0,0,0,0,0,59,0,1,2,4
"RP11-22C11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0,0
"ESRP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0
"DPY19L4",2,0,0,0,0,0,0,3,0,0,0,1,5,0,1,2,0,0,42,1,0,0,4
"INTS8",3,0,0,0,1,0,0,9,4,0,1,1,6,1,2,0,0,1,56,2,0,1,1
"CCNE2",7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,14,0,0,1,1
"NDUFAF6",13,1,3,0,1,0,0,17,6,0,0,0,7,2,0,0,1,0,163,3,1,2,3
"TP53INP1",1,0,1,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,16,4,0,0,2
"PLEKHF2",12,0,0,0,1,0,0,8,9,0,4,2,10,0,1,3,1,1,105,0,0,3,4
"UQCRB",165,7,24,3,16,3,2,97,26,0,5,5,76,30,5,4,0,4,1075,27,7,16,18
"PTDSS1",22,0,5,0,0,0,0,18,6,1,6,0,15,5,2,0,0,0,111,5,5,1,9
"SDC2",16,0,0,0,0,0,3,327,0,0,0,0,0,0,21,0,0,0,2,0,1,0,1
"CPQ",71,2,9,0,0,0,0,211,7,0,5,0,5,5,16,1,0,0,36,6,3,1,9
"MTDH",173,1,42,4,11,0,3,139,66,2,10,8,81,14,19,3,7,4,638,54,9,13,18
"LAPTM4B",5,2,0,0,0,2,1,38,5,0,0,0,1,3,3,1,0,0,160,3,0,0,13
"MATN2",0,0,0,0,0,0,13,187,1,0,0,0,0,0,0,0,0,0,34,0,0,0,9
"RPL30",1054,142,234,45,159,66,7,1491,584,44,192,136,1745,416,63,159,50,75,9889,249,89,197,224
"KB-1208A12.3",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"HRSP12",24,0,0,1,0,0,0,20,3,0,2,0,7,2,1,0,0,2,216,6,1,0,6
"POP1",1,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,4,0,14,0,0,0,0
"NIPAL2",1,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,60,0,0,0,2
"STK3",5,2,0,0,0,0,0,22,0,0,1,0,6,0,0,0,0,0,34,1,0,0,7
"OSR2",3,0,1,0,1,0,0,7,0,0,1,0,1,0,0,0,0,0,5,7,0,0,0
"RP11-410L14.2",2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1
"VPS13B",2,1,1,0,1,0,0,6,1,0,1,0,1,1,0,0,0,0,28,0,0,0,1
"COX6C",527,31,63,14,27,7,8,258,101,4,20,8,241,64,25,15,6,14,7684,33,16,36,85
"POLR2K",46,6,2,2,4,5,0,61,19,0,11,0,47,20,4,2,4,2,275,8,6,6,18
"SPAG1",0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,93,4,0,0,0
"RNF19A",0,2,0,0,6,0,0,6,13,0,1,0,13,9,2,0,0,1,44,0,0,3,0
"ANKRD46",4,0,0,0,1,0,0,8,0,0,0,2,4,1,2,0,1,0,38,1,0,1,6
"PABPC1",681,73,153,20,63,30,2,536,351,21,91,41,667,142,14,74,24,32,4329,122,70,98,72
"YWHAZ",55,7,13,3,9,2,2,40,42,1,20,1,90,13,2,4,6,1,468,15,1,8,11
"ZNF706",402,11,45,0,13,3,3,162,53,0,22,6,73,38,4,9,4,4,1533,61,16,21,34
"GRHL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"NCALD",0,1,0,1,0,0,0,7,13,0,0,0,5,2,0,1,0,1,20,0,0,0,2
"RRM2B",11,2,1,0,0,0,0,10,0,1,0,0,4,0,0,1,0,0,41,0,0,0,3
"UBR5",8,0,1,0,0,0,0,13,2,1,1,0,6,1,5,3,0,0,32,0,1,1,1
"KLF10",27,1,11,0,3,3,0,84,11,0,10,1,13,5,6,3,0,2,127,6,2,3,16
"KB-1732A1.1",1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,23,0,0,0,2
"AZIN1",20,1,5,1,5,1,1,31,13,0,12,0,10,3,0,0,1,1,127,9,2,7,6
"ATP6V1C1",77,1,7,0,1,0,0,29,4,0,5,0,16,7,0,0,0,0,90,5,3,1,6
"BAALC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25
"FZD6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,8
"CTHRC1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,14,0,0,8
"SLC25A32",6,1,1,0,1,2,0,5,5,1,1,2,6,1,1,1,0,0,24,5,0,0,4
"DCAF13",26,3,7,1,3,0,0,37,17,1,7,1,26,6,2,1,2,0,234,10,6,12,6
"LRP12",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0
"RP11-395G23.3",2,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,11,1,0,0,0
"OXR1",6,0,0,0,0,0,1,15,4,1,2,0,5,0,1,0,0,1,53,6,0,1,4
"ANGPT1",0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"EIF3E",161,16,22,5,14,5,1,294,59,6,43,9,165,33,13,17,1,5,1244,38,16,21,37
"EMC2",20,1,2,0,1,0,4,55,8,0,2,0,9,4,3,1,1,2,163,2,0,2,10
"RP11-1084E5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NUDCD1",5,0,1,0,3,0,0,9,0,0,0,0,8,1,0,0,1,0,40,0,0,1,6
