"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"GBP5",31,5,4,2,7,1,0,3,27,1,0,1,42,12,0,4,1,1,2,3,16,12,1
"LRRC8B",6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,0,0,2
"LRRC8C",18,0,1,0,3,0,0,0,0,0,0,0,8,2,0,1,0,0,0,3,0,1,7
"RP5-943J3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"LRRC8D",1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,48,5,0,1,1
"ZNF326",15,1,2,0,0,0,0,11,10,0,1,1,3,1,0,0,0,0,223,3,2,1,3
"RP4-665J23.1",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ZNF644",12,1,2,0,0,0,1,7,7,0,2,0,10,5,0,0,1,0,100,3,0,3,1
"CDC7",1,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,18,0,0,0,3
"TGFBR3",0,1,0,0,0,0,0,7,0,0,0,0,3,1,3,0,2,0,5,1,0,0,14
"BTBD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"GLMN",7,1,0,0,1,0,0,10,19,1,1,0,15,3,1,0,0,0,35,0,1,1,1
"RPAP2",10,0,1,1,1,0,0,13,7,0,3,0,4,4,1,1,0,0,79,1,0,0,3
"GFI1",0,2,0,1,2,0,0,0,15,0,0,0,8,2,0,5,0,0,7,1,0,1,0
"EVI5",22,0,1,0,0,0,1,18,0,0,1,0,0,0,1,0,0,0,53,1,0,0,4
"RPL5",1006,79,235,34,97,23,8,1536,494,24,160,100,1494,331,63,148,44,53,11424,356,64,184,218
"FAM69A",1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,9,7,0,0,0
"MTF2",21,6,2,0,3,1,1,31,9,1,5,2,26,6,1,3,0,0,130,7,0,5,6
