"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"C3orf62",4,0,0,0,0,0,0,8,2,0,0,0,1,0,2,3,1,0,0,0,84,0,1,0,0,1
"USP4",6,2,1,1,0,0,0,21,5,0,0,1,3,0,16,6,2,2,0,3,177,0,2,2,1,9
"GPX1",1710,10,577,14,3,1,7,570,41,6,5,3,60,3,160,69,28,20,4,30,5476,1,20,2,79,345
"RHOA",308,18,92,30,3,2,14,412,80,4,7,4,23,4,253,157,29,26,4,61,2942,5,8,13,38,274
"TCTA",5,0,2,5,1,1,0,35,4,0,0,1,0,0,10,11,1,5,0,4,294,0,0,1,4,9
"AMT",5,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,390,0,0,0,0,2
"NICN1",0,0,0,0,0,0,0,7,1,0,2,0,0,1,3,1,2,0,0,1,39,0,1,0,0,4
"DAG1",3,0,1,0,0,0,4,19,1,0,0,0,0,0,1,5,2,0,0,1,396,0,0,0,0,12
"APEH",21,4,5,5,0,0,0,36,6,0,0,1,3,0,22,15,2,0,1,8,1065,0,5,4,4,6
"MST1",1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,117,0,0,0,0,2
"RNF123",3,1,1,2,0,0,1,12,2,0,0,0,2,0,2,0,0,0,0,3,100,0,0,0,1,4
"GMPPB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"IP6K1",3,4,0,3,0,0,0,22,9,1,1,0,1,0,26,9,3,2,3,5,186,0,2,0,2,9
"FAM212A",0,1,0,0,0,0,0,12,1,0,0,0,10,0,0,1,0,0,0,0,3,0,0,0,0,15
"UBA7",5,2,3,1,0,0,1,21,2,0,0,0,10,1,15,16,1,1,0,3,278,2,0,0,0,2
"TRAIP",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,0
"MST1R",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,1
"MON1A",2,1,1,1,0,0,0,11,1,0,0,0,1,0,1,3,1,1,0,0,86,1,1,0,1,3
"RBM6",11,3,6,1,1,0,0,59,5,0,0,0,0,0,28,17,2,1,1,4,292,0,2,0,2,17
"RBM5",7,1,3,2,1,0,0,26,7,0,1,2,3,0,34,18,4,1,1,5,372,1,1,0,5,15
"SEMA3F",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,18
"GNAI2",107,2,29,8,0,0,1,53,11,2,1,0,2,2,60,29,5,5,1,15,112,1,3,1,3,91
"SEMA3B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"SEMA3B",0,0,0,0,0,0,24,14,0,0,0,0,0,0,2,2,1,0,0,1,485,0,0,0,0,0
"LSMEM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"IFRD2",17,3,6,1,0,0,0,42,9,0,0,0,4,1,32,17,3,2,1,4,619,0,2,3,2,17
"HYAL3",1,0,2,0,0,0,0,3,2,0,1,0,3,0,11,5,0,0,0,0,20,0,0,0,0,3
"NAT6",4,0,1,2,0,0,0,7,3,0,2,0,1,0,6,4,1,0,0,1,38,1,0,0,1,2
"HYAL1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,27
"HYAL2",7,0,2,1,0,0,0,59,1,0,0,0,2,0,4,2,3,0,0,4,222,0,0,0,0,163
"TUSC2",26,7,8,14,0,1,1,63,11,1,0,1,4,0,61,23,6,7,3,12,762,1,5,0,9,35
"RASSF1",12,4,5,7,0,0,1,25,16,2,0,2,4,2,24,28,5,2,1,11,215,1,3,9,5,14
"NPRL2",7,4,5,3,0,0,2,41,12,1,1,0,2,0,32,21,1,0,0,13,421,1,1,9,5,14
"CYB561D2",30,1,9,11,0,1,0,36,11,1,2,0,7,1,62,35,3,3,3,17,910,0,2,2,6,23
"TMEM115",6,3,2,2,0,1,1,62,5,0,0,1,1,0,13,8,1,1,1,2,417,0,4,0,1,24
"CACNA2D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"C3orf18",0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,1
"HEMK1",5,0,3,0,0,0,1,25,4,0,0,0,1,0,14,9,1,2,2,2,273,0,2,0,1,3
"CISH",0,1,0,2,0,0,0,9,11,0,0,0,1,0,15,20,1,1,0,5,126,1,0,2,0,4
"MAPKAPK3",21,1,4,3,1,1,1,6,15,1,1,1,3,0,18,23,1,3,1,6,253,0,0,1,4,1
"MANF",147,7,26,12,4,4,2,117,34,1,1,0,12,2,105,54,11,12,2,18,1205,1,44,7,7,51
"RBM15B",4,0,0,1,0,0,0,10,0,1,0,0,2,0,7,3,0,1,1,1,186,0,0,0,1,4
"VPRBP",5,0,0,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,82,0,0,0,0,3
"RAD54L2",4,0,1,0,0,0,1,11,2,0,0,0,1,0,5,0,0,0,0,0,74,0,1,0,0,2
"TEX264",54,2,12,5,1,0,2,119,34,3,3,1,6,0,102,54,8,9,6,20,1662,4,8,1,9,46
"RRP9",5,2,3,1,0,1,1,19,3,0,0,0,1,0,15,7,0,1,1,1,280,1,2,0,0,10
"PARP3",0,1,0,0,0,0,1,11,3,0,0,0,0,0,5,2,0,0,0,0,87,1,0,0,0,1
"PCBP4",0,2,0,3,0,0,4,24,8,0,1,0,0,0,20,7,4,2,1,4,63,1,0,0,1,5
"ABHD14B",9,14,13,6,0,5,0,143,12,0,3,2,5,2,100,58,4,12,2,16,1751,0,1,1,13,24
"ABHD14A",10,9,5,7,0,2,4,79,16,0,3,1,6,0,68,31,2,6,1,15,314,0,9,3,12,17
"ACY1",1,0,1,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,3,281,0,0,0,0,2
"RPL29",900,247,607,209,39,50,30,2869,605,70,53,42,201,71,3954,1622,167,416,88,546,50229,31,166,60,354,818
"DUSP7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,4
"POC1A",5,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,181,0,0,1,0,1
"ALAS1",16,2,5,1,2,1,0,31,4,0,0,0,10,0,14,9,3,1,0,6,620,2,2,0,2,15
"TWF2",60,6,12,7,0,1,0,100,29,3,0,1,5,1,66,43,13,6,3,19,572,2,0,6,7,18
"PPM1M",9,2,2,2,0,0,0,26,3,0,0,0,0,0,16,10,2,0,0,3,10,0,0,1,2,2
"WDR82",9,3,2,2,0,0,1,31,5,0,0,0,1,0,17,14,1,1,1,4,286,1,1,1,0,6
"GLYCTK",3,0,0,1,0,0,0,5,1,1,0,1,0,0,0,2,0,0,1,3,512,0,1,0,0,8
"DNAH1",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"BAP1",3,0,1,1,0,0,0,13,1,0,1,0,0,0,6,1,3,0,0,0,271,0,0,0,0,5
"PHF7",4,0,0,0,0,0,0,6,1,0,0,0,1,0,3,1,0,0,0,0,108,0,1,0,0,1
"SEMA3G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"NISCH",21,1,4,0,0,0,0,23,6,0,0,0,1,0,3,3,3,1,0,3,214,1,1,0,0,3
"STAB1",227,0,17,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,23
"NT5DC2",11,0,3,0,0,0,3,12,1,0,0,0,1,0,1,0,2,0,0,0,134,3,2,1,0,0
"SMIM4",43,2,2,1,0,0,1,26,6,1,0,0,1,0,10,4,2,0,0,2,532,0,0,0,1,10
"PBRM1",4,3,1,2,0,0,0,17,5,1,0,0,1,0,14,12,2,1,3,3,191,1,1,0,2,4
"GNL3",18,2,12,4,1,0,1,29,8,1,1,1,3,2,58,37,1,7,1,13,677,2,12,1,8,19
"GLT8D1",7,0,3,2,1,1,2,97,6,2,0,1,1,1,22,10,4,2,0,5,183,1,2,0,2,26
"SPCS1",84,25,33,19,0,5,7,404,84,5,4,1,32,7,309,177,33,42,10,52,3740,5,55,9,35,136
"NEK4",1,0,0,1,0,0,0,2,1,0,0,0,0,0,3,6,0,0,0,1,32,0,0,0,0,1
"TMEM110",2,1,0,0,0,2,0,8,3,0,0,1,0,0,9,1,0,1,0,0,23,0,1,1,1,1
"SFMBT1",2,1,1,3,0,0,0,5,0,0,0,0,0,0,12,4,1,1,0,3,115,0,0,1,3,0
"RFT1",17,0,3,0,1,0,0,15,2,0,0,0,3,0,14,5,3,2,1,1,159,1,2,0,2,8
"PRKCD",12,2,5,0,0,1,1,8,5,0,1,1,3,0,9,8,1,1,0,0,617,1,2,0,1,0
"TKT",67,4,23,4,0,2,2,62,12,2,1,0,9,1,63,30,7,10,1,5,2694,0,1,4,5,33
"DCP1A",7,2,3,4,0,0,2,19,6,0,1,0,3,1,37,18,2,2,2,5,176,0,0,1,5,10
