"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"CYP3A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"TRIM4",1,0,2,3,0,0,0,23,3,1,1,1,2,0,9,5,0,3,1,5,90,0,1,1,3,6
"AZGP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0
"ZKSCAN1",6,3,1,1,0,0,1,28,4,0,0,0,2,0,18,7,1,1,1,4,725,1,0,1,0,9
"ZSCAN21",2,0,1,1,0,0,1,13,0,0,0,0,2,0,1,3,0,0,0,0,40,0,0,0,0,4
"ZNF3",5,0,2,1,0,0,0,14,2,0,0,0,1,0,12,5,4,0,1,1,204,0,1,0,1,15
"COPS6",65,21,17,20,3,1,10,292,30,1,4,1,12,7,164,82,31,14,2,30,1923,5,12,6,29,101
"MCM7",29,1,8,6,0,0,0,32,8,0,0,0,2,1,5,8,0,1,2,4,1125,0,1,16,1,12
"AP4M1",11,1,3,0,0,1,1,48,4,0,1,0,2,1,9,3,8,1,0,1,239,1,0,0,0,15
"TAF6",4,1,6,0,0,0,0,43,12,0,1,0,2,0,26,10,6,2,3,3,270,0,0,3,2,12
"CNPY4",2,1,1,2,0,1,1,63,1,1,0,0,0,1,9,4,3,2,0,3,51,1,0,2,2,10
"MBLAC1",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,1,36,0,0,0,0,1
"LAMTOR4",266,29,108,26,3,2,13,361,66,3,4,3,28,7,248,111,27,33,10,57,9186,5,10,9,34,142
"C7orf43",3,0,1,2,0,0,0,4,3,0,0,0,0,0,2,1,1,0,0,0,146,0,0,0,0,1
"GAL3ST4",27,0,4,0,0,0,1,12,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0
"STAG3",5,0,0,1,0,0,0,4,2,1,0,0,0,1,7,1,0,1,1,1,58,0,1,0,1,1
"PVRIG",0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0
"PILRB",1,2,1,1,0,0,0,5,5,0,0,0,1,0,14,14,1,1,0,8,173,1,1,1,2,3
"PILRA",44,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ZCWPW1",1,1,1,1,0,0,0,3,2,0,0,0,0,1,5,1,0,0,0,1,17,0,0,0,0,2
"MEPCE",8,1,4,0,0,0,0,4,2,0,1,0,1,0,22,10,0,0,0,1,228,0,0,0,1,8
"PPP1R35",4,2,2,1,0,1,1,19,6,0,0,2,1,0,18,24,3,1,0,6,457,1,3,1,2,11
"C7orf61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"TSC22D4",17,14,9,19,2,0,0,72,49,3,3,3,7,1,138,72,5,21,1,34,656,2,2,3,17,26
"AGFG2",5,0,0,2,1,0,1,3,3,0,0,2,0,0,13,7,1,0,0,4,371,0,1,0,5,8
"LRCH4",11,7,13,5,0,0,0,15,9,0,0,0,1,1,60,32,0,3,1,13,212,1,2,1,6,11
"PCOLCE",1,0,0,0,0,0,0,539,0,0,0,1,0,0,4,0,37,0,0,0,1,10,0,1,0,8
"MOSPD3",23,6,5,3,0,1,1,57,14,1,1,2,1,0,74,35,2,5,2,19,303,1,2,2,3,22
"GNB2",83,9,42,6,2,1,3,229,31,0,3,2,11,3,95,59,13,9,2,32,3226,0,5,5,11,111
"GIGYF1",2,0,0,0,0,0,1,6,2,0,0,1,0,0,4,2,1,0,0,0,120,0,0,0,0,3
"POP7",17,2,2,9,2,1,2,73,12,0,1,1,2,0,29,21,7,3,1,12,1202,1,4,3,3,34
"EPHB4",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,185,0,0,0,0,20
"SLC12A9",5,0,8,0,1,0,0,9,3,0,0,0,0,0,2,3,1,1,0,2,247,1,1,0,0,9
"RP11-126L15.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"TRIP6",14,0,4,0,0,0,4,144,0,1,0,0,0,0,4,2,10,0,0,0,232,1,2,0,0,2
"SRRT",7,7,7,5,2,0,2,28,7,2,0,0,2,2,35,30,0,0,3,7,433,0,2,1,3,6
"UFSP1",2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,62,0,0,0,0,0
"ACHE",0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,2,0,0,0,103,1,1,0,0,1
"MUC3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0
"RP11-395B7.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0
"MUC12",6,1,3,0,0,0,0,82,3,0,0,0,1,0,2,4,9,0,0,4,895,1,0,0,0,1
"RP11-395B7.4",0,0,0,0,0,0,1,51,0,0,0,0,1,0,2,0,4,0,0,0,7,1,0,1,0,0
"MUC17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"TRIM56",3,0,0,2,0,0,0,6,6,0,0,0,1,0,9,11,0,1,0,4,172,2,0,2,1,10
"SERPINE1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,13
"AP1S1",27,6,6,5,1,0,1,80,22,1,0,1,0,0,32,24,4,1,4,14,2273,1,5,8,7,42
"MOGAT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,327,0,0,0,0,0
"PLOD3",17,1,1,1,0,0,3,48,4,2,0,0,0,0,13,7,1,1,1,4,388,0,1,0,0,24
"ZNHIT1",121,15,33,27,2,2,5,319,47,4,2,3,7,1,152,97,21,9,2,39,5369,3,15,3,25,147
"CLDN15",2,0,0,0,0,0,0,2,2,0,0,0,0,0,8,3,0,0,0,1,645,0,0,0,0,10
"FIS1",105,22,19,6,1,1,10,309,34,6,4,2,18,1,157,82,21,19,9,40,4148,4,11,5,19,198
"CUX1",8,1,5,0,0,0,1,19,3,0,0,0,1,0,10,2,4,2,0,1,350,0,1,2,1,6
"SH2B2",5,0,9,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,9,0,1,0,0,7
"PRKRIP1",5,1,2,1,0,0,1,24,5,0,0,1,1,1,15,5,1,0,1,3,174,0,1,1,1,9
"ORAI2",7,2,6,3,0,0,0,13,4,1,0,1,2,0,81,34,0,6,1,7,12,0,7,1,4,29
"ALKBH4",2,0,0,1,0,0,0,23,2,0,1,1,1,0,7,4,3,0,0,1,165,0,0,0,1,9
"LRWD1",7,1,0,0,0,0,0,19,4,0,0,0,1,0,5,2,1,2,0,4,141,0,1,0,0,6
"POLR2J",106,13,33,13,1,2,2,201,35,3,3,1,9,2,140,97,14,18,1,35,3185,3,18,2,11,68
"POLR2J3",4,3,5,5,0,2,0,35,13,2,1,1,4,2,46,22,7,2,1,11,162,0,0,2,5,8
"RASA4",1,0,0,0,0,0,1,2,3,0,0,0,0,0,4,1,0,0,0,0,30,0,0,0,1,25
"UPK3BL",1,0,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,1,25,0,0,0,0,2
"POLR2J2",1,0,1,0,0,0,0,5,2,0,0,0,1,0,1,2,0,0,1,0,42,0,0,0,1,2
"FAM185A",5,1,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,57,0,0,0,0,5
"LRRC17",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0
"ARMC10",30,5,8,4,1,2,2,44,12,3,3,0,1,0,38,22,4,2,1,5,658,1,2,0,7,21
"NAPEPLD",0,3,1,0,0,0,1,17,1,0,0,0,0,0,6,1,1,0,0,1,176,0,0,0,1,0
"PMPCB",12,5,6,2,0,2,1,84,21,2,1,1,12,1,57,31,7,5,0,16,969,1,3,3,5,22
"DNAJC2",18,2,5,3,0,1,3,32,6,0,0,1,1,3,31,16,2,4,1,8,397,0,4,2,3,8
"PSMC2",44,9,20,14,1,2,2,129,21,0,2,1,7,2,109,45,15,9,5,14,802,1,5,5,10,54
"ORC5",2,1,0,2,0,0,1,10,5,0,1,0,0,0,5,4,0,0,0,3,72,0,1,1,2,6
"RP11-325F22.2",3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,7,0,3,0,0,2
"LINC01004",0,1,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,28,0,0,0,0,0
"KMT2E-AS1",7,0,1,0,0,0,1,16,5,0,0,0,2,0,4,4,0,0,1,3,182,0,0,1,1,4
"KMT2E",20,12,13,5,3,2,4,201,40,6,2,1,10,4,158,67,7,11,7,37,860,3,8,1,20,64
"CTB-152G17.6",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2
"SRPK2",14,1,5,2,0,1,1,48,8,0,0,2,1,0,33,14,1,3,1,7,235,1,3,1,6,30
"PUS7",1,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,41,0,0,1,0,3
"RINT1",0,0,0,0,1,0,1,2,1,0,0,0,1,0,10,4,0,0,0,0,37,0,0,0,0,2
"ATXN7L1",1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,2,1,2,0,0,114,0,0,0,0,4
"CDHR3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"SYPL1",14,5,11,2,0,1,1,165,14,1,1,0,9,4,51,28,11,5,3,13,991,1,1,1,9,91
"NAMPT",32,0,35,2,0,1,0,21,7,0,0,1,2,2,18,14,1,0,2,2,320,0,1,0,16,15
"RP11-22N19.2",4,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2
"CCDC71L",2,1,1,1,0,0,0,14,1,0,0,0,1,0,8,5,3,1,0,0,91,0,0,0,0,4
"PIK3CG",3,1,1,0,0,0,0,0,1,0,0,0,0,0,3,4,0,1,0,0,3,0,1,0,1,0
"PRKAR2B",0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,5,0,0,0,16,0,0,0,0,0
"HBP1",6,10,12,3,0,2,7,57,12,1,2,1,10,2,61,33,4,5,2,11,276,2,2,1,13,33
"COG5",3,2,0,1,0,0,1,9,2,0,0,0,0,1,12,4,0,1,0,2,87,0,0,0,0,3
"DUS4L",3,0,1,2,0,0,0,9,0,0,0,0,0,0,4,2,0,1,0,0,40,0,0,0,2,2
"RP4-593H12.1",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"BCAP29",11,2,5,2,1,0,1,63,3,0,1,1,1,1,24,13,8,1,1,2,349,1,1,4,2,39
"AC002467.7",0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,1,5,118,0,0,0,0,2
"CBLL1",1,3,2,3,0,2,0,8,4,0,0,2,0,0,11,5,2,0,1,3,59,1,0,0,2,5
"SLC26A3",4,0,1,7,0,0,0,0,13,0,1,0,2,0,3,7,0,0,0,7,9496,0,0,1,0,0
"DLD",9,2,3,3,0,0,1,37,6,0,0,0,5,1,29,11,7,1,1,11,1116,2,3,1,1,16
"LAMB1",0,0,0,0,0,0,2,122,0,0,0,0,0,0,0,1,12,0,0,0,151,0,0,0,0,22
"PNPLA8",7,3,6,0,0,1,1,19,2,0,2,2,1,0,42,19,2,5,0,6,78,1,2,0,5,17
"THAP5",0,0,2,0,0,0,0,7,1,0,0,1,0,0,7,2,0,0,0,1,56,0,1,0,1,2
"DNAJB9",42,16,28,8,7,4,3,52,20,3,5,1,10,2,198,99,3,23,2,35,152,1,63,2,14,54
"IMMP2L",5,0,0,1,0,0,3,18,2,1,1,0,0,0,5,2,1,0,0,1,234,1,1,0,0,9
"LRRN3",0,1,0,0,0,0,0,0,4,0,0,0,0,0,26,10,0,3,0,1,0,0,0,1,1,0
"DOCK4",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"ZNF277",9,1,6,2,0,1,0,27,9,0,1,0,3,0,19,6,2,4,1,6,229,0,1,0,1,12
"IFRD1",18,4,8,2,0,0,4,35,8,0,0,5,1,1,47,14,0,1,3,5,300,0,6,0,7,33
"LSMEM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,3
"TMEM168",1,0,1,0,0,0,1,19,0,1,0,0,0,0,2,5,1,1,0,2,225,0,0,0,1,5
"C7orf60",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,4,10,0,1,0,0,1
"LINC00998",25,2,5,4,1,1,4,56,7,1,0,1,4,0,16,13,3,4,1,2,297,0,1,1,1,14
"FOXP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1
"MDFIC",5,0,0,1,0,0,1,13,4,0,1,0,0,0,8,6,0,1,0,0,28,0,3,0,1,9
"TFEC",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TES",6,1,5,2,1,0,0,27,7,1,0,0,0,0,25,8,4,2,2,1,345,0,1,1,2,22
"CAV2",0,0,0,0,0,0,0,121,0,0,0,0,0,0,2,0,12,0,0,0,47,6,0,0,0,138
"CAV1",1,0,0,0,0,0,0,484,0,0,0,0,0,0,1,0,60,0,0,0,4,17,6,0,1,439
"MET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,1
"CAPZA2",57,8,14,12,2,0,5,118,26,1,1,1,9,1,65,41,19,6,2,24,1264,3,4,2,12,81
"ST7",3,0,1,0,0,0,0,6,0,0,0,0,1,0,2,2,0,0,0,0,77,0,0,0,1,2
"CFTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,535,0,0,0,0,0
"CTTNBP2",6,0,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,4
"TSPAN12",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,7,0,0,0,274,1,0,0,0,39
"ING3",1,3,2,3,2,0,0,22,5,1,1,0,2,1,45,18,1,4,0,8,109,1,1,1,3,18
"CPED1",3,0,2,0,0,0,0,47,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3
"FAM3C",10,0,12,11,1,0,5,89,20,0,0,0,2,1,20,44,6,1,1,26,309,1,13,0,5,33
"AASS",0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0
"CADPS2",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,3
"RNF148",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NDUFA5",17,17,19,6,4,4,2,81,23,2,3,0,10,2,121,73,12,12,9,20,1856,2,5,6,13,47
"WASL",2,0,1,0,0,0,0,32,0,0,0,0,0,0,2,3,3,0,0,1,757,1,1,0,1,14
"RP11-390E23.6",2,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,194,0,0,0,0,4
"POT1",1,0,0,0,0,0,1,9,1,0,0,0,1,0,2,3,0,0,0,1,18,0,0,0,0,3
"ZNF800",3,2,4,1,0,1,1,9,7,1,0,2,4,0,20,20,0,1,0,3,100,0,2,1,1,13
"GCC1",3,1,0,0,0,0,0,0,2,0,0,0,1,0,12,8,1,2,1,0,49,0,0,0,0,1
"ARF5",48,9,39,9,1,1,6,225,34,2,3,4,8,1,132,64,16,13,5,26,3034,2,1,4,13,73
"FSCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"SND1",22,2,13,2,0,0,2,58,8,0,1,0,6,0,33,11,2,7,0,6,772,0,4,0,1,13
"RBM28",4,0,0,0,0,0,0,11,3,0,0,0,0,0,3,3,0,1,0,4,121,1,0,0,1,4
"IMPDH1",18,4,7,14,0,0,0,37,10,1,0,0,0,1,19,13,3,1,2,6,124,0,2,1,2,9
"HILPDA",1,0,1,2,0,0,1,26,1,0,0,2,1,0,2,1,5,0,0,1,150,0,0,1,2,3
"METTL2B",7,0,0,3,0,0,1,11,2,0,0,0,0,0,4,7,1,2,0,2,165,0,1,0,2,5
"RP11-212P7.2",0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,1,3
"FAM71F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"CALU",18,1,5,2,0,0,2,168,2,1,0,0,5,0,11,5,13,2,1,6,145,1,4,1,1,57
"KCP",0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,35,0,0,0,0,0
"ATP6V1F",611,15,122,21,5,4,5,239,74,5,5,2,65,3,205,142,24,20,4,44,1800,0,15,8,29,135
"IRF5",3,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,0,1,0,0,13,0,0,0,1,0
"TNPO3",5,0,1,0,0,0,0,11,2,0,0,0,1,0,2,1,0,0,0,2,146,0,0,0,0,3
"TSPAN33",5,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMO",1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AHCYL2",3,2,1,1,0,0,0,3,0,0,0,0,0,0,6,1,1,0,0,1,840,0,0,0,0,3
"SMKR1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,4,0,0,0,0,0,0,0,0
"RP11-448A19.1",4,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,1,0,0,0,54,0,0,0,0,2
"NRF1",1,0,0,0,0,0,0,6,1,0,0,1,0,0,2,1,0,0,0,0,50,0,0,0,1,0
"UBE2H",4,0,2,1,0,0,0,25,6,0,0,0,0,0,10,4,1,0,0,0,157,0,1,0,2,6
"ZC3HC1",2,2,1,1,0,0,0,17,2,2,0,0,1,0,5,3,1,2,0,0,117,1,0,1,1,13
"KLHDC10",5,0,0,0,0,0,1,13,2,0,0,0,1,0,4,3,0,0,0,3,179,1,0,0,0,14
"RP11-775D22.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"TMEM209",0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,2,1,2,0,0,36,0,0,0,1,2
"CPA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"CEP41",7,0,3,0,0,0,1,18,1,0,0,0,0,0,6,3,1,2,0,1,75,0,1,0,0,4
"MEST",1,0,1,0,0,0,0,12,0,0,0,1,0,0,3,0,1,0,0,0,437,6,1,1,0,1
"COPG2",2,2,0,0,0,0,0,5,2,0,1,1,1,0,3,1,0,0,0,1,109,0,0,0,0,1
"AC016831.7",0,0,0,0,0,0,0,1,2,1,1,0,0,0,10,4,0,0,0,0,7,0,1,0,1,1
"RP11-138A9.1",7,4,3,0,0,0,0,13,5,0,1,0,0,0,35,10,0,2,0,1,38,0,0,0,2,5
"RP11-138A9.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,1,0,2,1
"MKLN1",4,3,1,0,1,0,1,8,3,0,0,0,0,0,5,5,1,1,0,3,149,0,0,0,0,9
"PODXL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,74
"CHCHD3",28,0,12,2,1,1,3,56,13,0,0,2,9,2,43,28,4,1,1,9,1358,2,3,1,4,24
"EXOC4",8,0,0,0,0,0,0,15,2,0,1,0,0,1,13,5,2,0,0,2,235,0,0,0,2,9
"SLC35B4",7,1,2,0,0,0,0,2,1,0,0,0,1,0,3,7,0,0,0,2,37,0,0,0,0,3
"RP11-38M8.1",7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1
"AKR1B1",260,14,54,13,1,2,5,443,39,1,3,1,5,1,104,60,5,6,2,27,169,1,6,2,9,54
"AKR1B10",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,2773,0,0,0,0,0
"BPGM",0,1,2,1,0,2,0,26,0,0,0,0,4,0,15,17,0,3,2,7,91,0,0,0,1,12
"CALD1",2,0,0,0,0,0,6,1514,0,0,0,0,0,0,1,0,74,0,0,0,2,27,1,0,0,67
"AGBL3",0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,3
"C7orf49",13,5,2,3,0,1,1,44,4,0,0,0,1,1,16,12,2,2,0,0,201,0,2,1,1,15
"TMEM140",6,4,1,3,0,0,5,39,5,0,0,0,1,0,20,4,1,1,0,5,107,0,3,1,1,36
"RP11-134L10.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,2
"WDR91",1,0,2,1,0,0,0,6,2,2,0,0,0,0,1,2,0,0,0,0,14,0,0,0,1,0
"CNOT4",5,1,2,4,0,0,0,35,5,1,0,0,2,0,25,14,3,1,1,7,231,1,0,0,4,17
"NUP205",0,1,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,45,0,0,0,0,1
"C7orf73",28,6,21,4,2,0,1,164,15,1,5,0,15,2,79,44,13,11,5,12,1219,0,1,4,6,15
"FAM180A",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTPN",21,0,13,2,1,0,1,56,2,0,1,0,2,0,14,15,4,3,4,8,306,0,0,0,4,18
"PTN",0,0,0,0,0,0,2,541,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,4
"CREB3L2",15,1,4,2,1,0,2,36,2,1,0,0,1,0,14,10,2,0,1,5,81,3,3,0,1,19
"TRIM24",1,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,1,0,0,0,70,0,0,0,0,1
"SVOPL",0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0
"KIAA1549",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1
"ZC3HAV1",15,2,2,0,0,0,1,10,9,0,0,1,1,1,34,19,0,4,1,8,169,0,0,0,1,22
"TTC26",0,0,2,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,1
"UBN2",0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,1,47,0,0,0,0,2
"C7orf55",6,1,6,5,1,0,2,57,9,0,0,0,3,0,17,14,3,4,3,7,1157,1,1,0,3,31
"C7orf55-LUC7L2",7,6,5,8,1,0,1,51,14,1,0,0,6,0,43,27,9,3,0,14,334,2,2,5,2,30
"RP11-634H22.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0
"HIPK2",4,0,3,0,0,0,0,12,0,0,1,0,1,2,4,2,3,0,0,0,136,0,1,0,0,13
"TBXAS1",84,0,36,0,0,0,1,11,0,0,1,0,4,0,24,2,6,2,1,1,47,0,0,0,1,0
"PARP12",13,1,2,1,0,0,0,12,4,0,0,0,4,0,16,8,0,0,0,5,389,0,0,0,0,7
"JHDM1D-AS1",5,0,2,1,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,375,0,0,0,0,1
"SLC37A3",0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,3,1,0,0,3,103,0,0,0,0,2
"MKRN1",13,4,4,3,1,2,2,53,12,1,0,1,7,1,39,17,6,2,0,9,1161,0,5,0,4,13
"DENND2A",0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,1,962,1,0,0,0,0
"ADCK2",11,2,2,1,0,1,0,4,1,0,0,0,1,0,8,9,1,0,0,1,217,0,1,0,0,5
"NDUFB2",375,24,80,31,4,1,9,417,82,6,8,2,27,7,364,168,44,31,13,71,14044,13,8,21,32,158
"NDUFB2-AS1",2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0
"BRAF",0,3,2,1,0,0,0,7,2,0,1,0,0,0,8,9,0,0,0,1,57,0,0,0,1,5
"MRPS33",25,6,9,6,2,0,0,54,17,2,1,2,5,1,49,23,4,6,2,12,2485,1,8,3,8,18
"AGK",1,0,1,1,0,0,1,4,1,0,0,0,0,0,7,6,1,0,1,2,62,0,0,0,1,4
"RP5-894A10.2",1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,37,0,0,0,0,1
"KIAA1147",0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,1,76,0,0,0,0,3
"SSBP1",66,12,29,12,8,2,4,131,37,2,3,3,11,3,140,72,13,19,8,38,2596,4,10,6,18,63
"MGAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"TRBC2",5,219,3,228,19,42,1,6,338,48,55,15,0,7,2302,1315,0,178,28,527,40,0,0,41,378,0
"EPHB6",0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,1,0,1,1,1,0,0,2,0
"GSTK1",93,33,37,39,7,6,3,184,99,9,4,5,18,4,374,221,7,33,16,95,7439,4,8,7,34,127
"TMEM139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,410,0,0,0,0,1
"CASP2",0,0,0,1,0,0,0,5,1,0,0,0,0,0,2,3,0,0,0,0,55,0,0,0,0,0
"AC093673.5",5,1,2,4,0,0,0,12,7,0,0,0,1,0,9,14,6,1,1,5,29,0,0,0,3,3
"ZYX",48,8,25,11,1,0,1,63,23,1,0,0,1,0,43,39,24,2,1,13,244,1,0,2,7,17
"EPHA1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,2,0,1,119,0,0,1,0,0
"EPHA1-AS1",0,1,0,0,0,0,0,1,2,0,0,0,0,0,6,3,0,2,1,0,6,0,0,0,0,0
"ARHGEF35",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,397,0,0,0,0,0
"RP4-545C24.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OR2A1-AS1",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"ARHGEF5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,1,0,0
"TPK1",3,0,3,0,0,0,0,4,0,0,0,0,0,0,8,2,0,0,0,0,61,0,0,1,0,4
"CNTNAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"RP5-1136G13.2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,14,0,0,0,0,2
"CUL1",5,1,7,1,0,0,0,22,5,0,0,0,2,0,11,12,0,5,1,4,240,0,0,0,4,7
"EZH2",2,1,1,0,0,0,0,2,0,0,0,0,2,0,2,1,0,0,0,1,178,0,0,4,2,5
