"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"KDM4A-AS1",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0
"ST3GAL3",3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"IPO13",5,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,42,0,0,1
"DPH2",1,1,3,0,0,0,5,1,1,0,4,3,1,0,0,0,0,94,0,1,1
"ATP6V0B",395,18,141,3,2,1,111,32,16,17,39,39,5,1,12,2,6,2001,38,9,33
"B4GALT2",1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,157,1,0,0
"CCDC24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,1
"SLC6A9",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,28,1,0,0
"DMAP1",9,3,3,0,0,0,29,7,3,1,10,10,4,0,1,2,1,285,7,4,1
"ERI3",17,1,9,0,0,0,41,6,3,0,3,6,6,0,3,2,2,476,2,0,9
"RNF220",10,1,2,0,0,0,10,2,0,0,3,7,0,0,1,0,0,164,0,0,2
"TMEM53",13,0,5,0,0,0,5,0,0,0,2,1,2,0,0,0,0,220,0,0,0
"C1orf228",0,0,0,1,0,0,0,0,1,0,3,4,0,1,1,0,0,7,0,0,0
"KIF2C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,0,0,0
"RPS8",770,177,756,76,35,8,2069,379,90,199,1175,812,64,134,271,66,74,35907,366,100,301
"BEST4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,384,0,0,0
"PLK3",6,4,5,1,2,1,20,3,1,0,17,8,0,0,3,1,1,109,0,4,6
"EIF2B3",16,1,5,0,0,0,17,4,1,0,5,1,1,0,2,1,2,97,2,1,3
"HECTD3",1,0,1,0,0,0,6,1,0,1,0,1,1,0,0,0,0,98,0,0,2
"UROD",53,0,13,0,0,2,60,8,3,2,11,4,5,0,1,0,0,365,5,2,11
"ZSWIM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"HPDL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0
"MUTYH",5,0,7,0,0,0,12,3,0,0,0,2,2,0,0,0,0,121,2,1,1
"TOE1",2,1,0,1,0,0,5,2,1,0,3,2,0,0,0,0,1,65,1,0,2
"TESK2",1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,18,0,1,0
"CCDC163P",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"MMACHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"PRDX1",507,13,109,4,4,16,291,22,25,19,53,38,24,1,12,1,3,2805,31,23,126
"AKR1A1",158,3,57,3,2,0,88,7,9,6,21,22,8,1,2,4,1,1177,26,4,22
"NASP",24,5,18,0,0,1,51,10,2,0,12,13,3,1,2,1,0,650,3,1,15
"CCDC17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"GPBP1L1",6,3,5,1,0,1,19,5,2,0,5,13,0,1,2,0,1,380,3,0,6
"TMEM69",7,2,4,0,0,0,21,0,0,0,5,7,2,2,0,0,0,167,1,3,4
"IPP",0,0,0,0,0,0,3,0,0,0,0,4,0,0,2,0,0,36,0,1,0
"MAST2",1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,247,0,0,0
"PIK3R3",6,1,9,0,0,0,23,0,2,0,9,10,2,0,1,0,1,49,4,3,18
"TSPAN1",4,0,2,1,0,0,5,4,1,1,2,6,0,1,1,1,0,5155,1,0,2
"POMGNT1",2,0,0,0,1,1,9,0,0,0,4,3,0,0,0,0,2,127,0,3,4
"RAD54L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"LRRC41",7,2,6,3,0,0,29,6,0,0,5,7,0,0,0,1,1,219,3,0,4
"UQCRH",155,17,84,3,4,2,232,42,17,16,81,90,10,8,3,6,6,9047,54,9,57
"NSUN4",7,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,48,0,0,3
"FAAH",2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,0,351,0,0,2
"MKNK1",54,0,7,0,1,0,13,1,0,0,10,11,0,1,0,0,1,114,2,2,2
"MOB3C",2,1,1,1,0,0,9,0,0,0,1,2,1,0,0,0,0,52,1,1,3
"ATPAF1",3,1,0,21,0,1,38,4,0,1,10,6,0,1,0,5,0,363,3,1,6
"EFCAB14",5,3,4,2,1,0,19,6,4,0,4,5,1,0,4,1,3,151,5,2,4
"LINC00853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"PDZK1IP1",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,796,0,0,0
"STIL",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,38,0,0,0
"CMPK1",24,18,19,7,1,1,56,35,11,8,65,56,3,6,10,3,2,811,15,7,23
"FOXD2-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,0
"FOXD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0
"SPATA6",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,1
"BEND5",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,1,0,2
"FAF1",1,0,2,1,0,0,12,1,0,0,3,1,0,0,0,1,1,190,3,1,1
"CDKN2C",13,1,3,1,0,2,62,4,0,0,5,6,3,0,0,0,0,60,1,1,11
"RNF11",4,4,4,2,0,6,19,4,2,0,10,7,3,2,0,0,1,91,3,0,5
"TTC39A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,0
"EPS15",1,1,0,0,1,0,15,5,0,4,9,8,1,1,0,2,0,73,3,4,4
"RP11-191G24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"OSBPL9",4,1,2,0,1,1,19,2,1,0,3,4,2,1,1,1,1,106,3,0,10
"RAB3B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"TXNDC12",48,6,12,3,2,1,117,16,6,2,27,19,1,3,6,5,0,454,9,5,26
"KTI12",6,2,1,0,0,0,10,0,2,0,4,2,0,0,0,0,0,60,3,1,2
"BTF3L4",47,5,14,0,0,0,48,12,7,0,12,19,5,0,1,0,2,178,2,2,9
