"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"SLC38A1",2,6,8,0,0,1,0,2,5,1,1,0,0,1,63,16,0,1,20,0,2,12,402,26,0,0,6,1
"SLC38A2",3,7,13,0,1,3,6,114,1,2,0,0,3,1,33,11,0,0,11,0,2,3,420,49,1,0,7,17
"RP11-96H19.1",0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,34,12,0,0,0,1
"RP11-446N19.1",4,1,3,0,0,1,0,9,2,1,0,0,0,0,11,1,1,0,2,0,1,1,106,33,0,0,0,3
"SLC38A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"AMIGO2",0,0,0,0,0,0,3,14,0,0,0,0,0,1,2,1,0,0,1,1,0,0,4,6,0,0,0,2
"PCED1B",0,1,0,0,2,1,0,5,1,0,0,0,0,3,26,12,0,0,8,0,0,1,5,22,0,7,6,0
"RP11-493L12.4",0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,4,0,0,1,0
"RPAP3",2,0,4,0,1,0,2,38,0,2,0,0,1,2,12,4,0,0,0,0,0,1,129,15,0,9,1,5
"RP1-197B17.3",1,0,1,0,0,0,0,11,1,0,0,0,0,0,2,0,0,0,0,0,1,0,50,11,0,1,0,1
"RAPGEF3",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,15
"SLC48A1",4,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,69,6,0,1,1,3
"HDAC7",0,1,0,0,0,0,2,37,0,2,0,1,0,1,12,4,0,0,4,0,0,2,70,9,0,7,5,34
"VDR",1,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,592,9,1,0,2,1
"RP11-89H19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"TMEM106C",4,3,18,0,1,2,8,61,3,3,1,0,0,6,35,3,1,1,7,1,1,8,3695,30,0,26,1,11
"SENP1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,2,0,0,0,1
"PFKM",2,1,3,0,0,0,6,123,0,0,0,0,1,2,3,0,4,0,0,0,0,0,194,13,0,4,1,11
"ASB8",5,4,5,0,1,0,5,52,3,2,0,2,0,2,30,5,1,0,10,0,1,2,328,22,0,3,9,13
"ZNF641",2,0,2,0,0,0,0,11,1,1,0,0,0,1,2,0,0,0,3,0,0,3,27,0,0,1,0,3
"C12orf54",2,0,0,0,0,0,0,11,1,0,0,0,0,1,3,0,0,0,0,0,0,0,81,2,0,1,1,1
"KANSL2",2,4,0,0,0,2,6,59,8,0,0,0,1,1,26,7,0,1,10,0,1,2,205,18,0,2,2,11
"CCNT1",4,1,4,0,1,2,0,17,0,0,0,0,0,2,9,4,0,1,4,0,0,0,106,4,0,0,1,6
"ADCY6",0,0,2,0,0,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,613,0,0,0,0,1
"RP11-579D7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
