"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"PXDC1",5,0,11,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,7
"FAM50B",3,0,8,0,0,0,0,35,0,2,0,1,0,0,10,0,0,0,2,0,0,0,61,8,0,3,0,2
"PRPF4B",2,0,6,1,0,0,3,51,5,0,0,0,1,3,13,5,0,1,9,0,2,0,350,16,0,2,1,12
"ECI2",12,4,17,0,0,0,15,161,5,2,0,1,0,7,37,9,2,2,11,0,1,2,1693,38,0,2,0,27
"CDYL",0,0,1,0,0,0,1,8,0,0,0,1,0,2,1,3,1,0,0,0,2,0,147,4,0,0,1,2
"RPP40",3,0,6,0,2,0,2,42,1,1,0,0,0,3,6,4,0,0,2,1,0,1,398,6,0,3,1,7
"RP11-428J1.5",0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1
"PPP1R3G",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"LYRM4",23,8,18,0,0,0,10,174,1,0,2,1,3,6,50,10,1,3,14,0,1,3,875,40,0,13,3,17
"FARS2",2,0,9,0,0,0,2,44,0,0,0,0,0,1,20,4,0,1,5,0,0,3,407,20,1,4,2,7
"NRN1",0,1,0,0,0,0,54,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,87
"F13A1",24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LY86",73,0,115,0,0,0,0,1,0,0,0,0,0,40,2,1,0,4,0,0,0,0,2,2,8,40,0,0
"RP1-80N2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"RP1-80N2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"RREB1",4,0,4,0,0,0,1,14,0,0,0,0,2,1,4,0,0,0,2,0,0,1,279,2,0,0,0,5
"SSR1",39,4,52,0,0,4,8,151,2,2,0,1,1,7,70,12,2,0,23,0,1,9,656,172,1,5,0,23
"CAGE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"RIOK1",7,6,17,0,0,2,1,88,2,1,0,1,1,1,40,6,1,0,6,0,0,5,332,17,2,2,2,13
"RP3-512B11.3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,5
"DSP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1204,0,0,0,0,3
"SNRNP48",8,2,7,0,0,0,5,62,0,0,0,0,1,2,22,2,0,0,5,0,0,6,259,6,0,5,2,14
"BMP6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
"TXNDC5",0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21,20,0,1,0,0
"BLOC1S5",0,1,0,0,0,1,5,48,1,0,0,0,2,0,16,2,0,0,3,0,1,0,102,3,0,3,1,4
"EEF1E1",11,8,19,1,1,3,14,77,8,5,0,1,1,2,47,13,1,1,13,1,1,10,991,33,0,16,9,11
"SLC35B3",3,1,10,0,0,0,8,86,4,2,0,1,0,6,25,5,2,0,9,0,0,2,557,20,0,1,4,18
"RP11-314C16.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,2
"TFAP2A",0,0,0,0,0,0,25,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCNT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0
"C6orf52",0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0
"PAK1IP1",11,3,17,0,1,0,12,90,1,1,0,2,4,1,33,3,1,0,9,1,0,2,767,21,1,4,5,12
"TMEM14C",77,16,118,2,0,2,23,775,8,7,0,0,5,8,96,18,12,0,25,1,4,15,4254,138,2,13,5,108
"RP11-421M1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"TMEM14B",70,19,93,1,5,8,28,412,13,14,1,4,3,25,174,36,8,4,50,1,9,24,3730,135,5,32,23,56
"MAK",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
"SMIM13",2,0,7,0,0,0,0,26,1,0,0,0,4,4,11,3,0,0,0,0,0,0,142,12,0,3,0,5
"NEDD9",3,3,10,3,1,0,3,7,3,0,0,0,0,1,29,9,0,0,7,1,1,3,381,15,1,5,3,47
"ADTRP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0,639,5,0,0,9,0
"RP11-456H18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"HIVEP1",0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,2,61,1,0,0,1,1
"EDN1",0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,582,3,0,0,0,32
"PHACTR1",9,0,74,0,0,0,1,4,0,1,0,0,0,7,1,1,0,2,0,0,0,0,1,68,3,3,0,1
"TBC1D7",3,1,10,0,0,0,2,43,5,0,1,0,1,3,12,2,1,1,1,0,0,0,562,22,0,8,1,7
"GFOD1",0,1,2,0,0,0,0,20,0,1,0,1,0,0,1,1,0,1,0,0,0,2,78,4,0,0,0,1
"SIRT5",3,2,3,0,1,0,1,46,1,0,0,0,0,1,18,3,2,1,7,0,1,2,336,5,0,2,0,12
"RP1-223E5.4",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,2,0,1,0,1
"NOL7",39,19,31,2,0,2,18,338,13,1,3,1,6,19,125,24,5,7,34,2,3,13,2788,260,6,33,15,54
"RANBP9",2,2,3,0,2,0,0,14,0,0,0,0,0,0,14,0,2,0,1,0,0,0,129,3,0,2,0,1
"MCUR1",22,4,24,0,1,0,18,80,1,0,0,0,2,3,17,10,2,0,6,0,0,3,798,105,0,8,1,23
"CD83",54,2,223,0,3,0,4,12,0,6,1,4,4,104,50,6,1,17,17,1,3,5,47,7,16,14,7,4
"RP11-560J1.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0
"JARID2",2,0,9,0,0,0,4,24,1,0,0,0,1,1,14,1,0,3,5,0,1,2,149,6,0,0,1,3
"DTNBP1",10,3,13,2,1,0,1,61,1,0,0,0,7,6,24,10,0,3,7,0,3,1,490,19,0,8,3,16
"MYLIP",10,14,16,0,3,1,24,213,0,5,2,0,2,14,114,20,3,1,21,0,0,10,503,50,2,1,7,56
"GMPR",1,1,1,0,0,0,0,18,0,0,0,0,13,0,1,0,0,0,0,0,0,0,63,1,0,0,0,17
"ATXN1",1,1,3,0,1,1,0,38,0,0,0,0,1,2,12,6,1,0,5,0,0,1,57,24,1,0,1,1
"RP1-151F17.2",0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0
"STMND1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
"FAM8A1",1,2,2,0,0,0,2,24,0,1,0,0,2,2,5,2,0,0,3,0,0,1,99,6,0,0,0,1
"NUP153",0,0,2,0,0,0,2,16,0,0,0,0,0,0,11,0,0,0,2,0,0,0,100,5,0,2,0,6
"RP11-500C11.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,18,2,0,2,1,0
"KIF13A",0,0,2,0,0,0,3,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,262,0,1,0,0,8
"NHLRC1",1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1
"TPMT",28,4,40,0,1,0,3,87,2,1,0,0,3,0,31,6,1,1,8,0,1,3,837,20,2,3,1,9
"KDM1B",0,0,7,0,0,1,3,6,1,0,0,0,0,1,2,0,0,1,0,0,0,0,85,0,0,3,0,0
"DEK",28,3,67,1,3,5,19,326,5,5,0,1,4,11,106,18,6,3,23,2,3,16,2447,6,2,82,8,47
"RNF144B",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0
"ID4",0,2,0,0,0,0,41,311,1,0,0,0,0,0,1,0,0,0,0,0,0,0,381,1,0,0,0,2
"MBOAT1",0,0,1,0,0,0,0,12,0,1,0,0,1,0,2,0,0,0,0,0,0,0,148,1,0,0,0,0
"E2F3",0,0,2,0,0,0,1,5,1,1,0,0,1,0,4,1,0,0,1,0,0,1,73,2,1,1,3,2
"CDKAL1",0,0,2,0,0,0,2,16,1,0,0,0,0,0,3,1,0,0,0,0,0,2,89,8,0,1,0,4
"SOX4",1,0,7,0,0,0,33,185,0,1,0,0,4,0,0,0,1,0,0,0,1,0,1397,5,0,0,0,40
"CASC15",0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"DCDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"MRS2",2,1,7,0,1,0,4,46,2,2,0,0,0,2,12,0,1,0,2,0,0,3,359,13,1,6,1,2
"GPLD1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
"ALDH5A1",0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,114,7,0,9,0,1
"TDP2",10,3,6,0,0,1,5,88,4,1,0,0,2,3,43,7,2,0,12,0,0,2,2306,26,0,12,2,15
"ACOT13",29,4,11,0,0,2,10,99,3,0,0,1,1,1,20,5,1,0,2,0,0,4,1901,35,1,8,1,23
"RP1-30M3.5",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"C6orf62",9,1,7,0,1,1,5,60,2,3,0,1,1,1,29,8,0,0,8,0,0,2,403,14,0,0,0,19
"RP1-30M3.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"GMNN",12,2,12,0,0,0,7,49,1,2,0,0,2,1,17,7,0,0,6,0,1,6,3132,17,0,35,0,14
"FAM65B",0,3,8,0,1,0,1,0,2,0,0,2,0,14,18,4,0,1,20,1,1,0,1,4,2,8,1,2
"RP11-367G6.3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,2,0,0,0,0,0,0,0,1,0
"LRRC16A",0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,82,4,0,0,0,0
"SCGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
"SLC17A4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0
"TRIM38",2,1,15,0,0,2,5,42,7,0,0,0,1,4,23,10,0,1,8,1,0,4,181,11,1,2,6,17
"U91328.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"HIST1H4A",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HIST1H4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"HIST1H3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"HIST1H1C",5,2,3,1,0,0,3,28,0,3,0,0,0,2,9,2,0,0,2,0,0,1,1231,41,0,1,1,0
"HFE",2,0,1,0,0,0,3,9,0,0,0,0,0,1,2,0,0,0,2,0,1,0,24,0,1,0,0,1
"HIST1H4C",59,27,106,1,3,9,18,228,14,11,3,2,12,31,233,54,0,4,48,2,12,19,22791,224,0,259,17,61
"HIST1H2BC",0,0,0,0,0,0,0,13,0,0,0,0,1,1,3,0,0,0,0,0,0,1,69,14,0,0,0,1
"HIST1H2AC",1,1,3,0,0,0,5,98,1,0,0,1,0,2,9,2,1,0,4,0,0,3,693,41,0,2,3,8
"HIST1H1E",0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0
"HIST1H2BD",0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,231,3,0,0,0,1
"HIST1H4D",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"HIST1H3D",1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,11,4,0,1,0,0
"HIST1H2BF",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"HIST1H4E",0,0,1,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,51,2,0,0,0,0
"HIST1H2BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,5,0,0,0,0
"HIST1H2AE",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,8,0,1,0,0
"HIST1H3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"HIST1H1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,20,0,0,3,2,0
"HIST1H3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"HIST1H2BH",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,0,3,0,0
"HIST1H3G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"HIST1H4H",0,0,1,0,0,0,1,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,82,22,0,1,0,0
"BTN3A2",7,21,24,0,3,0,10,178,9,3,1,0,1,13,84,22,3,3,21,1,2,10,452,148,1,3,10,63
"BTN2A2",2,1,5,0,0,0,1,17,1,0,0,0,0,5,0,0,0,0,1,0,0,0,20,25,1,1,1,7
"BTN3A1",4,3,3,0,0,2,4,53,2,0,0,0,0,5,24,8,0,0,7,0,0,1,79,31,1,0,1,10
"BTN3A3",2,6,0,0,0,1,0,32,2,0,0,0,0,2,19,4,0,0,6,0,0,2,21,16,0,0,1,17
"BTN2A1",2,2,8,0,1,2,2,57,1,2,0,0,1,6,12,3,1,0,4,0,0,2,199,8,0,1,0,15
"HCG11",2,0,3,0,0,0,3,37,0,0,0,0,0,3,4,1,0,0,1,0,0,1,49,12,0,0,0,5
"CTA-14H9.5",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0
"HMGN4",0,2,1,0,0,0,0,7,0,1,0,0,0,3,10,2,0,0,3,0,0,4,40,21,0,1,0,2
"ABT1",13,5,20,4,2,6,8,139,10,2,0,2,5,10,122,27,4,5,27,0,3,20,1058,76,0,19,9,27
"ZNF322",3,0,1,0,0,0,0,32,1,0,0,0,0,1,5,1,0,1,0,0,0,2,85,7,2,0,1,1
"RP11-457M11.5",1,0,0,0,0,0,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,28,0,0,0,0,0
"HIST1H2BJ",0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,14,0,0,0,0
"HIST1H2AG",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,3,1,0,0,1
"HIST1H4I",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,2,0,0,0,0
"HIST1H2BK",3,2,17,0,1,0,5,115,3,3,1,0,1,6,18,4,1,3,7,0,0,2,830,135,1,4,7,16
"HIST1H2AH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"PRSS16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,331,39,0,1,2,0
"ZNF391",0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1
"ZNF184",0,1,1,1,0,0,1,9,0,0,0,0,0,0,11,3,1,0,4,0,1,1,43,3,0,0,0,4
"HIST1H2AI",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"HIST1H2AJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"HIST1H4J",2,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,38,0,0,0,0,0
"HIST1H4K",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,34,0,0,0,0,0
"HIST1H2BN",0,0,3,0,0,0,0,8,0,0,0,0,0,1,5,0,0,0,1,0,0,0,31,13,0,1,2,3
"HIST1H2AL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"HIST1H1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"HIST1H2AM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,36,3,0,2,0,0
"RP1-313I6.12",5,3,3,0,1,1,0,19,3,1,0,0,0,9,25,5,0,1,14,1,0,2,91,37,0,0,0,1
"ZNF165",1,0,1,0,0,0,0,10,0,0,0,0,0,0,10,0,0,1,2,0,1,0,55,7,0,1,0,1
"ZSCAN16-AS1",3,1,3,0,0,0,2,65,1,1,0,1,2,1,12,2,0,0,5,0,0,1,137,11,0,3,0,1
"ZSCAN16",2,3,2,0,1,0,2,10,2,0,0,0,1,4,8,1,0,0,1,0,2,0,293,7,0,0,2,8
"ZKSCAN8",0,0,0,0,0,0,0,9,1,0,0,0,0,1,3,0,0,0,0,0,0,0,21,6,0,0,0,3
"ZSCAN9",2,1,7,0,0,0,3,21,0,0,0,0,0,1,3,0,1,0,0,0,0,0,85,1,0,0,0,6
"ZKSCAN4",2,0,1,0,0,0,1,12,0,0,0,0,1,1,0,1,0,0,1,0,0,1,50,3,0,0,0,1
"NKAPL",1,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PGBD1",1,0,2,0,0,0,1,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,2,0,1,0,0
"ZSCAN31",0,0,1,0,0,0,1,5,0,0,0,0,0,1,2,0,0,0,1,0,0,0,36,2,0,0,1,14
"ZKSCAN3",0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,1,0,0
"ZSCAN12",1,0,0,0,0,0,0,8,0,0,0,0,0,0,3,2,0,0,0,0,0,0,35,1,0,0,0,2
"TRIM27",16,4,11,0,0,1,3,48,3,1,0,1,2,3,24,5,1,0,9,0,0,3,431,40,0,4,3,5
"ZNF311",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"XXbac-BPG13B8.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBD",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4
"GABBR1",0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,4
"HLA-F",29,17,42,0,3,4,14,229,18,2,2,1,1,15,141,44,6,3,41,3,3,26,1064,71,1,3,11,73
"HLA-G",0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,2
"HLA-A",333,324,335,19,52,124,233,4458,241,78,15,34,47,254,2272,656,66,45,545,29,59,330,12975,967,31,39,247,1603
"ZNRD1-AS1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,13,2,0,0,0,0
"ZNRD1",13,10,17,0,1,0,7,152,6,5,0,1,1,8,84,22,3,0,20,0,0,4,888,33,3,6,2,12
"PPP1R11",19,24,47,1,0,2,14,242,14,14,2,0,5,24,176,27,4,4,49,1,2,14,1001,93,1,6,10,72
"RNF39",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"TRIM31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,920,0,0,1,0,0
"TRIM31-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"TRIM10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"TRIM15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
"TRIM26",1,1,5,0,1,0,1,38,0,0,0,0,0,1,17,1,0,1,1,0,1,1,275,13,1,0,1,7
"HCG17",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HCG18",0,4,4,0,0,1,2,29,2,1,0,0,0,3,14,6,0,0,8,0,0,6,137,16,0,0,0,2
"TRIM39",2,1,2,0,1,0,2,16,2,0,0,1,0,3,12,6,0,0,2,0,1,1,58,10,0,0,1,4
"RPP21",2,1,1,1,0,0,3,37,1,1,0,0,3,3,9,5,1,0,5,0,0,1,295,17,0,2,0,5
"HLA-E",298,132,214,15,13,48,116,1025,76,42,15,9,22,126,889,222,4,23,245,5,13,94,2274,736,22,34,95,961
"GNL1",2,3,4,0,0,1,8,138,2,0,1,2,5,4,23,4,2,0,4,0,3,4,286,27,1,11,2,24
"PRR3",1,1,5,0,0,1,2,31,1,1,0,0,0,0,11,3,0,0,5,0,0,1,80,5,0,0,0,1
"ABCF1",4,4,7,0,1,0,3,40,1,1,0,0,1,3,23,3,1,2,10,0,0,4,504,10,2,2,1,3
"PPP1R10",9,10,22,0,2,5,8,166,1,7,3,0,2,2,63,18,2,0,18,0,1,3,554,87,1,1,4,31
"MRPS18B",17,6,22,1,1,7,26,340,12,6,1,0,3,11,94,12,5,2,30,0,1,4,2588,100,1,17,8,47
"ATAT1",1,0,1,0,0,0,1,25,0,0,0,0,0,2,2,2,0,0,1,0,0,1,192,1,0,1,0,7
"C6orf136",8,1,5,0,0,0,3,19,2,1,0,0,0,4,13,1,0,1,3,0,0,2,1297,14,0,4,4,8
"DHX16",1,0,5,0,0,1,1,32,1,0,0,1,3,1,11,5,2,0,0,0,0,0,223,20,0,3,0,3
"PPP1R18",28,21,25,2,3,4,9,74,27,3,1,1,1,12,145,18,0,0,27,0,8,21,6,9,0,22,20,14
"NRM",5,0,3,0,0,0,1,21,4,0,0,0,1,2,5,1,1,0,3,0,0,1,156,1,0,4,2,2
"MDC1",0,2,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,1,0,0,0,1,148,3,0,0,1,3
"TUBB",210,24,348,6,2,7,123,1554,35,14,8,3,15,40,297,43,28,4,79,0,13,32,8522,155,3,361,22,147
"XXbac-BPG252P9.9",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2
"FLOT1",12,5,45,0,1,1,29,223,4,4,1,1,6,7,44,8,5,0,11,0,3,5,1910,41,1,6,1,68
"XXbac-BPG252P9.10",1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0
"IER3",39,0,34,0,0,0,61,317,0,0,0,0,1,0,7,1,0,0,4,0,2,1,2784,14,6,0,1,34
"DDR1-AS1",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,2
"DDR1",0,1,1,0,0,0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,953,1,0,0,0,1
"VARS2",2,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,0,0,1,0,0,0,170,5,0,2,0,3
"PSORS1C1",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,1
"CCHCR1",1,0,4,0,0,0,1,28,0,0,0,0,0,2,7,0,1,0,5,0,0,0,518,5,0,3,0,4
"TCF19",3,0,6,0,0,0,2,17,0,2,0,0,0,1,4,2,0,0,2,0,1,0,204,7,0,3,2,3
"POU5F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"XXbac-BPG299F13.17",3,3,1,0,0,1,7,39,3,3,0,0,0,6,33,3,0,0,18,0,0,5,64,24,0,4,1,8
"HCG27",0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,19,1,0,0,1,1
"HLA-C",712,423,833,43,59,127,436,6180,315,118,37,25,66,330,3061,880,85,51,745,32,131,455,15141,3224,57,59,254,2181
"HLA-B",377,155,411,16,31,36,125,2275,117,64,7,8,18,140,1286,311,32,17,315,12,48,173,11496,886,37,50,115,758
"XXbac-BPG181B23.7",1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,47,1,0,0,1,2
"MICA",3,1,3,0,0,0,15,81,1,0,0,0,0,0,16,0,1,0,4,0,2,1,282,6,0,1,1,22
"MICB",3,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,4,0,0,1,13,4,0,1,1,3
"DDX39B",0,0,0,0,0,0,1,10,0,0,0,0,0,1,3,1,0,0,2,0,0,2,88,1,1,0,0,1
"ATP6V1G2",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NFKBIL1",3,0,4,0,0,1,10,79,0,0,0,0,0,1,8,5,1,0,0,0,0,0,325,20,0,2,3,15
"LTA",1,0,0,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,8,0,0,1,0,1,0,0,2,0
"TNF",8,11,10,0,5,0,0,2,0,5,1,1,3,3,59,2,0,3,2,0,0,6,3,2,1,3,1,0
"LTB",18,86,85,1,6,23,7,10,28,100,40,12,0,285,1728,188,0,43,594,5,7,90,40,21,0,289,176,7
"LST1",244,7,717,0,0,0,1,1,1,4,1,13,1,5,81,3,0,0,17,0,6,0,3,6,62,5,1,0
"NCR3",0,4,0,3,1,1,0,1,18,1,0,0,1,23,15,12,0,2,11,0,6,8,1,0,0,1,3,0
"AIF1",913,4,1178,0,0,0,0,9,0,0,0,0,7,4,20,6,0,0,6,1,0,3,9,11,84,2,7,0
