"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"PID1",7,0,12,0,25,0,0,0,0,0,0,0,0,28,0,0
"TRIP12",6,0,0,0,10,0,0,0,2,0,0,1,0,14,0,4
"FBXO36",0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0
"SP110",6,0,6,0,89,5,0,0,16,2,0,7,2,19,4,12
"SP140",0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
"SP140L",2,4,1,2,17,1,0,1,2,3,1,0,0,4,2,4
"SP100",23,3,13,4,184,2,2,7,21,10,6,2,0,112,5,60
"CAB39",5,0,0,1,10,0,0,0,1,3,0,1,0,10,0,3
"ITM2C",82,9,21,33,528,2,27,2,30,18,53,1,2,2298,0,47
"C2orf72",0,0,0,0,2,0,0,0,0,0,0,0,0,40,0,0
"PSMD1",5,0,1,2,40,0,1,0,3,0,1,1,0,84,2,10
"ARMC9",0,0,0,0,9,0,0,0,1,0,0,0,0,8,0,1
"B3GNT7",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
"NCL",20,0,13,1,137,1,7,2,10,9,5,0,0,182,0,24
"NMUR1",0,0,0,0,27,2,0,0,0,1,0,0,1,0,0,0
"PTMA",1567,126,682,118,4262,215,216,143,929,166,165,225,68,7885,111,1957
"PDE6D",11,0,2,2,43,3,0,0,4,3,2,0,0,25,0,15
"COPS7B",2,1,2,0,18,0,1,1,2,0,0,2,1,33,0,1
"DIS3L2",1,0,0,0,9,0,0,0,0,0,0,1,0,22,0,3
"ALPI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"EIF4E2",22,0,16,3,122,0,2,0,15,1,8,2,2,321,2,25
"EFHD1",0,0,0,0,44,0,0,0,1,0,5,0,0,0,0,16
"GIGYF2",6,6,0,3,31,0,0,0,5,0,0,0,0,28,0,4
"C2orf82",0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0
"NGEF",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"INPP5D",12,2,1,0,0,7,0,0,0,3,0,0,0,0,0,3
"ATG16L1",1,1,1,0,2,0,1,0,0,0,0,0,0,9,0,3
"DGKD",0,0,0,0,4,1,0,0,0,0,0,0,0,35,0,0
"USP40",3,0,0,0,10,0,0,0,0,0,0,0,0,15,0,3
"HJURP",8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ARL4C",44,7,24,0,1,1,0,0,18,4,1,10,1,0,5,4
"SH3BP4",0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,1
"AGAP1",0,0,0,0,12,0,0,0,0,0,1,0,0,20,0,0
"ACKR3",0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,2
"COPS8",12,0,6,6,152,1,3,0,20,3,5,8,0,60,3,68
"COL6A3",0,0,0,0,148,0,0,0,0,0,9,0,1,2,0,0
"MLPH",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"RAB17",0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"AC104667.3",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"LRRFIP1",37,0,8,0,77,7,3,0,19,4,1,13,5,167,13,64
"RAMP1",0,0,0,0,15,0,0,0,0,0,0,0,1,5,0,28
"UBE2F",29,0,0,3,48,1,3,1,5,1,1,1,1,74,0,39
"SCLY",0,0,0,1,6,0,0,0,0,0,0,0,0,15,0,4
"ILKAP",13,1,1,0,39,0,0,4,3,0,6,0,2,57,0,6
"HES6",0,0,0,4,0,0,0,0,0,0,0,0,0,118,0,1
"PER2",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"TRAF3IP1",0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0
"ASB1",5,1,0,0,17,0,0,0,0,0,1,0,0,11,0,0
"HDAC4",3,0,0,0,9,0,0,0,0,0,0,0,0,5,0,4
"AC062017.1",0,0,2,0,1,0,0,0,0,0,0,0,0,10,0,0
"NDUFA10",25,1,17,2,215,3,2,3,19,2,7,2,1,632,2,33
"MYEOV2",53,4,23,8,269,4,4,2,36,2,15,17,2,381,6,61
"GPC1",0,0,0,2,62,0,0,0,0,0,3,0,0,4,0,1
"ANKMY1",0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2
"DUSP28",2,2,4,0,11,1,0,0,1,1,0,2,0,25,0,5
"RNPEPL1",12,0,1,1,4,1,0,0,5,1,0,1,1,62,0,7
"CAPN10-AS1",0,0,0,0,10,0,0,0,3,0,0,0,0,1,0,1
"CAPN10",0,0,1,0,10,0,0,0,0,1,0,0,0,10,1,4
"GPR35",21,0,5,0,0,0,1,0,1,0,0,0,0,42,0,0
"AC011298.2",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"AGXT",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"C2orf54",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"SNED1",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
"PASK",0,0,0,4,5,0,0,1,12,0,0,0,0,7,0,420
"PPP1R7",21,6,5,3,152,3,2,2,24,5,3,14,3,201,2,40
"ANO7",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"HDLBP",18,0,6,3,64,0,0,1,2,0,0,2,0,206,0,7
"SEPT2",20,1,11,11,139,0,5,1,11,1,1,1,0,132,0,34
"FARP2",3,0,0,1,5,0,0,0,0,0,1,0,0,45,0,1
"STK25",4,0,2,0,80,1,0,0,2,0,0,2,0,72,0,14
"BOK",0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,1
"THAP4",9,0,2,0,15,0,0,0,2,0,2,1,0,165,1,4
"ATG4B",9,0,4,0,32,1,0,1,5,0,1,0,0,57,0,5
"DTYMK",42,0,8,3,76,0,1,0,3,2,1,1,0,162,1,25
"ING5",0,0,1,2,11,1,0,0,0,0,0,0,0,30,0,2
"D2HGDH",9,0,0,0,16,0,0,0,1,0,0,3,1,93,0,4
"AC114730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"NEU4",0,0,1,0,0,0,0,0,0,0,0,0,0,142,0,1
"CHL1",0,0,0,3,45,0,0,2,0,0,2,0,0,0,0,0
"CNTN4",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1
"IL5RA",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"TRNT1",2,0,1,3,18,0,3,0,1,1,0,0,0,29,3,16
"CRBN",9,0,5,5,117,0,7,0,9,2,11,1,0,70,0,39
"SUMF1",4,0,2,3,41,2,0,0,5,0,2,0,0,44,0,12
"SETMAR",1,0,1,1,25,0,0,0,0,0,0,0,0,18,0,6
"ITPR1",0,0,0,10,6,0,0,0,3,0,0,0,0,0,0,11
"AC018816.3",4,0,2,0,3,2,0,0,1,0,0,0,0,8,0,6
"BHLHE40",5,4,12,4,8,2,9,1,4,3,0,1,0,10,0,48
"ARL8B",10,1,0,0,15,0,0,1,6,0,1,0,0,14,0,7
"EDEM1",3,0,2,0,7,0,0,0,0,0,0,2,0,19,0,3
"LMCD1",1,0,0,0,87,0,0,0,0,0,3,0,0,3,1,40
"SSUH2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RAD18",3,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0
"SRGAP3",2,0,0,0,11,0,1,0,0,0,0,0,0,11,0,0
"THUMPD3",5,0,0,0,40,0,1,1,4,0,2,3,0,48,0,5
"SETD5",2,0,0,0,19,0,1,0,1,0,1,1,0,45,0,4
"MTMR14",8,1,10,1,16,0,1,0,6,0,1,2,0,33,4,17
"BRPF1",4,0,0,0,7,0,0,0,0,0,0,0,0,5,0,1
"OGG1",0,0,0,0,45,8,1,0,6,0,4,1,0,25,0,10
"CAMK1",51,0,6,2,40,0,0,0,0,0,2,0,2,20,1,10
"TADA3",14,0,9,3,87,4,0,0,7,2,7,7,0,99,0,13
"ARPC4",46,0,18,1,72,5,0,10,17,8,0,6,0,110,0,25
"TTLL3",1,0,1,1,31,0,0,0,1,1,0,0,0,7,0,3
"RPUSD3",18,2,1,2,33,2,1,1,3,1,5,1,0,53,2,15
"CIDEC",1,0,0,0,5,0,0,0,1,0,0,0,0,5,0,0
"JAGN1",10,0,3,15,106,1,4,2,18,4,0,4,0,136,0,24
"IL17RE",1,0,0,1,11,0,0,0,1,0,0,0,0,57,0,1
"IL17RC",2,0,0,1,58,0,0,0,0,0,2,0,0,34,0,5
"CRELD1",3,0,0,1,12,0,2,1,3,0,1,1,0,32,0,18
"PRRT3",0,0,0,0,8,0,0,0,2,0,0,0,0,5,0,0
"PRRT3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"EMC3",60,2,10,5,208,4,4,5,6,8,12,5,1,155,2,35
"FANCD2",0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0
"BRK1",156,18,58,13,928,16,10,10,62,11,21,11,9,504,8,180
"VHL",2,1,3,0,8,0,1,0,3,3,1,1,0,10,0,1
"TATDN2",0,0,0,0,9,0,0,0,1,0,1,0,0,13,2,0
"SEC13",20,2,9,6,84,2,0,3,14,0,9,2,0,157,1,19
"HRH1",3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1
"ATG7",6,0,1,0,22,0,0,0,0,0,0,0,0,6,0,13
"VGLL4",13,0,0,6,61,1,2,2,3,2,3,2,0,71,0,29
"TAMM41",4,2,2,1,9,0,0,0,1,2,0,3,0,26,0,6
"TIMP4",0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0
"PPARG",0,0,0,2,13,0,0,0,0,0,1,0,0,172,0,5
"TSEN2",0,0,0,1,9,0,1,0,0,0,2,0,0,14,0,2
"MKRN2",1,0,0,1,22,0,0,0,2,0,6,2,0,15,0,7
"RAF1",4,2,6,1,34,1,1,0,4,1,1,1,1,57,0,5
"RPL32",958,157,665,89,6059,144,175,295,1533,231,132,468,78,13992,174,1136
"IQSEC1",3,1,0,0,6,0,0,0,0,1,0,0,0,13,0,9
"NUP210",2,3,0,0,0,0,0,0,2,3,0,0,0,14,0,1
"HDAC11",2,0,0,4,22,0,0,0,1,0,0,0,0,35,0,3
"FBLN2",0,0,0,19,54,0,0,0,0,0,0,0,0,0,0,14
"CHCHD4",4,0,2,0,14,0,1,0,1,0,5,0,0,37,0,8
"TMEM43",2,0,3,3,59,0,0,0,7,4,3,4,1,13,0,12
"XPC",1,0,0,0,31,0,0,0,5,0,0,0,0,24,2,13
"LSM3",23,0,5,9,207,1,0,5,22,13,4,3,5,292,5,43
"SLC6A6",8,2,0,0,18,0,0,0,3,4,0,1,0,0,0,8
"CCDC174",4,2,2,2,50,2,1,1,5,0,0,3,0,32,1,6
"FGD5",1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14
"FGD5-AS1",8,0,1,3,36,0,3,0,5,0,2,0,0,64,0,17
"MRPS25",21,0,13,4,65,1,0,3,3,0,4,1,0,329,1,12
"CAPN7",0,0,0,0,14,0,2,0,3,0,0,0,0,10,0,0
"SH3BP5-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"SH3BP5",2,0,3,2,13,0,0,0,0,1,1,0,0,0,0,112
"METTL6",2,0,6,1,7,0,0,0,1,0,0,0,1,10,0,2
"EAF1",0,0,0,0,3,0,0,0,0,1,0,0,0,6,0,0
"HACL1",4,0,0,0,14,1,5,0,3,0,1,0,1,29,0,2
"BTD",5,0,0,1,28,0,0,0,0,0,1,0,0,48,0,11
"ANKRD28",0,0,0,0,10,0,2,0,7,0,0,0,0,9,0,2
"DPH3",2,0,6,4,16,0,5,0,8,0,0,3,0,41,3,14
"OXNAD1",1,4,3,0,15,4,1,0,21,2,0,1,0,19,2,4
"RFTN1",1,0,1,0,47,0,0,0,1,0,0,1,0,0,2,2
"PLCL2",1,0,0,0,6,0,0,0,2,0,0,0,0,12,0,9
"TBC1D5",0,2,2,0,26,0,0,0,3,0,0,0,0,15,0,5
"SATB1",0,0,0,0,7,1,0,0,2,1,0,0,0,7,0,3
"RAB5A",8,0,5,3,52,0,2,1,10,0,1,3,0,34,0,27
"SGOL1",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"UBE2E2",13,0,18,0,44,1,0,0,1,0,0,1,0,3,0,21
"UBE2E1",24,0,9,2,81,0,0,0,3,2,6,2,0,101,0,19
"NKIRAS1",0,0,4,0,8,2,0,0,1,0,0,0,0,1,0,9
"RPL15",1185,120,849,97,7636,212,234,179,1149,200,198,375,97,12361,124,1365
"NR1D2",2,0,1,1,20,0,0,0,4,0,0,3,0,4,0,2
"THRB",0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,2
"TOP2B",0,0,2,1,30,0,0,1,5,1,0,1,0,43,0,3
"NGLY1",5,1,5,1,13,0,0,0,8,0,0,2,0,61,0,14
"OXSM",1,2,0,1,22,0,0,0,3,0,0,0,0,56,0,3
"SLC4A7",6,1,0,0,4,2,0,0,3,0,0,0,0,5,0,0
"CMC1",16,5,4,0,63,2,3,0,17,5,1,1,1,205,1,34
"AZI2",9,0,1,8,97,0,3,2,6,0,2,3,0,31,0,12
"RBMS3",0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,4
"AC116035.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
"TGFBR2",1,1,2,2,70,1,0,1,3,3,0,1,0,11,0,137
"STT3B",8,1,4,0,33,3,0,0,7,1,0,2,1,36,0,7
"OSBPL10",0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,5
"GPD1L",1,0,0,0,5,0,0,0,1,0,0,1,1,31,0,1
"CMTM8",1,0,0,0,7,0,0,0,6,0,0,1,1,54,0,0
"CMTM7",29,2,11,0,24,5,0,2,24,4,0,15,0,3,6,2
"CMTM6",27,8,21,3,137,4,7,4,21,0,1,4,0,46,7,20
"DYNC1LI1",14,3,3,2,52,0,0,0,8,1,1,2,0,26,0,11
"CNOT10",1,0,0,0,33,0,0,1,5,0,3,0,0,38,0,11
"GLB1",9,0,5,1,83,0,0,2,2,0,1,1,0,73,1,7
"CRTAP",10,0,8,1,191,0,4,0,1,0,4,3,0,58,0,7
"FBXL2",0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0
"UBP1",1,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0
"CLASP2",1,0,0,2,3,0,0,0,1,0,0,1,0,9,1,1
"PDCD6IP",6,0,0,0,28,1,1,0,3,0,0,0,1,76,0,9
"TRANK1",0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0
"EPM2AIP1",0,0,0,3,16,0,0,0,3,0,2,0,0,8,0,7
"MLH1",1,0,2,0,34,0,0,0,0,2,0,0,0,17,0,7
"LRRFIP2",7,0,8,3,52,1,3,0,2,1,0,0,0,73,0,9
"GOLGA4",3,0,2,3,39,0,0,0,5,0,0,0,0,77,0,5
"ITGA9",5,0,0,0,2,0,0,0,1,0,2,0,0,0,0,2
"CTDSPL",1,0,0,0,30,0,0,0,0,0,1,0,0,63,0,0
"VILL",2,0,3,0,8,0,0,1,0,0,0,0,0,92,3,3
"PLCD1",0,0,1,0,12,0,0,0,1,0,0,0,0,29,0,1
"ACAA1",10,2,12,2,71,2,0,0,14,0,4,1,0,163,0,12
"MYD88",2,1,5,1,14,0,1,0,4,0,0,0,0,18,0,2
"OXSR1",4,0,2,0,7,0,1,0,0,0,3,0,0,13,0,3
"XYLB",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"EXOG",1,1,0,0,19,0,0,2,4,2,3,4,0,7,1,6
"WDR48",0,0,1,3,26,2,0,0,3,0,1,0,0,21,0,4
"GORASP1",1,0,0,2,17,0,0,0,1,0,0,0,0,32,0,4
"TTC21A",0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,1
"CSRNP1",4,2,3,0,6,0,0,2,17,7,0,8,0,5,2,8
"SLC25A38",7,1,0,1,41,1,1,0,1,1,1,1,0,41,0,3
"RPSA",271,32,132,14,1035,54,22,45,284,31,48,89,27,3756,16,155
"EIF1B",15,3,7,2,192,2,3,6,22,7,3,8,0,133,3,52
"ENTPD3-AS1",12,0,0,1,23,0,0,1,3,0,1,0,0,18,0,4
"RPL14",469,86,280,57,3158,74,134,101,604,82,100,151,36,6612,66,443
"ZNF620",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"CTNNB1",2,0,3,0,12,0,0,0,2,0,0,1,0,21,0,13
"ULK4",0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0
"TRAK1",5,0,1,1,10,0,0,0,0,0,0,0,0,37,0,2
"VIPR1",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
"SEC22C",10,0,1,6,67,3,0,0,3,1,7,2,1,12,3,17
"SS18L2",7,4,8,0,43,6,0,4,28,4,0,5,2,83,3,5
"NKTR",11,0,7,2,90,2,3,4,22,2,5,8,1,40,0,14
"ZBTB47",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3
"HIGD1A",10,1,7,2,52,7,1,0,7,3,5,3,0,225,0,26
"KRBOX1",0,0,0,0,20,0,0,0,0,0,0,0,0,21,0,0
"ZNF662",0,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0
"POMGNT2",2,0,0,0,16,0,0,0,0,0,0,0,0,3,0,2
"SNRK",1,0,0,0,16,0,0,0,6,1,0,0,0,1,0,11
"ANO10",0,0,0,0,11,0,0,0,0,0,0,0,0,47,0,5
"ABHD5",5,2,20,3,7,0,1,0,3,0,0,1,0,35,0,11
"TCAIM",4,0,0,0,19,0,0,0,0,1,0,0,0,25,0,7
"ZNF445",2,0,1,0,16,0,0,0,0,0,0,0,0,13,0,3
"ZNF197",3,0,1,0,9,0,0,0,0,0,0,0,0,6,0,0
"ZNF501",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"KIAA1143",5,3,4,0,44,0,0,2,10,3,4,1,0,14,1,13
"TMEM42",5,0,2,0,50,1,0,0,6,0,3,0,0,47,0,10
"ZDHHC3",10,0,3,2,81,2,4,0,1,0,2,1,0,148,0,18
"EXOSC7",20,0,2,1,80,0,3,0,5,1,0,2,0,94,0,13
"CLEC3B",0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6
"CDCP1",9,0,0,0,10,0,0,0,0,0,1,0,0,43,0,0
"LARS2",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"LIMD1",7,0,0,0,7,0,0,0,0,0,0,0,2,23,0,1
"SACM1L",4,0,4,1,19,1,0,0,3,1,0,0,0,13,0,3
"SLC6A20",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LZTFL1",0,0,5,0,13,0,0,0,4,0,1,0,0,17,1,3
"FYCO1",0,0,0,0,13,0,0,0,0,0,0,0,0,3,1,3
"CXCR6",0,0,0,0,0,2,0,0,4,1,0,6,0,0,5,0
"CCR1",3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCR2",0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
"CCRL2",2,0,5,0,2,0,0,0,0,0,0,3,0,21,0,2
"LRRC2",0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0
"TDGF1",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"ALS2CL",0,0,0,0,31,0,0,0,0,0,0,0,0,23,0,1
"CCDC12",25,1,9,11,125,4,3,3,33,4,7,6,5,206,6,21
"NBEAL2",0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,2
"SETD2",4,0,1,1,12,0,1,1,2,0,1,2,0,40,0,0
"KIF9",3,0,0,0,32,0,0,0,5,0,2,1,0,57,0,32
"KLHL18",5,0,1,0,3,0,0,1,2,0,0,1,0,6,0,1
"RP11-708J19.1",0,0,0,3,27,0,0,0,0,0,0,0,0,7,0,5
"PTPN23",3,0,0,0,6,0,0,0,2,0,0,0,0,24,0,2
"SCAP",2,0,2,2,23,0,0,0,0,0,0,0,0,44,0,4
"ELP6",10,0,3,3,65,2,0,0,5,4,2,4,0,48,0,13
"SMARCC1",9,3,0,0,36,4,0,2,3,0,1,0,0,59,1,7
"DHX30",3,3,3,2,43,0,0,0,5,0,1,0,0,58,2,6
"MAP4",7,0,4,1,43,0,1,0,1,2,4,0,1,36,1,13
"CDC25A",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"ZNF589",1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"NME6",2,0,6,0,13,0,0,0,2,0,2,0,1,33,3,10
"PLXNB1",0,0,0,0,1,0,0,0,0,0,2,0,0,46,0,0
"CCDC51",1,0,2,0,13,0,0,1,0,0,0,1,0,35,0,2
"TMA7",131,30,46,37,811,25,17,24,157,49,34,77,13,1714,20,192
"ATRIP",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TREX1",9,1,5,2,52,0,1,3,4,0,2,0,0,35,0,17
"SHISA5",24,8,1,6,152,4,0,4,13,2,2,7,1,68,2,31
"PFKFB4",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"UQCRC1",48,0,16,9,210,1,1,2,11,7,19,7,1,1057,3,35
"SLC26A6",0,0,0,1,7,1,0,0,0,0,1,0,0,59,0,0
"NCKIPSD",1,0,2,0,9,0,0,0,2,0,0,0,0,16,0,3
"IP6K2",5,4,5,1,230,1,2,0,17,2,0,1,1,249,0,17
"PRKAR2A",2,2,6,0,28,0,5,2,4,1,4,3,0,85,0,6
"SLC25A20",1,0,1,1,10,0,0,0,2,0,0,0,0,30,0,3
"ARIH2OS",3,0,0,1,17,0,2,0,3,0,2,0,0,5,0,3
"ARIH2",7,0,0,1,33,4,0,0,1,1,2,0,0,43,0,4
"P4HTM",2,2,0,8,46,0,1,1,5,0,4,1,2,96,1,17
"WDR6",6,0,1,0,22,0,1,1,5,0,4,2,0,82,1,7
"DALRD3",4,2,2,6,62,0,1,0,5,0,4,1,0,40,1,8
"NDUFAF3",63,6,15,24,346,9,11,5,26,8,5,21,0,373,2,74
"IMPDH2",22,3,12,12,292,3,2,2,13,2,6,5,0,483,0,59
"QRICH1",0,0,1,0,15,0,0,0,1,2,0,0,0,13,0,6
"QARS",18,0,12,1,94,1,1,4,1,6,4,0,0,319,0,16
"USP19",2,0,1,0,11,1,0,1,2,0,0,0,0,27,0,0
"LAMB2",6,0,0,2,53,0,0,0,0,0,5,0,0,6,0,7
"CCDC71",7,1,0,2,17,0,0,0,2,0,0,0,0,20,0,6
"KLHDC8B",13,0,0,1,30,0,0,0,0,0,3,0,0,0,0,11
"C3orf62",2,0,2,3,4,0,4,0,1,0,0,0,0,15,0,1
"USP4",2,0,1,2,17,0,1,0,2,0,1,0,0,27,0,3
"GPX1",1093,4,261,21,502,4,22,11,26,7,11,17,1,633,15,224
"RHOA",241,9,93,28,558,7,11,14,50,13,18,6,2,397,5,190
"TCTA",4,0,3,1,33,2,0,0,5,1,0,0,0,27,1,10
"AMT",7,0,1,0,1,0,0,0,0,0,0,0,0,58,0,1
"NICN1",0,0,2,0,7,0,0,0,1,0,0,0,0,5,0,4
"DAG1",0,0,2,2,33,0,0,0,0,0,1,0,0,56,0,12
"APEH",18,3,5,0,42,2,0,0,10,1,4,1,0,124,0,2
"MST1",1,0,0,1,14,0,0,0,0,0,0,0,0,13,0,1
"RNF123",0,0,0,0,2,0,0,1,2,0,0,0,0,12,0,1
"IP6K1",0,5,1,4,17,0,0,1,4,3,3,2,0,9,1,2
"FAM212A",1,0,0,1,7,0,1,0,0,0,0,0,0,0,0,16
"UBA7",3,0,0,0,25,0,1,0,1,0,0,0,0,27,0,2
"TRAIP",4,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0
"MST1R",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"MON1A",1,0,0,2,10,2,0,0,2,0,0,0,0,12,0,3
"RBM6",8,1,2,2,46,3,2,0,9,5,0,0,0,43,0,7
"RBM5",5,0,1,4,27,2,3,2,1,2,1,1,0,43,0,6
"SEMA3F",0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3
"GNAI2",54,1,24,8,31,1,1,2,3,3,2,1,0,12,4,36
"SEMA3B",1,0,0,22,15,0,0,0,1,0,0,0,0,33,0,2
"IFRD2",2,0,0,2,37,0,0,0,7,2,0,1,0,85,1,16
"NAT6",1,0,0,0,16,0,0,0,3,2,3,0,3,4,0,2
"HYAL1",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17
"HYAL2",7,0,0,0,29,0,0,0,0,0,0,0,0,39,0,101
"TUSC2",16,1,14,8,50,0,4,2,9,4,2,1,0,96,1,31
"RASSF1",8,1,4,1,23,4,10,0,6,1,0,0,0,39,0,11
"NPRL2",3,3,0,1,27,0,3,2,4,0,2,5,0,60,4,5
"CYB561D2",4,2,8,0,46,1,4,3,11,3,2,4,4,86,0,7
"TMEM115",10,0,0,2,65,1,1,0,0,1,2,0,0,29,0,13
"CACNA2D2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"C3orf18",0,0,0,1,5,0,0,0,0,2,2,0,0,0,0,2
"HEMK1",1,2,0,1,32,0,0,0,1,0,1,2,0,40,0,4
"CISH",3,0,0,0,7,1,0,0,4,2,0,0,0,21,0,6
"MAPKAPK3",13,1,10,0,14,1,1,0,9,1,0,2,0,57,0,5
"MANF",65,4,17,3,173,21,2,0,11,18,7,4,5,222,2,64
"RBM15B",2,0,0,2,16,0,0,3,0,0,4,1,0,37,0,4
"VPRBP",1,0,0,0,3,0,0,0,2,0,0,1,0,13,0,1
"RAD54L2",5,0,0,0,4,0,0,0,1,0,1,0,0,13,0,1
"TEX264",28,1,14,6,163,3,5,3,21,2,6,3,0,216,2,43
"RRP9",1,1,1,0,20,1,0,0,1,2,0,0,4,47,0,7
"PARP3",0,0,0,0,6,0,0,0,1,0,0,0,1,9,0,1
"PCBP4",0,0,0,14,27,2,1,0,0,0,1,0,0,15,2,8
"ABHD14B",13,1,7,2,157,1,1,4,11,2,4,0,0,217,0,10
"ABHD14A",7,1,6,4,77,2,2,0,7,3,1,25,0,50,2,7
"ACY1",1,0,2,0,8,0,0,0,0,0,0,0,0,21,0,2
"RPL29",570,39,340,65,3730,87,87,89,575,106,101,188,32,8307,55,503
"DUSP7",3,0,1,0,6,0,1,0,1,0,0,0,0,3,0,4
"POC1A",5,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0
"ALAS1",5,0,7,2,43,0,11,0,1,0,0,0,0,70,0,9
"TWF2",31,1,12,7,69,3,2,0,16,1,4,2,0,71,1,15
"PPM1M",6,0,2,0,28,0,0,0,2,0,1,0,0,0,2,1
"WDR82",8,0,0,0,24,1,1,0,3,0,3,1,0,34,0,6
"GLYCTK",0,0,1,0,6,0,0,0,1,0,0,0,0,49,0,3
"DNAH1",0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,2
"BAP1",3,0,2,1,14,0,0,0,0,0,0,0,0,34,0,5
"PHF7",1,0,1,0,3,0,0,0,0,0,0,0,0,19,0,1
"NISCH",7,0,4,0,24,1,1,0,5,0,0,0,0,28,0,3
"STAB1",135,0,10,0,1,0,0,0,0,0,0,0,0,0,0,3
"NT5DC2",6,0,0,1,15,0,1,0,0,0,0,0,0,21,0,0
"SMIM4",23,1,1,0,10,1,0,0,1,1,0,3,0,76,1,6
"PBRM1",5,1,6,2,31,0,0,0,4,0,0,4,2,34,0,4
"GNL3",7,0,3,5,36,1,1,1,6,0,1,2,0,102,1,22
"GLT8D1",3,0,4,6,121,1,0,0,4,0,6,0,0,34,0,17
"SPCS1",65,9,26,12,613,6,25,19,61,31,11,19,4,590,15,120
"NEK4",0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,2
