"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"AC131025.8",0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,1
"AC135048.13",10,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0
"AC145212.1",4,0,3,0,23,0,1,0,0,1,1,0,0,13,0,7
"AC147651.3",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"AC156455.1",3,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0
"ACN9",12,1,3,6,67,2,1,0,10,3,2,2,1,112,3,12
"ACPL2",0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0
"AD000090.2",0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0
"ADC",0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0
"ADIRF-AS1",0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0
"AGAP1-IT1",0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0
"AGPAT6",1,0,1,0,16,0,0,0,1,0,0,0,0,49,0,2
"AGPAT9",2,0,12,0,1,0,2,0,0,0,0,0,0,20,0,1
"AJ271736.10",22,0,8,3,56,1,6,0,6,2,0,5,0,40,0,9
"AL035610.1",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"AL079342.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AL136419.6",4,3,4,3,22,2,0,0,8,2,0,2,0,22,1,9
"AL138764.1",1,0,1,1,10,0,1,1,2,0,1,0,0,9,1,0
"AL139099.1",0,3,0,0,2,0,0,0,0,2,0,0,0,7,0,0
"AL357673.1",0,0,0,1,6,0,0,1,0,0,0,0,0,11,0,1
"AL590822.1",0,0,0,1,20,0,0,0,0,0,0,0,0,2,0,2
