"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"FIP1L1",6,4,4,1,2,0,47,5,2,1,2,2,16,60,12,1,0,18,1,1,9,46,2,25,3,7,11
"LNX1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5
"CHIC2",7,5,4,1,7,0,35,4,4,0,0,4,17,71,22,0,4,15,2,0,8,20,0,34,0,16,11
"PDGFRA",0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIT",0,0,0,0,0,0,0,0,0,2,2,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76
"SRD5A3",8,0,9,0,0,0,22,1,2,1,0,1,3,12,3,0,0,2,1,0,0,37,0,13,2,0,22
"TMEM165",16,2,22,3,6,5,109,7,6,1,6,4,42,125,23,2,3,33,1,0,9,91,1,63,4,13,54
"CLOCK",0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,8,0,4,0,1,0
"NMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"EXOC1",0,0,3,0,1,0,14,2,0,1,0,1,3,13,0,0,0,1,0,0,0,19,0,3,1,1,5
"CEP135",0,1,1,0,0,1,4,0,1,0,0,0,4,8,1,0,0,5,1,1,1,4,0,0,0,2,1
"AASDH",0,0,1,2,0,3,7,0,1,0,0,0,5,6,2,0,0,1,1,0,1,9,0,1,0,0,1
"PPAT",1,0,1,0,0,0,2,1,2,0,0,0,0,13,2,0,2,0,0,0,0,6,0,5,1,0,0
"PAICS",8,0,4,0,0,0,23,0,1,0,0,0,4,17,0,0,1,3,2,2,0,136,0,14,4,4,9
"SRP72",10,3,18,1,1,4,73,6,3,2,0,2,15,49,8,0,3,17,3,1,3,85,1,58,13,3,25
"HOPX",1,20,0,8,8,0,2,85,28,10,1,0,9,250,146,0,3,16,0,16,77,3,0,9,9,3,3
"SPINK2",0,3,0,0,0,0,1,4,1,0,10,0,0,53,16,0,0,5,0,0,1,18,0,268,1,0,0
"REST",3,1,3,1,0,2,20,1,3,2,3,0,8,54,8,0,2,12,0,0,6,23,0,6,2,6,5
"NOA1",6,0,3,0,2,1,39,1,1,0,0,0,11,31,4,3,2,12,3,0,1,77,1,31,6,6,8
"POLR2B",4,1,6,0,1,2,15,0,0,0,0,0,1,11,1,0,1,2,0,0,2,36,0,7,0,2,6
"IGFBP7",9,8,14,2,2,468,9386,2,1,0,0,1,7,40,10,199,4,7,1,2,5,10,305,32,3,3,6375
"RP11-16N2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"CENPC",0,4,2,1,2,0,10,1,0,0,0,1,4,22,5,0,1,3,1,1,2,10,0,8,1,3,3
"STAP1",0,0,1,0,0,0,0,0,1,0,0,2,8,9,1,0,0,2,0,0,1,0,0,12,0,1,0
"UBA6",1,3,1,0,0,0,5,0,1,0,0,0,4,16,4,0,0,3,0,0,1,14,0,6,0,1,3
"UBA6-AS1",0,1,1,0,1,0,3,1,0,0,0,0,3,12,5,0,0,2,0,1,1,1,0,5,0,0,2
"YTHDC1",4,2,1,0,4,1,22,1,1,0,4,0,9,33,10,0,0,5,0,0,1,36,0,5,1,3,4
"TMPRSS11E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"UGT2B17",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1368,0,5,0,0,0
"UGT2B15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"UGT2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
"UGT2B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"SULT1B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0
"ENAM",2,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,8,0,0,1
"UTP3",5,2,2,0,0,2,26,5,0,1,0,0,11,19,2,2,1,9,2,0,5,39,0,12,2,4,7
"RUFY3",1,0,2,0,3,0,10,0,0,1,0,0,2,3,3,0,1,0,0,0,0,8,0,0,0,0,3
"GRSF1",7,2,14,0,3,2,49,6,3,1,1,2,14,60,12,1,3,18,2,0,3,158,1,22,9,5,12
"MOB1B",0,0,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,1,1
"DCK",5,10,18,3,1,2,8,8,6,3,1,2,71,146,30,0,8,48,3,2,20,31,0,14,15,16,8
"SLC4A4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"COX18",1,0,0,1,0,0,1,0,0,0,0,0,1,6,0,0,0,1,0,0,0,7,0,1,0,0,1
"ANKRD17",3,0,1,0,0,0,9,4,2,1,0,0,2,11,1,0,1,7,0,0,0,50,0,3,1,1,3
"RASSF6",0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,20,0,12,0,0,0
"CXCL6",0,1,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL1",7,0,1,0,0,0,617,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,1
"CXCL3",44,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,4
"CXCL2",35,0,12,0,0,0,27,0,0,0,6,1,0,3,6,0,0,0,0,0,0,17,1,0,0,0,14
"MTHFD2L",2,0,0,0,0,0,6,0,0,0,1,0,5,7,2,0,1,2,1,1,3,47,0,4,0,0,3
"EREG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AREG",1,0,2,0,1,0,1,0,1,0,2,3,3,18,14,0,0,3,1,0,4,3,0,12,0,2,0
"BTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"PARM1",0,0,5,0,0,0,40,0,0,0,0,0,0,0,0,2,1,0,0,0,0,61,1,44,0,0,2
"RP11-44F21.5",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20,0,0,0,0,0
"RCHY1",8,2,4,1,3,0,23,0,2,1,0,0,9,36,8,0,0,10,0,2,2,63,0,7,2,3,10
"THAP6",3,0,0,0,1,1,9,0,1,1,1,0,3,17,4,0,0,3,1,1,2,8,0,7,0,0,3
"C4orf26",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"G3BP2",2,2,3,1,0,1,7,9,2,2,4,1,11,94,15,0,1,20,3,2,8,31,0,11,3,14,8
"USO1",2,0,2,1,1,0,10,0,2,1,0,0,9,30,5,1,4,7,0,2,3,36,0,33,1,4,6
"NAAA",20,5,17,2,2,3,47,3,1,1,1,0,32,89,8,2,0,15,1,0,6,113,3,28,2,12,12
"SDAD1",9,1,5,2,1,4,28,2,4,0,0,2,6,41,8,0,1,6,4,1,3,47,3,23,1,1,8
"CXCL9",3,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL10",12,0,3,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUP54",2,1,7,1,1,3,22,3,2,0,4,1,4,17,5,2,1,5,1,0,4,40,0,14,4,3,5
"SCARB2",31,0,10,0,0,6,112,0,0,0,0,0,1,9,4,2,0,0,0,0,0,49,0,42,1,0,19
"FAM47E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"FAM47E-STBD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"SHROOM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"SEPT11",3,0,2,2,0,0,65,2,1,1,1,1,1,16,3,1,0,8,1,2,2,63,1,8,0,2,3
"CCNI",36,10,57,4,5,3,248,19,14,9,7,17,119,343,62,3,21,95,9,1,18,249,4,134,12,57,62
"CCNG2",5,0,2,0,0,0,9,1,0,0,1,0,10,13,2,1,2,2,1,1,0,7,0,3,1,7,0
"CNOT6L",0,2,2,1,1,0,2,3,0,0,0,0,7,21,5,0,0,6,0,0,2,6,0,3,0,3,7
"MRPL1",0,1,6,0,0,0,19,8,1,0,0,4,7,39,12,0,2,11,1,0,5,99,0,11,5,8,13
"ANXA3",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"RP11-109G23.3",0,0,2,0,0,0,5,0,1,0,2,2,4,1,0,0,0,1,0,0,0,2,0,1,0,2,5
"BMP2K",3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,7,0,0,0,0,1
"ANTXR2",1,0,4,2,1,2,23,0,1,0,0,1,9,24,1,1,1,7,0,0,0,11,0,2,1,2,2
"PRDM8",0,0,0,0,0,0,7,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
"BMP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"RASGEF1B",4,2,3,0,2,1,1,1,0,0,0,0,6,14,1,0,2,4,0,0,1,0,0,5,0,1,0
"HNRNPD",9,4,19,3,3,2,65,7,3,1,1,2,20,72,14,1,2,15,4,0,5,130,0,43,19,8,22
"RP11-127B20.3",0,0,0,0,1,0,9,1,1,0,0,0,1,7,5,1,1,2,0,0,0,2,0,4,0,0,3
"HNRNPDL",65,17,64,6,20,21,196,39,16,10,12,22,166,463,106,1,10,135,13,8,47,183,6,223,46,51,97
"ENOPH1",6,7,5,1,2,4,19,6,4,1,2,1,7,71,16,0,4,22,2,0,3,58,1,22,6,4,13
"TMEM150C",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4
"SCD5",0,1,2,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"SEC31A",2,0,0,1,2,3,28,0,0,0,0,2,4,26,3,1,0,4,0,2,1,13,0,18,2,3,8
"THAP9-AS1",9,1,9,0,2,0,20,5,1,1,1,1,18,51,12,0,2,10,2,0,3,36,2,21,4,5,16
"THAP9",0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,1,0,0,0,0,4,0,3,0,0,0
"LIN54",0,0,0,0,0,0,0,2,0,1,0,0,3,5,0,0,0,1,0,0,0,5,0,2,0,0,0
"COPS4",11,3,4,0,3,1,45,7,1,4,0,0,13,49,10,0,3,14,3,1,0,74,1,20,7,6,22
"PLAC8",15,7,83,2,5,0,2,6,4,4,3,0,68,167,23,0,7,43,9,5,13,605,0,14,7,0,1
"COQ2",9,1,10,0,0,1,11,2,2,0,0,0,6,21,4,1,0,1,0,0,2,84,0,6,4,1,8
"HPSE",4,2,1,0,0,0,0,0,0,0,2,0,0,7,2,0,0,1,0,0,2,11,0,1,1,3,0
"HELQ",1,0,2,0,0,1,14,2,1,1,0,0,5,11,1,0,1,4,1,0,2,5,0,4,1,2,5
"MRPS18C",33,5,20,3,2,4,68,2,5,3,4,12,27,74,19,5,2,36,8,2,6,220,2,43,13,16,45
"FAM175A",3,0,0,0,1,0,11,1,2,0,0,0,4,16,5,0,0,3,0,0,2,6,0,5,2,3,2
"CDS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0
"WDFY3",0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2
"ARHGAP24",0,0,0,0,0,5,40,0,0,0,1,0,83,0,0,0,6,0,0,0,0,8,1,3,0,0,1
"MAPK10",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"PTPN13",0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
"C4orf36",0,2,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,9,0,5,0,0,1
"AFF1",0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,15,0,3,0,1,3
"KLHL8",1,0,4,0,0,0,3,1,1,0,0,0,2,6,5,0,0,4,1,0,0,21,0,1,0,1,1
"HSD17B11",14,12,17,2,4,2,95,12,2,2,3,9,36,130,33,3,2,41,4,3,11,385,2,67,6,9,56
"NUDT9",5,0,3,0,1,3,36,3,0,1,0,0,6,21,8,1,0,0,0,0,2,95,0,14,1,4,20
"SPARCL1",1,0,1,0,1,43,287,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,4,2,0,0,932
"SPP1",0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"PKD2",2,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
"ABCG2",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,5
"PPM1K",5,8,1,2,7,4,20,6,4,3,1,0,53,131,25,1,8,25,4,1,8,11,0,57,2,8,10
"HERC6",3,0,2,0,2,1,7,2,1,0,0,1,4,18,1,0,0,3,2,0,4,8,3,4,0,0,9
"HERC5",6,1,1,2,1,0,12,1,2,0,0,0,4,16,3,0,0,1,1,0,1,0,0,16,0,1,4
"PYURF",16,10,27,2,5,8,180,16,8,6,7,4,55,255,44,10,5,74,6,3,25,234,1,103,19,20,114
"HERC3",1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,0,1,0,1,1
"NAP1L5",2,2,0,0,0,0,6,2,0,0,0,0,0,10,1,1,1,5,0,0,0,0,0,1,0,0,1
"FAM13A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FAM13A",2,0,3,0,0,1,12,0,0,0,0,0,0,3,0,0,1,1,0,0,0,30,0,0,0,0,2
"TIGD2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1
"GPRIN3",1,2,0,0,0,1,1,3,0,0,0,0,0,21,2,0,0,6,1,0,1,8,0,4,1,4,0
"SNCA",11,0,2,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,6
"SMARCAD1",1,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,5,0,1,0,1,3
"HPGDS",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
"PDLIM5",6,1,5,1,0,1,7,0,0,1,0,0,5,12,1,1,0,1,0,0,1,44,1,4,0,2,17
"UNC5C",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAP1GDS1",1,0,2,1,0,1,3,1,0,0,1,1,4,14,2,0,0,1,0,0,2,17,0,6,4,3,1
"TSPAN5",0,0,0,2,2,3,0,2,1,0,1,0,0,37,6,0,0,5,2,2,5,2,0,4,3,11,0
"EIF4E",14,2,9,0,0,4,55,9,1,3,1,5,15,79,18,0,5,24,0,5,7,95,2,28,10,16,25
"METAP1",2,2,3,0,0,1,8,1,1,0,0,1,7,24,1,1,0,5,0,0,1,49,0,10,2,0,3
"ADH5",13,8,13,0,3,6,227,8,3,0,1,3,20,99,16,11,2,26,1,2,9,550,0,39,7,8,39
"RP11-696N14.1",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"ADH1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
"ADH1B",1,0,0,0,0,0,429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,224,3,1,1,0,0
"TRMT10A",2,0,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,1,0,0,0,15,0,3,2,0,1
"DAPP1",2,0,9,1,0,0,0,0,1,0,2,0,18,26,0,0,3,4,2,0,2,0,0,12,0,2,0
"LAMTOR3",4,2,7,2,0,4,27,2,1,4,0,0,9,40,7,1,1,10,2,0,4,57,0,24,2,3,11
"DNAJB14",1,1,4,1,1,1,10,2,3,1,1,0,7,18,11,0,2,6,1,0,0,17,0,14,1,8,6
"H2AFZ",179,29,174,13,21,11,242,57,35,14,28,40,160,792,151,8,24,171,23,15,53,1671,9,389,190,121,117
"EMCN",0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101
"PPP3CA",1,0,2,0,0,0,6,2,0,1,0,0,4,11,2,0,0,0,0,0,0,7,0,1,0,1,3
"BANK1",0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,12,0,0,0,0,1,0,10,0,0,1
"SLC39A8",1,1,1,0,1,0,3,1,2,1,2,1,3,49,1,0,2,13,1,0,5,50,0,33,2,1,0
"RP11-499E18.1",0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0
"AF213884.2",0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFKB1",1,0,4,0,1,0,13,0,1,0,2,0,2,11,1,0,0,4,0,0,0,39,0,3,0,2,4
"MANBA",6,0,6,0,0,0,10,1,1,0,0,0,6,8,6,0,1,1,0,1,0,14,0,2,0,1,1
"UBE2D3",60,26,79,13,25,11,208,53,24,13,13,12,130,636,109,6,12,161,19,9,46,375,1,208,42,94,130
"RP11-10L12.4",0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,1,0,0,0
"CISD2",52,5,22,2,4,1,31,8,9,1,5,2,17,105,17,3,1,10,0,2,9,158,0,162,9,19,30
"SLC9B1",0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0
"SLC9B2",0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,1
"BDH2",8,0,2,0,0,0,94,3,3,0,0,0,5,28,3,2,1,5,0,1,2,127,1,6,0,4,23
"CENPE",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
"CXXC4",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AC004069.2",0,1,7,1,0,0,2,0,0,0,0,0,2,11,1,0,0,1,0,0,1,5,0,3,0,0,1
"TET2",4,0,4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0
"PPA2",13,3,13,3,6,0,51,5,5,0,2,2,17,68,4,1,0,24,2,2,7,335,0,31,1,11,24
"ARHGEF38",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INTS12",4,0,7,0,0,1,23,2,0,0,0,2,6,13,6,2,0,6,0,0,2,29,0,20,1,0,9
"GSTCD",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"NPNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
"TBCK",0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,5
"AIMP1",2,3,11,2,2,1,45,3,6,1,3,0,18,74,9,2,1,22,3,1,6,137,0,30,5,14,19
"PAPSS1",4,1,8,1,2,3,33,3,2,0,2,2,11,24,5,1,1,7,0,0,2,15,0,28,1,4,8
"SGMS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"RP11-286E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"CYP2U1",0,0,0,0,0,0,6,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,2,1,0,3
"HADH",2,2,6,0,3,2,26,1,1,0,0,1,14,27,1,0,0,3,0,0,1,418,1,18,7,0,6
"LEF1",0,0,2,0,5,1,7,6,0,0,0,0,0,45,7,0,0,50,5,1,1,0,0,2,1,5,1
"RPL34",321,198,506,54,107,30,1570,334,207,78,74,86,1340,4624,752,54,168,1405,227,36,365,4646,7,1534,97,469,488
"OSTC",46,9,22,5,6,6,149,12,9,7,7,9,26,222,28,3,1,44,5,6,15,371,1,207,17,17,55
"SEC24B-AS1",0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"SEC24B",0,0,1,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2,0,0,0,8,0,4,0,1,4
"CCDC109B",12,11,10,7,8,1,22,9,10,3,3,0,36,246,38,0,3,96,9,0,16,32,0,49,10,24,25
"CASP6",1,0,9,2,2,0,11,2,3,0,1,2,4,46,6,1,1,12,0,1,0,235,0,12,1,4,9
"PLA2G12A",2,1,2,0,0,0,38,3,1,0,0,3,5,33,5,1,0,9,0,0,2,138,0,17,2,4,8
"CFI",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,43
"GAR1",5,3,5,0,0,0,16,1,4,0,1,0,9,25,5,3,2,5,0,1,1,103,0,12,6,5,10
"ELOVL6",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,22,0,0,0,0,0
"RP11-380D23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"PITX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,0,0,0,0,0
"C4orf32",1,0,0,0,0,0,2,0,2,0,1,0,1,19,4,0,0,2,0,1,1,3,0,2,1,0,23
"AP1AR",2,0,3,0,0,1,0,0,1,0,1,0,0,3,1,0,1,0,0,0,1,13,0,2,0,0,2
"TIFA",2,1,3,0,2,0,10,1,1,1,1,0,19,56,5,1,3,16,0,0,3,10,0,108,3,4,9
"ALPK1",3,0,0,0,0,0,4,0,1,0,0,0,1,6,1,0,2,2,0,0,1,11,0,1,0,0,0
"LARP7",8,1,7,3,1,1,50,4,3,0,1,1,20,61,12,2,0,7,2,0,4,76,0,21,4,8,19
"ANK2",0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2D",2,4,1,1,2,0,9,2,0,1,0,0,1,10,3,0,1,6,0,0,0,36,0,4,0,2,2
"UGT8",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,2,0,0,0
"SNHG8",24,9,25,5,12,2,110,14,13,5,7,9,95,343,52,3,10,77,14,1,27,265,1,160,11,23,48
"PRSS12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"METTL14",2,0,3,0,1,0,7,3,1,0,0,0,4,5,0,1,1,1,0,0,1,19,0,2,2,2,3
"SEC24D",0,2,0,0,0,0,8,1,0,0,0,1,4,12,5,0,0,2,0,0,0,9,0,20,0,1,8
"SYNPO2",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"USP53",0,0,0,0,0,2,0,0,1,0,0,0,1,6,3,1,0,3,0,0,0,16,0,2,0,0,1
"C4orf3",47,16,43,12,11,14,266,27,9,10,9,9,84,366,58,14,15,86,8,6,28,185,4,150,20,50,89
"FABP2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"PDE5A",0,0,0,0,0,1,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"MAD2L1",9,3,6,1,1,0,1,0,2,0,0,0,1,16,6,0,0,8,2,0,8,69,0,2,13,1,0
"PRDM5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"TNIP3",0,4,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,5,1,0,0,2,2,0
"ANXA5",103,13,72,3,7,37,379,12,5,2,1,14,23,186,40,10,4,29,4,6,13,66,3,124,22,24,142
"EXOSC9",7,0,2,1,4,0,10,2,2,0,0,0,10,42,6,0,0,7,1,0,1,37,0,2,5,2,8
"CCNA2",2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,14,0,0
"BBS7",2,0,0,0,0,2,2,0,0,0,0,0,2,4,2,0,1,1,0,0,0,21,0,3,4,0,7
"KIAA1109",1,0,0,0,0,0,5,3,0,0,0,0,2,4,2,0,0,0,0,0,5,20,0,4,0,1,4
"BBS12",0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,4,4,0,5,1,0,0
"NUDT6",1,0,0,0,0,0,5,2,0,0,0,0,2,2,0,1,1,1,0,0,0,58,0,6,0,0,4
"SPATA5",0,1,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,3,0,0,0,6,0,2,0,0,1
"SPRY1",0,5,0,1,2,0,100,17,4,2,1,0,1,70,26,1,0,10,1,4,8,8,4,2,0,6,9
"INTU",1,0,0,0,0,0,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,1
"HSPA4L",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0,0,1
"PLK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"MFSD8",0,1,1,1,0,0,3,2,0,1,0,0,2,21,2,1,0,1,1,0,1,10,0,12,0,2,1
"LARP1B",0,0,0,0,0,0,3,0,0,0,0,0,1,7,0,0,0,2,0,0,0,47,1,22,0,0,4
"PGRMC2",7,0,5,1,1,0,38,5,2,1,0,0,7,29,5,1,0,17,3,0,1,118,1,43,0,2,9
"SCLT1",4,0,4,0,1,1,5,1,1,0,0,1,2,9,0,0,0,3,0,0,0,7,0,8,1,0,1
"C4orf33",1,1,2,0,0,0,3,1,1,0,0,0,5,7,0,0,0,0,0,0,0,25,0,3,1,1,1
"PCDH18",0,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC7A11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
"ELF2",3,1,0,0,1,1,13,1,0,0,0,0,7,17,3,1,0,12,0,0,2,19,0,11,1,3,5
"NDUFC1",30,6,18,0,2,11,93,9,4,2,1,4,28,70,14,3,3,32,1,1,7,611,1,33,4,18,78
