"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"TOP1",10,2,11,1,1,0,27,5,0,2,1,1,14,33,3,0,2,9,0,2,3,75,1,28,6,7,20
"PLCG1",1,1,0,0,0,0,6,0,2,0,0,0,0,12,3,0,0,5,0,0,1,3,0,1,0,3,2
"ZHX3",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,13,0,0,0,0,1
"LPIN3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0
"CHD6",2,1,2,0,0,1,12,2,0,0,0,0,3,11,3,0,0,4,0,0,1,15,0,2,1,3,2
"SRSF6",3,1,3,0,0,1,11,2,1,0,0,0,9,31,4,0,2,5,0,0,4,34,1,10,1,2,8
"L3MBTL1",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"SGK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"IFT52",4,2,2,0,0,1,28,5,1,0,1,0,2,13,2,0,3,4,0,0,0,20,0,5,0,5,14
"MYBL2",5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30,0,9,1,0,0
"TOX2",0,0,0,0,0,0,6,1,0,0,4,0,0,3,2,1,0,2,0,0,1,0,0,0,5,1,3
"OSER1",20,2,19,2,1,1,25,5,1,3,1,7,42,91,14,1,5,27,1,0,10,64,0,53,4,22,11
"OSER1-AS1",1,2,0,0,0,0,18,1,0,0,0,0,3,12,5,0,0,3,0,0,0,12,0,8,0,0,2
"FITM2",0,0,0,0,0,0,8,0,1,0,0,0,0,3,1,3,0,3,0,0,0,13,0,0,0,3,1
"RP5-881L22.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"HNF4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
"TTPAL",0,2,0,0,0,1,8,2,1,0,0,0,3,20,3,2,0,3,1,0,2,7,0,6,0,1,4
"SERINC3",2,5,11,1,1,2,50,1,4,1,1,1,10,58,11,2,2,10,1,0,9,75,1,35,5,11,33
"PKIG",3,0,2,0,0,5,275,0,0,1,0,2,108,1,0,15,16,1,0,0,1,128,10,7,0,2,102
"ADA",6,8,14,1,3,0,13,4,3,2,0,0,6,114,20,0,0,23,4,1,5,10,0,22,14,18,14
"WISP2",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KCNK15",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"YWHAB",75,17,87,8,18,15,201,45,16,8,5,12,64,393,104,7,13,102,15,4,44,539,7,90,34,64,111
"PABPC1L",0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,5,0,2,0,0,0
"TOMM34",2,0,5,0,1,0,5,1,0,1,0,1,3,17,1,0,0,3,0,0,3,19,0,2,2,1,7
"STK4",4,15,7,5,7,1,8,11,6,2,1,1,47,194,31,0,5,51,9,3,13,7,0,32,6,26,6
"PI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"SLPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0
"SDC4",1,0,0,0,1,0,10,0,0,0,1,0,0,3,1,1,0,0,0,0,0,72,0,0,1,0,0
"SYS1",15,11,12,1,0,3,24,4,5,3,0,1,41,84,16,0,5,26,2,1,6,36,2,20,1,15,6
"PIGT",13,2,9,1,0,2,92,0,0,2,0,1,14,39,10,2,1,12,0,2,6,191,2,38,4,7,37
"WFDC2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,131,0,1,0,0,0
"WFDC3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"DNTTIP1",12,0,20,1,0,1,45,5,3,0,1,3,12,35,5,2,0,7,1,0,3,111,0,32,5,3,17
"UBE2C",18,0,7,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,276,0,0,77,1,0
"TNNC2",0,0,0,0,0,0,10,0,0,0,0,0,6,2,1,1,0,0,0,0,0,51,0,6,1,0,0
"SNX21",1,0,0,0,0,2,30,0,0,0,0,0,1,2,2,1,0,0,0,0,0,22,1,1,0,0,8
"ACOT8",9,0,6,5,0,0,17,1,2,1,1,0,6,26,5,1,0,6,1,1,4,91,0,6,2,2,10
"ZSWIM3",1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,1
"NEURL2",2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,2,0,0,0,5,0,8,0,0,1
"CTSA",113,9,37,0,2,9,149,11,3,2,3,2,38,64,14,4,4,17,1,4,10,243,1,76,5,10,65
"PLTP",69,0,9,0,0,5,290,0,0,0,0,0,2,1,0,5,0,0,0,0,1,1,0,11,0,0,5
"PCIF1",1,0,2,0,1,0,2,1,1,0,1,0,6,23,6,0,0,2,1,0,1,22,0,2,0,3,7
"ZNF335",1,2,1,0,3,0,3,0,0,0,0,1,2,11,6,0,0,1,0,0,1,8,0,6,2,2,4
"MMP9",44,0,12,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
"SLC12A5",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"NCOA5",3,1,1,0,0,0,10,0,0,0,1,0,1,5,2,0,0,0,0,0,0,23,0,2,0,0,4
"CD40",14,0,10,0,0,2,68,0,1,0,0,0,71,7,2,0,9,2,0,0,0,3,2,34,1,2,69
"SLC35C2",3,0,15,0,1,1,30,0,1,1,0,1,14,25,12,0,2,13,3,1,3,74,1,16,2,5,18
"ELMO2",3,0,0,0,0,2,5,1,0,0,0,1,1,7,1,0,0,1,0,0,0,6,1,3,1,1,2
"TP53RK",4,2,7,0,3,1,20,5,1,1,1,1,17,52,11,2,1,14,2,0,2,40,0,9,2,6,12
"SLC2A10",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,2
"EYA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0
"ZMYND8",5,2,4,0,0,0,10,1,0,0,0,0,1,14,3,0,0,5,0,0,3,29,0,4,0,2,6
