"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"PAQR7",1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"STMN1",345,9,74,2,4,14,275,10,2,28,4,56,16,12,15,11,2,2454,0,9,602,6,30
"PAFAH2",10,1,2,0,0,0,6,0,0,0,1,7,4,0,0,1,0,188,0,0,0,0,1
"SLC30A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"PDIK1L",0,0,2,0,0,1,8,0,0,0,0,2,1,0,0,1,1,52,0,2,3,0,1
"FAM110D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"ZNF593",52,1,13,2,1,1,96,7,0,5,14,34,6,1,10,4,3,1054,2,34,34,5,16
"CNKSR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,254,0,2,0,0,0
"CEP85",3,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,67,0,0,2,0,4
"SH3BGRL3",811,203,656,96,87,7,821,338,106,59,158,2217,1165,22,121,209,215,11937,7,154,278,173,221
"UBXN11",11,1,11,0,1,1,23,2,1,1,4,19,7,0,1,0,2,182,0,2,1,1,4
"CD52",116,194,168,80,101,0,8,366,72,21,310,2188,1225,0,351,331,256,9,0,50,380,170,1
"AIM1L",0,0,0,0,0,0,0,9,0,0,0,4,1,0,0,0,1,20,0,2,0,0,0
"ZNF683",0,0,0,0,0,0,0,2,0,0,0,1,90,0,0,0,1,0,0,0,0,0,0
"DHDDS",7,2,2,0,0,0,28,0,0,0,2,8,2,0,1,1,1,280,0,6,11,0,6
"HMGN2",212,23,132,7,13,8,1391,47,15,15,53,264,138,50,55,52,29,6160,2,107,951,35,57
"RPS6KA1",11,3,15,0,3,0,2,8,1,2,1,14,14,0,6,2,3,533,0,1,9,2,0
"ARID1A",14,2,10,0,0,0,31,3,0,3,4,27,7,0,1,0,2,328,0,3,5,0,6
"PIGV",7,0,4,0,0,3,50,0,0,0,1,6,4,3,1,1,1,128,0,3,6,1,0
"ZDHHC18",10,2,6,0,0,0,9,1,0,0,1,6,3,1,0,0,1,105,0,3,1,0,3
"SFN",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2215,0,0,0,0,0
"GPN2",17,0,11,0,1,0,46,2,0,0,3,11,11,5,3,2,0,265,0,6,24,0,9
"GPATCH3",4,1,7,0,1,0,18,3,0,1,3,7,6,0,0,0,0,85,1,5,5,1,3
"NUDC",81,7,37,7,5,7,452,14,7,6,18,99,62,18,15,13,10,1828,5,35,109,14,47
"NR0B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
"SLC9A1",1,1,0,0,0,0,14,0,0,0,2,4,2,0,0,1,0,169,0,0,1,1,1
"WDTC1",9,0,3,2,0,0,19,0,0,0,1,9,0,1,1,0,0,211,0,2,8,0,2
"TMEM222",6,4,4,1,0,3,99,2,0,0,4,14,8,2,5,4,2,231,1,6,7,2,16
"SYTL1",0,5,3,0,4,0,3,4,0,0,15,59,11,0,13,9,2,78,0,48,16,2,0
"MAP3K6",0,0,0,0,0,0,8,0,0,0,2,1,0,0,0,0,0,36,0,1,2,0,2
"WASF2",107,7,35,1,3,4,308,10,3,3,14,46,19,9,9,5,8,1248,4,12,33,3,62
"AHDC1",1,0,0,1,0,1,21,1,0,0,0,0,3,2,0,1,1,54,0,0,0,0,6
"FGR",7,0,28,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1
"IFI6",84,1,11,1,2,6,217,6,5,1,1,32,11,7,2,4,4,100,1,15,1,3,78
"FAM76A",1,1,0,0,0,1,10,0,0,1,0,6,1,0,0,0,0,45,0,1,1,0,0
"STX12",24,2,18,0,0,1,96,3,0,0,5,11,14,4,3,2,1,201,1,4,18,1,15
"PPP1R8",9,3,8,2,0,1,74,7,1,2,3,14,12,3,1,4,2,114,1,5,11,2,6
"THEMIS2",94,1,64,0,0,0,46,0,0,0,9,5,6,1,0,1,0,2,1,28,3,1,2
"RPA2",31,5,25,1,2,0,257,11,3,0,14,78,50,6,12,12,9,366,2,17,51,6,16
"SMPDL3B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,8,0,0,0
"XKR8",6,0,1,0,0,0,25,0,0,0,3,9,5,1,1,0,1,93,0,1,2,0,3
"EYA3",4,1,5,0,0,0,18,0,0,0,0,3,2,1,0,0,0,104,1,2,12,0,3
"PTAFR",35,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,1,4
"DNAJC8",62,6,50,3,0,5,376,22,1,10,14,115,55,13,18,22,11,1006,2,15,106,12,62
"ATPIF1",209,35,90,10,8,10,584,32,7,19,37,196,107,28,20,46,24,10547,8,87,191,30,91
