"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"NXF1",20,4,9,0,2,2,96,4,1,0,2,25,12,1,2,3,3,269,1,8,11,3,10
"STX5",26,7,17,3,2,5,160,6,2,4,23,51,15,5,7,11,3,356,1,50,34,3,17
"RP11-727F15.9",1,0,9,0,0,1,67,0,0,1,2,3,4,4,7,0,0,38,1,29,4,3,4
"WDR74",11,1,16,1,7,0,81,4,1,7,10,44,18,4,20,9,5,673,0,18,21,5,7
"SLC3A2",172,10,34,8,11,7,194,16,2,15,10,138,64,6,8,29,19,499,0,130,40,15,49
"RARRES3",103,47,51,20,15,9,722,110,13,4,29,442,224,7,5,65,48,563,2,25,5,41,13
"HRASLS2",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,109,0,5,0,0,0
"PLA2G16",72,10,41,6,1,14,117,15,0,3,7,17,46,1,0,1,7,6,1,27,0,3,32
"ATL3",17,2,4,1,0,0,35,3,4,0,0,10,5,2,0,0,0,150,1,2,6,0,7
"RTN3",63,4,33,1,1,8,186,10,3,3,4,38,26,10,3,5,7,743,1,51,22,9,31
"C11orf95",0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,40,0,0,0,0,5
"C11orf84",0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,0,0,21,0,0,0,0,2
"MARK2",9,0,5,0,0,0,9,0,0,0,1,6,3,0,0,0,1,230,0,1,2,0,2
"RCOR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"NAA40",6,0,1,7,0,0,10,1,0,0,0,5,2,0,0,1,1,132,0,0,9,0,2
"COX8A",405,26,155,12,10,14,605,40,18,8,42,264,130,21,12,33,32,12080,10,63,201,20,70
"OTUB1",65,10,36,3,5,2,181,12,1,2,10,78,46,3,15,15,8,915,3,26,48,5,44
"MACROD1",7,0,3,0,0,0,60,2,0,0,0,2,0,1,0,2,0,1625,0,6,4,0,5
"STIP1",46,3,26,0,1,3,119,4,6,4,9,51,16,8,7,5,5,524,1,15,48,7,15
"FERMT3",76,13,44,2,3,0,20,20,10,6,15,108,42,1,15,14,16,371,0,7,77,10,2
"TRPT1",16,2,13,1,0,2,105,2,0,0,1,19,9,4,3,0,2,780,1,13,18,1,9
"NUDT22",39,7,32,0,1,3,117,8,2,3,10,41,28,5,5,5,3,1449,2,48,26,2,16
"DNAJC4",42,6,58,0,3,0,178,8,3,4,12,45,22,4,8,7,5,1093,2,52,32,5,8
"VEGFB",38,1,2,0,0,0,26,5,0,0,2,9,5,2,1,1,0,186,0,1,5,0,5
"FKBP2",297,11,79,13,4,11,566,27,8,13,16,142,70,25,15,25,12,4385,3,566,33,11,77
"PPP1R14B",21,1,3,0,1,1,16,2,0,0,2,8,4,3,3,1,0,1109,0,0,15,0,4
"RP11-783K16.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"PLCB3",13,0,2,0,0,0,12,0,0,0,0,5,0,2,0,0,1,428,0,1,0,0,4
"BAD",25,5,14,2,1,6,402,8,4,2,4,54,29,16,6,3,3,1879,3,17,21,8,38
"GPR137",15,2,6,0,0,2,74,3,1,0,3,9,6,2,5,2,0,154,1,2,5,0,15
"ESRRA",7,1,6,0,0,0,43,3,1,0,1,4,5,1,0,1,0,1046,0,0,2,1,3
"TRMT112",161,33,86,14,10,13,899,40,12,11,72,274,134,32,35,41,27,1488,7,156,124,28,96
"PRDX5",333,26,94,8,7,10,1126,59,8,7,62,193,114,35,40,40,23,31179,2,89,90,21,97
"AP003774.1",2,0,0,0,0,0,1,3,0,0,5,5,4,0,0,5,1,582,0,3,6,3,0
"CCDC88B",8,0,4,0,0,0,14,1,2,0,1,19,6,0,2,1,1,183,0,4,3,0,2
"RPS6KA4",26,1,18,0,1,0,24,2,0,0,2,13,3,5,0,0,0,227,0,3,1,1,6
"NRXN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"RASGRP2",11,4,6,0,5,0,3,0,5,0,20,38,9,2,35,7,6,0,4,0,27,0,2
"SF1",61,24,50,7,8,6,290,17,7,6,49,277,75,5,44,62,11,1037,2,60,93,32,33
"AP001462.6",0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,1,0,23,0,2,0,0,0
"MAP4K2",4,1,0,0,1,0,9,0,1,1,3,11,2,0,4,1,1,13,0,3,25,0,7
"MEN1",0,0,1,0,0,1,32,0,0,0,0,2,4,0,0,0,0,106,0,2,7,0,3
"CDC42BPG",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,1,0,0
"EHD1",7,6,11,6,4,1,39,8,4,1,8,72,55,1,3,9,6,171,0,22,33,4,7
"ATG2A",11,0,13,0,0,0,10,2,2,0,0,4,6,0,0,0,0,116,0,2,6,0,4
"PPP2R5B",2,0,1,0,0,2,25,1,1,0,1,6,5,2,1,1,1,55,0,5,1,0,9
"BATF2",2,0,3,0,0,2,32,0,0,0,0,0,0,4,0,0,0,60,0,0,0,0,5
"ARL2",140,11,48,2,2,21,385,11,4,8,15,59,36,17,6,9,4,1990,1,8,17,2,132
"SNX15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"SAC3D1",12,2,15,0,2,0,39,1,0,1,1,13,2,0,0,1,2,481,0,1,32,0,4
"NAALADL1",1,1,1,0,0,0,94,6,0,0,3,11,10,7,0,2,4,101,0,1,2,1,12
"CDCA5",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,86,0,0,27,0,1
"ZFPL1",19,2,6,0,0,0,94,4,0,0,5,21,16,3,4,0,2,425,0,14,13,0,10
"VPS51",15,3,23,0,2,4,144,4,5,3,12,46,20,9,6,12,5,1391,3,9,16,3,20
"TM7SF2",10,0,2,0,0,1,3,1,1,0,3,13,7,0,5,4,1,131,0,10,2,0,1
"ZNHIT2",3,2,0,1,2,0,39,1,0,0,2,13,4,1,1,2,0,226,0,12,7,3,4
"FAU",1294,239,1063,86,105,40,4424,290,141,107,672,2735,1147,123,489,521,255,32867,30,1162,1033,218,411
"SYVN1",12,1,3,0,3,2,38,2,0,0,8,9,1,2,5,2,0,194,0,36,38,2,6
"MRPL49",10,8,9,3,1,1,72,8,0,2,3,32,16,6,5,10,6,269,0,5,24,1,13
"AP003068.23",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,1,2,0,0
"CAPN1",31,2,23,2,2,0,127,2,1,3,5,53,16,8,14,5,8,1075,0,9,36,3,16
"POLA2",7,2,4,0,0,0,94,2,0,0,1,3,1,1,0,1,0,88,0,2,19,2,2
"CDC42EP2",60,0,45,0,0,0,130,0,0,2,0,0,1,7,0,0,0,52,0,1,1,0,13
"DPF2",8,0,5,0,3,0,87,5,4,0,7,13,14,5,3,1,2,161,0,3,12,3,6
"TIGD3",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,5,0,0,0
"SLC25A45",7,5,7,2,0,2,6,3,0,0,0,19,12,0,4,4,1,51,0,8,9,7,1
"FRMD8",9,1,2,0,0,1,16,2,0,0,2,9,8,0,2,4,0,82,0,2,4,0,12
"NEAT1",374,19,231,10,7,5,890,12,7,18,17,103,49,31,7,19,12,4229,3,146,44,16,277
"MALAT1",1685,2710,3007,823,1214,568,20639,2743,1521,2046,4531,25446,11228,1219,3479,4995,1934,75698,191,6444,2783,2458,2178
"AP000769.7",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP000769.1",2,0,2,0,0,0,22,1,0,0,1,1,3,0,0,0,0,26,0,15,2,0,0
"SCYL1",19,2,8,0,0,0,101,3,1,1,2,19,15,5,2,1,2,384,0,12,6,1,8
"LTBP3",10,0,5,0,1,0,110,1,0,2,3,6,6,4,4,3,5,236,1,11,8,1,9
"SSSCA1",39,3,12,1,1,2,145,4,2,7,6,26,12,6,5,6,4,807,2,36,52,4,41
"FAM89B",15,3,9,1,4,1,46,3,1,0,1,37,13,3,2,3,8,245,0,4,1,2,5
"EHBP1L1",36,0,13,0,1,2,24,1,0,0,1,4,3,1,0,0,0,189,2,1,2,0,2
"SIPA1",31,3,12,2,4,1,31,4,1,1,10,18,11,2,9,0,4,314,0,3,12,0,4
"KCNK7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"MAP3K11",21,0,13,1,2,3,51,0,1,0,3,22,10,0,2,4,1,442,0,9,5,5,37
"PCNXL3",3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,101,0,1,2,0,2
"RELA",9,4,10,0,1,1,55,4,1,0,7,26,13,1,4,2,3,277,1,4,14,5,14
"KAT5",15,1,7,1,1,2,98,8,1,2,4,30,17,7,1,3,2,476,1,13,18,1,14
"RNASEH2C",186,2,51,3,3,5,462,18,6,6,20,93,44,24,18,14,18,1218,1,60,78,8,44
"AP5B1",4,0,0,0,0,0,4,1,0,0,0,9,3,0,0,0,2,41,0,0,3,0,0
"OVOL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,408,0,1,0,0,0
"CFL1",1685,247,886,82,100,40,1979,278,129,28,235,2077,1032,90,221,287,201,27720,22,165,1347,161,529
"SNX32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"MUS81",12,0,6,1,0,1,64,3,3,0,2,14,13,5,3,2,4,383,1,6,14,2,12
"EFEMP2",2,0,1,0,0,3,691,0,0,0,1,3,1,35,0,0,0,0,4,0,0,0,14
"CTSW",1,54,4,40,1,0,1,151,1,9,3,128,315,1,0,5,55,2,0,33,0,2,1
"FIBP",101,3,55,2,5,2,200,6,3,1,16,56,29,13,12,6,9,977,2,14,39,9,33
"CCDC85B",157,11,76,7,5,3,357,53,8,9,25,250,136,20,12,34,26,698,5,39,74,6,324
"FOSL1",0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,16,0,0,0,0,7
"C11orf68",2,1,2,0,1,1,21,0,0,0,0,2,1,0,0,0,2,147,0,0,1,3,2
"DRAP1",226,41,132,15,8,6,440,58,16,18,26,340,188,23,32,45,29,1873,2,55,36,21,65
"SART1",19,2,7,0,0,0,55,5,0,1,8,14,9,4,4,3,3,298,0,14,7,0,12
"EIF1AD",18,2,6,1,0,0,20,2,3,0,7,13,9,0,1,0,2,85,0,7,15,1,3
"BANF1",183,15,81,1,2,11,620,28,7,6,34,141,80,19,19,17,18,3316,5,51,149,19,54
"CST6",4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATSPER1",5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF3B2",46,9,15,7,8,4,264,12,6,10,24,82,50,14,17,19,11,1211,5,36,63,8,22
"PACS1",6,0,1,1,0,0,14,6,1,0,0,8,5,0,2,4,2,32,1,4,9,1,3
"RP11-755F10.1",0,0,0,0,0,0,14,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,1
"KLC2",3,0,1,0,0,0,22,4,0,0,2,13,4,1,1,3,1,32,0,1,4,2,7
"RAB1B",18,0,12,1,4,4,85,3,1,1,1,21,5,13,4,5,1,639,1,7,11,1,14
"YIF1A",74,5,35,2,2,6,345,15,1,2,14,63,24,9,2,11,5,1996,3,46,17,5,45
"CD248",0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"RIN1",5,0,3,0,0,0,21,0,0,0,0,2,0,0,0,0,0,132,0,0,0,0,20
"BRMS1",26,9,16,3,1,0,139,5,4,1,10,43,22,4,8,2,3,781,3,20,20,8,22
"RP11-867G23.8",4,2,0,0,0,0,5,0,0,0,1,3,0,1,0,1,0,76,0,1,0,0,0
"SLC29A2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,196,0,0,2,0,2
"MRPL11",62,4,40,4,3,4,225,14,0,2,10,78,43,8,12,7,9,2507,1,26,65,11,18
"PELI3",1,0,0,0,0,0,8,0,0,0,0,2,2,0,0,2,0,11,0,0,0,0,0
"CTD-3074O7.5",5,1,2,0,0,0,15,0,0,1,1,3,2,0,0,0,1,253,0,2,2,1,0
"DPP3",19,2,8,2,0,1,35,5,0,0,3,17,10,0,1,2,2,421,0,1,14,4,6
"BBS1",0,0,0,0,0,0,8,1,0,0,1,2,0,0,0,0,0,32,0,1,0,0,0
"ZDHHC24",41,3,10,2,0,0,61,2,0,0,6,25,3,2,3,1,3,291,1,9,22,2,13
"CTSF",28,0,9,0,0,11,495,1,0,1,3,3,6,19,1,0,0,63,3,17,0,1,24
"CCS",45,4,27,0,0,3,280,4,0,2,9,22,25,9,6,2,4,847,0,19,9,2,19
"RBM14",9,1,7,0,1,3,64,2,0,0,2,25,16,0,2,4,6,301,0,7,17,1,7
"RBM4",6,1,9,0,5,2,62,3,6,0,6,24,27,3,3,8,4,170,2,12,11,5,8
"RBM4B",7,0,3,0,0,1,71,3,2,1,4,18,11,5,10,1,1,122,0,6,10,0,9
"RP11-658F2.8",1,0,1,0,0,0,3,1,0,0,0,3,0,0,0,1,0,24,0,1,1,0,1
"SPTBN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"C11orf80",1,0,1,0,0,1,5,0,0,0,1,2,3,0,0,1,0,80,0,13,2,0,0
"RCE1",9,2,6,1,1,0,73,1,1,2,4,32,12,2,3,6,1,372,0,13,7,1,8
"PC",0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,54,0,0,1,0,0
"LRFN4",1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,182,0,0,1,0,0
"C11orf86",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,181,0,0,0,0,0
"SYT12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"RHOD",0,0,0,0,0,0,16,1,0,0,0,2,1,0,0,0,0,46,0,3,0,0,4
"KDM2A",14,2,6,1,1,0,24,0,0,0,3,17,8,1,4,3,4,236,1,7,7,1,10
"ADRBK1",39,4,9,2,1,0,17,5,0,0,2,11,7,0,2,6,1,389,0,2,5,3,15
"ANKRD13D",12,2,5,0,2,0,29,5,1,1,0,14,8,4,1,2,2,72,1,1,4,0,4
"SSH3",0,0,0,0,4,0,39,1,0,0,0,2,0,3,2,1,0,229,0,1,0,0,3
"RAD9A",3,0,8,1,1,0,39,4,1,1,2,13,15,1,2,1,3,234,0,9,21,3,7
"POLD4",25,0,7,1,1,0,40,4,0,1,4,15,8,5,5,5,1,519,0,5,31,1,5
"CLCF1",0,1,0,0,0,0,30,0,0,0,0,4,5,0,2,0,0,11,1,2,0,0,2
"PPP1CA",220,38,117,18,8,5,473,73,11,11,50,305,142,9,37,64,35,3526,3,61,253,50,74
"TBC1D10C",6,20,7,8,10,0,3,33,14,0,27,132,90,0,19,33,22,4,0,10,50,16,0
"CARNS1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"RPS6KB2",48,7,20,2,2,1,94,6,2,2,12,63,15,7,6,8,4,653,0,28,30,8,6
"AP003419.16",3,0,0,1,0,0,4,0,1,0,0,4,2,0,0,2,0,8,0,1,1,1,2
"CORO1B",105,5,62,3,4,4,166,8,10,4,6,142,52,10,1,35,12,1611,1,15,27,61,41
"PTPRCAP",6,109,11,55,46,0,8,216,35,0,220,729,557,0,137,140,113,37,0,115,391,105,0
"TMEM134",71,6,37,8,6,4,123,9,2,5,15,70,33,8,9,16,5,1438,1,64,31,13,26
"AIP",40,10,31,3,1,2,270,18,8,0,13,97,47,12,12,14,16,444,4,29,51,15,37
"PITPNM1",1,0,2,0,0,0,4,0,1,0,0,7,2,2,1,0,0,195,0,0,3,3,1
"CDK2AP2",76,21,57,5,2,9,68,40,10,2,23,144,90,3,12,18,15,1638,0,143,112,25,37
"GSTP1",1009,21,479,10,10,31,1707,74,13,21,23,242,172,68,35,28,39,16283,12,222,394,16,250
"NDUFV1",77,4,37,1,1,5,251,13,3,5,4,63,32,9,2,10,7,3450,2,29,48,11,27
"NUDT8",2,0,2,0,0,1,25,3,0,0,1,5,2,1,4,0,1,970,0,4,7,0,3
"TBX10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
"ACY3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95,0,1,31,0,0
"RP11-119D9.1",0,0,1,0,0,0,10,0,0,0,0,6,2,0,0,1,0,76,0,1,0,1,0
"RP5-903G2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"UNC93B1",56,0,13,1,1,1,38,5,1,0,5,8,7,0,11,1,2,327,0,18,14,0,2
"ALDH3B1",9,0,11,0,0,0,8,0,0,0,0,1,0,0,0,0,0,59,0,0,0,0,0
"NDUFS8",246,9,106,3,3,2,357,23,5,9,22,127,63,17,10,22,13,4980,4,60,79,20,56
"TCIRG1",45,2,15,0,2,1,46,6,3,0,1,23,13,0,2,5,4,215,0,6,17,8,11
"RP11-802E16.3",1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,35,0,0,0,1,0
"CHKA",8,0,6,0,0,1,11,2,0,0,0,1,0,0,0,0,0,369,0,3,1,0,2
"C11orf24",11,1,3,0,0,0,31,0,0,0,1,2,3,1,0,0,0,165,0,5,2,0,6
"LRP5",9,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,16
"PPP6R3",13,0,2,0,1,0,32,3,1,0,3,7,9,1,0,5,0,251,2,2,5,1,9
"MTL5",0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,146,0,0,7,1,0
"CPT1A",3,0,6,0,0,0,13,3,0,0,0,7,3,0,0,1,1,348,0,3,4,1,4
"MRPL21",73,11,17,1,2,1,198,6,1,2,13,59,17,9,14,10,7,1951,0,28,41,4,28
"IGHMBP2",6,0,5,0,0,0,9,0,0,0,0,6,2,0,0,2,0,78,0,0,8,0,0
"MRGPRF",0,0,0,0,0,10,130,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"TPCN2",3,0,1,0,0,4,4,3,0,0,2,1,0,1,1,0,0,54,0,2,1,0,3
"MYEOV",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,1,0,11
"AP000439.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"CCND1",68,0,13,0,2,1,169,0,0,0,2,2,0,0,0,0,0,649,0,1,0,0,59
"ORAOV1",8,1,1,0,1,1,15,2,2,0,1,4,2,1,1,1,2,93,1,1,6,0,3
"ANO1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"FADD",9,0,3,1,1,2,71,9,0,0,5,11,11,1,3,4,1,341,1,1,14,0,10
"RP11-805J14.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"PPFIA1",10,0,6,1,0,2,16,5,0,0,0,3,6,1,1,3,0,227,0,1,0,0,7
"CTTN",0,0,0,0,0,0,37,0,0,0,0,0,1,2,0,0,0,767,0,0,0,0,10
"SHANK2",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"DHCR7",1,1,0,0,0,0,3,1,0,0,3,18,1,0,1,6,1,191,0,5,3,1,4
"RP11-660L16.2",6,2,4,0,1,0,10,1,1,0,3,27,12,0,0,6,4,128,0,6,2,3,4
"NADSYN1",10,1,3,1,0,0,25,1,0,0,2,7,12,0,2,2,0,475,0,2,2,2,5
"FAM86C1",0,0,1,0,0,0,10,0,0,0,0,1,3,1,1,0,0,74,0,0,1,0,0
"RP11-849H4.2",0,1,1,0,0,0,10,0,2,0,1,1,2,0,0,0,0,69,0,2,2,0,3
"RNF121",5,0,4,0,0,1,55,1,0,1,5,11,5,0,1,0,3,155,0,10,13,2,6
"IL18BP",78,3,16,0,0,0,15,0,0,0,1,6,3,0,0,1,0,8,0,0,1,1,3
"NUMA1",12,1,5,0,0,0,68,2,0,0,2,8,2,7,2,2,0,766,0,1,3,1,10
"RP11-849H4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"LRTOMT",0,0,0,0,2,0,11,0,0,0,0,1,3,1,1,1,0,61,0,1,3,0,2
"LAMTOR1",327,9,160,6,6,13,620,24,3,7,20,127,81,18,24,17,17,2619,2,52,102,14,74
"ANAPC15",43,9,20,2,3,1,76,7,2,3,5,57,18,3,5,20,2,1320,2,24,62,3,12
"FOLR1",0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FOLR2",348,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,10,0,0
"INPPL1",17,0,5,0,0,0,16,1,0,0,1,2,1,2,0,0,0,192,1,2,2,0,0
"CLPB",6,0,1,0,0,0,8,0,0,0,0,3,0,0,0,1,0,25,0,3,4,0,2
"PDE2A",1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26
"RP11-169D4.2",1,0,0,0,1,0,0,0,0,0,2,4,2,0,0,2,0,0,0,1,0,0,0
"ARAP1",29,0,6,0,0,0,52,0,0,0,1,3,1,1,1,1,0,200,0,1,0,0,4
"STARD10",0,0,0,0,0,0,21,0,1,3,1,6,2,1,0,0,1,5037,0,2,0,0,4
"ATG16L2",29,0,26,0,0,1,25,5,0,2,5,16,15,1,1,1,1,199,0,5,9,2,13
"FCHSD2",11,2,5,0,0,0,6,1,0,2,3,2,3,0,8,0,0,43,0,4,12,1,5
"P2RY2",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,1
"P2RY6",71,0,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"ARHGEF17",0,0,0,0,0,1,29,0,0,0,0,0,0,6,0,0,0,8,2,0,0,0,1
"RELT",13,0,12,0,1,0,0,0,0,0,8,23,6,0,4,2,2,13,0,3,12,0,1
"FAM168A",9,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,3
"RP11-809N8.4",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"PLEKHB1",1,0,0,1,0,21,1,1,0,0,0,14,3,2,0,9,1,108,0,1,3,2,0
"RAB6A",21,6,14,0,0,3,110,7,3,3,6,58,22,4,3,9,7,248,1,12,9,8,20
"MRPL48",25,5,17,2,3,2,108,4,2,1,7,47,20,1,4,6,4,1063,2,14,44,9,22
"COA4",56,3,28,1,1,5,156,5,2,1,13,45,24,3,5,3,2,1783,0,14,25,6,26
"PAAF1",15,0,2,0,0,1,54,2,2,2,1,17,10,2,5,1,2,252,1,7,15,3,6
"UCP2",783,25,212,18,11,0,30,20,5,7,80,306,105,0,74,41,27,262,0,17,334,62,1
"UCP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"C2CD3",4,1,1,0,0,1,12,0,0,0,1,3,2,0,0,0,0,73,0,1,4,0,0
"PPME1",6,1,1,0,0,0,30,1,1,1,0,10,6,1,0,2,0,114,0,0,3,0,5
"PGM2L1",6,0,2,0,0,0,17,3,0,1,2,4,3,0,0,0,1,197,0,0,2,2,1
"KCNE3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,1
"LIPT2",3,1,0,0,0,0,6,1,0,0,2,3,1,2,0,1,0,79,0,4,3,0,0
"AP001372.2",0,1,1,0,0,0,18,0,0,0,0,1,1,0,0,0,0,36,0,2,0,2,3
"POLD3",1,0,2,0,0,0,22,1,0,0,0,4,0,1,1,0,0,121,0,2,13,2,5
"RNF169",1,0,2,1,0,0,11,0,0,0,0,2,3,0,1,0,0,68,0,2,2,0,0
"XRRA1",0,0,0,0,0,0,13,0,0,0,0,6,3,6,1,0,0,21,0,3,1,0,0
"SPCS2",235,30,65,12,9,13,924,28,15,17,52,274,112,17,50,52,19,2484,1,505,125,24,87
"NEU3",2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"SLCO2B1",66,0,8,0,0,0,41,0,0,2,0,0,0,1,0,0,0,60,0,0,0,1,0
"ARRB1",18,0,6,0,0,0,78,2,0,1,0,3,2,4,0,0,0,282,2,0,0,0,17
"RPS3",2358,691,1928,249,343,44,8220,818,435,185,1538,8811,3428,198,830,1637,738,115923,41,1509,2172,597,782
"KLHL35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"GDPD5",0,0,0,0,0,0,7,0,0,0,0,3,1,0,0,2,0,12,0,0,1,0,0
"SERPINH1",15,0,1,0,0,3,741,0,0,0,0,6,2,27,0,1,1,343,2,0,0,0,74
"MOGAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0
"DGAT2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,2,0,0
"UVRAG",5,1,9,1,0,0,16,3,0,1,7,8,9,2,6,5,1,46,0,9,18,2,10
"WNT11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"PRKRIR",2,0,0,1,0,0,17,0,0,0,0,11,3,0,1,1,0,71,0,1,5,0,1
"RP11-111M22.2",1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,27,0,3,1,0,0
"RP11-111M22.3",4,0,5,1,0,0,17,0,0,0,1,5,2,0,0,1,0,583,0,2,4,0,2
"LRRC32",0,0,0,0,0,0,105,0,0,0,0,0,0,1,2,0,0,6,5,0,3,3,37
"TSKU",1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
"RP11-21L23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"ACER3",20,0,17,0,0,1,15,1,0,1,0,2,3,1,0,1,0,148,0,1,3,1,4
"CTD-2547H18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0
"B3GNT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
"CAPN5",0,0,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,810,0,0,0,0,0
"PAK1",32,0,39,0,0,0,18,1,0,2,1,6,3,1,2,0,0,470,0,4,3,0,0
"CLNS1A",54,11,59,3,8,5,261,11,2,7,18,74,35,5,22,8,9,1263,0,23,50,9,21
"AQP11",2,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,1,129,0,0,1,0,0
"RSF1",21,6,19,1,6,0,170,13,1,0,10,41,40,4,3,9,7,550,2,21,23,8,33
"AAMDC",42,0,8,0,0,10,178,6,2,0,6,20,4,3,1,3,3,1268,0,7,4,1,32
"INTS4",5,0,2,1,0,0,22,2,0,1,4,11,9,0,1,2,8,117,0,4,6,2,10
"KCTD14",1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,79,0,0,1,0,0
"NDUFC2",204,16,97,8,7,13,710,28,8,12,15,145,65,22,11,33,8,5269,8,106,61,8,106
"ALG8",4,2,13,0,0,1,64,0,1,2,4,16,10,1,3,6,2,199,0,15,6,0,4
