"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"MSR1",518,0,5,0,0,0,0,7,0,1,0,0,0,3,4,1,0,0,6,0,1,2,1,0,83,2,2,1,0,0
"MICU3",2,1,1,0,0,0,2,57,0,0,0,2,0,10,4,2,1,3,45,3,0,0,1,2,18,0,2,0,2,3
"ZDHHC2",58,5,5,0,0,1,0,6,0,1,1,1,0,42,13,8,1,9,42,1,1,1,30,0,106,3,13,0,1,3
"CNOT7",160,11,31,0,3,2,5,99,0,8,2,2,1,216,107,35,5,77,317,7,3,6,66,0,684,13,95,6,24,22
"VPS37A",64,3,6,0,0,1,6,54,0,1,1,0,0,48,23,12,4,10,58,1,3,1,37,0,150,3,7,1,4,9
"SLC7A2",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0
"PDGFRL",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"MTUS1",56,0,2,0,0,0,1,41,0,0,0,0,0,3,4,1,2,3,22,1,1,0,81,0,104,0,2,0,3,24
"PCM1",199,16,35,2,3,3,6,133,0,9,2,1,2,201,93,40,12,53,255,17,4,7,52,2,423,13,91,5,20,19
"ASAH1",1696,12,62,1,2,5,38,455,1,10,0,0,5,256,84,43,34,64,202,5,4,2,169,19,1181,32,35,4,15,42
"CTD-2547L16.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
"NAT1",18,0,1,0,0,0,0,9,0,0,0,0,0,9,4,0,0,3,12,1,0,0,36,0,15,1,8,1,0,0
"NAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"PSD3",13,0,3,0,0,0,3,82,0,0,0,0,0,9,0,0,5,2,4,0,1,0,28,2,13,1,3,0,0,2
"SH2D4A",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,49,0,7,0,0,0,0,0
"CSGALNACT1",12,0,1,0,0,0,0,1,0,0,0,0,0,17,5,0,0,6,62,2,0,1,0,0,90,1,2,0,0,7
"INTS10",76,7,20,0,1,1,4,68,0,2,1,2,0,80,46,21,2,23,151,5,1,0,52,2,346,5,43,4,8,5
"LPL",3,0,0,0,0,0,6,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0
"ATP6V1B2",531,2,63,0,0,3,6,61,0,1,0,0,0,48,35,11,6,14,62,2,2,3,26,1,168,26,16,6,5,12
"LZTS1",1,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"GFRA2",114,0,4,0,0,0,15,7,0,0,0,0,0,5,1,1,0,1,3,0,0,0,0,0,22,1,1,0,0,0
"DOK2",509,23,87,2,2,7,0,18,0,13,1,0,0,82,88,61,0,12,413,11,11,4,3,0,290,22,16,9,49,1
"XPO7",48,0,1,0,0,0,3,21,0,0,0,0,0,13,6,4,2,4,27,2,1,0,11,1,70,2,11,0,3,3
"NPM2",8,2,0,1,0,0,1,5,0,2,1,0,1,2,8,4,0,0,1,0,0,2,3,0,21,0,1,0,0,0
"DMTN",1,1,0,1,0,0,4,1,0,1,0,0,0,2,6,3,2,0,7,0,1,0,7,0,15,0,0,0,0,1
"FAM160B2",19,1,4,0,0,0,1,26,0,0,0,0,0,14,11,8,0,6,31,0,0,1,8,0,43,3,3,0,2,6
"NUDT18",42,0,3,0,0,0,0,12,0,1,0,0,0,27,10,10,3,3,28,0,1,0,9,0,142,1,9,0,2,3
"HR",1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0
"REEP4",35,0,3,0,0,0,1,18,0,2,0,1,0,13,6,3,2,1,19,0,1,0,45,0,38,3,17,2,3,2
"BMP1",5,0,4,0,1,0,2,41,0,0,0,0,0,0,4,2,1,0,4,0,0,0,13,2,13,2,0,0,0,1
"POLR3D",46,6,11,0,0,1,2,36,0,1,0,1,1,43,24,11,0,17,73,2,1,3,16,0,344,6,12,4,0,12
"PIWIL2",6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,0,0,5,0,5,0,0,0,0,0
"SLC39A14",5,0,0,0,0,0,1,6,0,0,0,0,0,5,3,1,0,2,6,0,0,0,25,0,81,1,2,0,1,2
"PPP3CC",39,6,3,1,1,1,2,27,0,7,0,0,0,132,39,22,2,26,109,3,0,1,3,1,444,0,48,2,12,5
"SORBS3",89,2,11,0,0,0,1,83,0,3,1,0,1,11,29,6,8,8,43,1,0,2,26,2,134,5,4,1,1,17
"PDLIM2",224,23,30,1,4,4,13,207,0,18,0,2,2,155,121,53,21,49,231,12,3,10,33,4,192,13,59,4,20,26
"C8orf58",11,2,1,0,0,0,1,20,0,0,0,0,0,6,9,2,1,2,16,1,0,0,3,0,20,0,2,0,0,4
"CCAR2",23,3,3,0,1,0,2,29,1,2,0,0,0,21,9,4,3,14,40,1,0,1,19,2,48,1,13,2,11,3
"RP11-582J16.5",6,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,1,0,5,0,0,0,0,0
"BIN3",50,3,14,0,1,1,3,47,0,1,1,0,0,43,29,17,5,19,90,3,1,0,35,0,127,1,22,5,9,10
"EGR3",169,0,21,0,0,0,2,9,0,0,1,1,2,29,17,5,3,4,24,3,1,0,12,1,283,13,8,1,3,1
"PEBP4",3,0,1,0,1,0,0,7,0,0,0,0,0,9,0,0,0,3,4,0,1,0,0,0,43,0,9,0,0,0
"RP11-875O11.1",0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,3,1,0,6,0,0,0,0,0,21,0,0,0,1,0
"RHOBTB2",14,0,1,0,0,0,0,18,0,1,0,1,0,42,3,2,2,17,3,0,0,0,4,0,39,0,17,1,0,2
"TNFRSF10B",56,1,9,0,0,0,1,40,0,1,0,0,0,21,13,2,1,7,47,1,0,0,17,0,52,2,5,0,2,9
"TNFRSF10C",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TNFRSF10D",8,0,1,0,0,0,0,9,0,0,0,0,0,2,0,1,1,4,5,1,1,0,2,0,7,0,0,0,0,7
"TNFRSF10A",11,2,3,0,0,0,0,2,0,0,0,0,0,28,5,1,0,7,28,1,0,0,3,0,24,2,7,0,2,2
"RP11-1149O23.4",0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,0,2,0,1,0
"CHMP7",47,3,9,1,1,0,0,43,1,1,0,0,0,85,35,20,6,41,156,7,1,1,25,0,167,3,50,6,17,5
"R3HCC1",93,8,12,1,0,0,4,147,0,2,0,0,0,56,43,17,16,16,79,1,5,5,34,1,437,10,30,6,9,8
"LOXL2",3,1,1,0,0,0,1,138,0,0,0,0,0,1,0,0,23,1,6,0,0,0,0,2,21,0,18,0,0,4
"ENTPD4",26,4,6,1,1,0,1,20,0,1,0,0,0,32,15,6,3,14,37,2,1,1,11,0,157,1,21,1,4,3
"SLC25A37",82,9,13,1,2,0,5,181,1,7,0,1,0,128,44,20,7,36,155,7,2,2,82,3,298,4,53,1,8,19
"NKX3-1",3,0,1,0,0,0,0,5,0,1,0,0,0,6,3,2,0,1,8,4,2,0,1,0,4,0,3,1,1,0
"STC1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"ADAM28",210,3,14,1,0,0,0,518,0,0,0,0,0,408,13,9,48,157,37,1,3,1,3,0,470,7,39,1,1,4
"RP11-624C23.1",1,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,12,2,1,0,0,0
"ADAMDEC1",1387,25,65,2,4,4,13,21495,0,19,1,6,4,221,185,92,1292,64,333,13,17,18,34,20,2783,27,83,9,34,32
"NEFM",4,0,0,0,0,0,3,3,0,0,0,0,0,1,4,4,0,1,5,0,0,0,0,0,3,0,0,0,1,0
"DOCK5",85,0,21,0,0,0,11,27,0,3,0,1,0,3,2,4,1,1,5,0,0,0,46,0,19,3,5,0,0,0
"GNRH1",0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,0,0,2,0,0,0,4,0,2,0,0,0,1,0
"KCTD9",33,1,4,0,0,0,9,89,0,0,0,0,0,13,9,5,4,6,17,0,0,1,44,0,43,2,15,0,0,2
"CDCA2",14,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0,6,0,8,0,58,7,1,0
"PPP2R2A",74,8,20,0,1,3,14,81,1,8,1,3,1,109,46,27,7,39,164,5,2,3,49,2,333,10,78,11,18,21
"BNIP3L",390,9,54,0,0,0,14,258,1,3,1,3,3,152,75,29,23,56,244,4,6,3,40,10,424,35,63,5,20,28
"PNMA2",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"DPYSL2",467,1,49,1,0,2,22,145,0,3,0,0,2,18,16,6,12,8,38,0,5,0,30,0,127,23,35,1,3,41
"TRIM35",18,1,1,0,1,0,0,11,0,1,0,0,0,11,1,5,0,0,12,0,0,1,3,0,18,1,3,0,4,5
"PTK2B",79,10,9,2,0,1,3,18,1,9,0,0,0,175,41,27,4,41,123,8,3,2,20,0,545,2,81,7,11,3
"EPHX2",13,0,2,0,0,0,3,62,1,0,0,1,0,28,15,9,7,7,192,11,0,0,152,0,122,0,7,1,14,5
"CLU",49,4,4,1,1,1,408,137,1,3,1,0,11,43,30,17,14,9,61,3,1,2,12,0,127,2,46,3,4,50
"SCARA3",1,1,0,0,0,0,15,33,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,10,0,1,0,0,0
"CCDC25",124,4,18,1,1,2,4,124,1,3,0,0,1,101,34,29,9,25,147,8,2,5,99,1,291,5,73,9,15,14
"ESCO2",25,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,9,0,7,0,25,7,2,1
"PBK",0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,4,0,0,0,40,0,4,0,56,10,0,0
"SCARA5",23,1,6,0,0,0,0,735,0,0,0,0,0,9,6,4,28,3,10,0,0,1,0,0,80,1,1,1,0,2
"NUGGC",2,2,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,7,0,1,0,0,0,121,0,48,0,1,1
"ELP3",43,0,2,0,0,2,2,39,0,3,0,1,0,37,10,3,2,11,37,1,2,0,15,0,66,0,27,1,5,9
"PNOC",68,1,8,0,0,1,1,31,0,4,0,0,0,250,21,10,3,83,60,2,3,2,4,1,1793,4,96,3,5,6
"ZNF395",7,1,0,0,0,0,2,25,0,1,2,0,0,48,4,4,1,14,23,2,2,1,18,0,59,0,7,0,1,3
"FBXO16",23,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,3,0,126,0,8,1,0,1
"FZD3",24,2,0,1,0,1,2,9,0,0,0,0,0,21,4,5,1,2,28,2,0,0,10,0,143,0,8,1,5,3
"EXTL3",14,1,2,0,0,0,1,8,0,1,0,0,0,10,3,1,4,4,3,0,0,0,3,0,20,2,0,0,1,2
"EXTL3-AS1",1,0,3,0,0,0,0,2,0,0,0,0,0,4,3,2,0,1,5,1,0,1,1,0,8,0,0,0,1,0
"INTS9",12,0,5,0,0,0,0,8,0,1,0,0,0,10,2,0,0,5,16,2,1,1,6,0,23,0,11,1,0,0
"HMBOX1",55,5,14,0,1,2,6,40,2,2,0,0,0,108,29,15,4,35,118,2,1,3,17,0,156,6,27,1,2,19
"KIF13B",43,3,5,1,0,0,0,15,0,0,0,0,0,12,16,8,3,9,15,1,1,1,36,0,206,1,2,2,1,3
"DUSP4",158,41,52,23,7,8,3,23,6,33,2,4,0,106,96,180,2,15,111,5,12,19,4,0,725,13,13,6,79,9
"AC145110.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,6,0,1,0
"RP11-489E7.4",15,4,2,1,1,0,1,8,0,3,1,3,0,40,33,27,3,11,112,8,1,2,2,0,203,3,5,1,9,1
"LEPROTL1",235,61,53,5,13,10,12,149,3,33,5,7,2,175,450,173,12,73,1549,73,11,20,113,1,691,12,60,11,79,20
"RP11-51J9.5",34,27,6,4,1,2,0,23,1,10,0,0,0,52,142,74,3,25,418,15,7,8,5,0,139,2,19,6,30,8
"DCTN6",137,18,33,2,4,4,29,148,1,10,1,2,1,98,100,47,16,41,236,25,2,6,64,4,432,6,49,5,10,24
"RP11-51J9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0
"RBPMS-AS1",1,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RBPMS",26,1,3,0,0,0,10,412,0,1,1,0,1,8,3,2,57,4,12,0,1,0,0,5,93,1,6,0,0,29
"GTF2E2",118,7,28,1,1,3,2,92,0,8,0,0,1,104,47,37,8,44,140,2,4,3,36,2,443,4,107,10,14,14
"GSR",23,0,3,0,0,0,0,9,0,1,0,0,0,15,5,4,2,2,21,0,1,1,20,0,49,1,14,0,1,0
"UBXN8",56,1,7,0,0,0,3,43,0,0,1,1,1,13,14,7,3,4,23,0,1,0,13,0,69,2,7,1,2,5
"PPP2CB",165,3,14,1,0,1,10,103,0,4,0,0,0,33,15,6,17,6,24,2,1,1,51,1,166,9,8,1,2,26
"WRN",21,4,1,0,0,1,0,11,0,1,0,0,0,8,9,6,2,6,24,2,0,0,15,0,55,2,5,1,4,2
"NRG1",115,0,13,0,0,0,0,62,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,27,8,1,0,0,0
"RP11-11N9.4",114,1,8,0,0,0,3,11,0,1,0,0,0,15,9,2,0,7,49,3,0,0,1,0,48,4,11,2,5,1
"RP11-722E23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FUT10",6,0,0,0,0,0,3,16,0,0,0,0,0,4,2,2,2,2,8,0,0,0,10,0,40,0,1,0,1,1
"TTI2",9,1,4,0,0,0,1,15,0,3,0,0,0,17,5,8,2,5,17,0,0,2,13,0,49,2,14,0,2,4
"MAK16",24,3,5,0,0,0,2,23,1,2,0,0,0,28,8,7,1,8,48,1,0,2,6,0,57,1,17,3,6,1
"RNF122",21,1,1,0,1,0,0,6,0,2,0,0,0,14,6,3,1,4,10,0,1,0,1,0,106,1,3,0,0,2
"DUSP26",2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,6,0,0,0,0,0,197,0,1,0,1,1
"RP11-150O12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"ZNF703",24,1,26,0,0,2,1,37,0,2,0,0,1,23,7,10,3,16,21,2,1,0,91,1,33,10,5,0,3,3
"RP11-863K10.7",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0
"ERLIN2",56,2,6,0,0,0,2,27,0,1,0,0,0,19,10,8,5,6,22,0,0,0,33,2,117,1,8,0,3,0
"PROSC",171,6,24,2,0,3,7,77,0,5,0,2,1,77,53,21,6,21,129,6,2,3,76,0,357,7,41,8,10,20
"BRF2",6,3,2,0,0,0,2,46,0,1,0,0,0,9,4,5,2,2,30,1,0,0,16,0,51,0,9,1,4,2
"RAB11FIP1",142,5,47,0,0,1,5,23,1,4,0,0,0,243,49,23,0,49,132,4,7,3,138,0,655,7,69,2,37,5
"EIF4EBP1",335,10,41,0,0,0,6,67,1,5,1,0,3,78,27,13,4,24,49,4,4,3,130,2,399,11,34,4,5,8
"ASH2L",46,7,7,0,0,0,5,49,0,1,0,2,1,30,24,6,3,22,38,3,2,3,19,0,79,4,47,3,6,6
"LSM1",230,14,40,0,3,12,13,160,3,13,3,3,1,173,117,67,20,33,312,7,11,6,90,1,987,16,88,18,34,24
"BAG4",45,1,4,0,0,1,5,32,0,1,0,1,1,26,18,7,1,5,39,2,1,1,20,0,73,0,11,0,6,1
"DDHD2",31,5,3,0,0,1,2,17,0,4,0,0,0,23,14,6,3,10,46,3,3,1,15,0,138,0,12,2,7,4
"WHSC1L1",183,21,30,2,3,5,13,181,1,16,0,2,1,279,138,73,20,127,603,10,5,8,73,7,1179,11,139,15,58,31
"RP11-350N15.5",8,0,2,0,0,1,0,7,0,0,0,0,0,1,2,2,0,2,4,1,0,0,5,0,98,0,0,0,0,1
"LETM2",8,0,2,1,0,0,0,15,1,6,0,0,1,14,19,6,0,11,29,1,1,1,3,0,112,0,4,0,2,0
"FGFR1",28,2,2,0,0,0,3,152,1,2,0,0,0,7,9,6,5,4,36,1,1,2,3,0,58,0,14,2,5,7
"C8orf86",1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6,0,0,0,1,0,6,0,0,0,0,0
"TACC1",368,15,39,3,1,1,12,144,0,2,1,3,2,93,59,39,17,29,146,5,4,3,49,8,286,18,99,6,11,59
"PLEKHA2",246,5,17,0,2,1,0,31,0,4,0,0,0,108,28,21,3,52,61,2,3,5,14,1,221,9,82,1,6,1
"CTD-2544N14.3",1,2,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,2,3,0,0,0,1,0,0,0,1,0,0,0
"HTRA4",8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TM2D2",167,5,19,2,1,0,8,135,0,1,2,0,0,41,30,15,12,15,68,2,2,1,34,3,261,1,17,4,14,26
"ADAM9",195,1,7,0,0,0,1,58,0,0,0,0,0,1,3,0,5,0,3,0,0,0,24,0,45,3,1,0,0,6
"ADAM32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"IDO1",22,2,17,0,0,0,46,22,0,0,0,0,0,7,3,1,1,3,12,1,0,0,4,0,51,44,2,1,0,55
"IDO2",5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
"C8orf4",7,0,1,0,0,0,53,256,0,0,0,0,0,11,4,5,47,1,5,0,0,0,157,10,49,0,0,1,1,71
"SFRP1",2,0,0,0,0,0,27,83,0,0,0,0,0,1,2,2,2,0,3,0,0,0,0,0,11,0,0,0,0,5
"GOLGA7",203,14,33,0,1,1,17,158,1,9,2,3,4,117,91,50,17,50,239,11,4,5,58,2,454,8,56,10,31,27
"GINS4",40,5,6,0,0,1,0,10,0,3,0,0,0,15,6,7,0,7,46,2,2,1,9,0,31,1,17,3,2,2
"RP11-360L9.4",1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,1,0,1,1
"ANK1",7,0,1,0,0,0,0,4,0,0,0,0,0,18,1,0,0,7,9,0,1,0,1,0,197,0,44,0,1,1
"KAT6A",54,5,15,0,0,0,1,34,0,3,2,0,0,74,50,8,3,26,144,6,2,1,13,2,118,1,17,4,14,15
"RP11-589C21.6",0,2,0,0,0,1,0,4,0,1,0,0,0,7,14,2,0,3,36,0,2,0,0,0,5,0,1,0,0,2
"AP3M2",26,8,2,0,2,5,2,56,0,2,0,0,0,53,74,8,1,17,381,4,1,1,4,1,53,0,6,1,22,12
"PLAT",122,6,15,0,0,2,68,3023,0,3,0,2,3,29,38,13,42,10,79,2,0,2,7,6,494,6,14,2,2,275
"RP11-231D20.2",2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"IKBKB",42,6,5,0,0,1,1,36,0,3,0,0,0,60,24,5,4,26,90,6,4,2,15,0,73,0,23,2,10,8
"POLB",25,4,6,1,0,1,3,13,0,1,0,0,0,12,10,1,1,8,22,1,2,0,4,0,62,1,6,2,0,2
"VDAC3",287,10,54,4,3,3,21,234,0,12,0,2,0,155,102,44,36,50,242,10,5,5,282,2,598,11,108,25,25,43
"SLC20A2",27,2,3,0,0,0,2,15,0,2,0,0,0,18,11,4,1,6,35,0,1,0,16,0,81,1,6,1,2,1
"SMIM19",220,11,37,0,3,0,11,136,1,7,0,2,1,163,69,25,7,43,199,9,5,5,127,1,562,14,82,9,19,14
"THAP1",44,5,12,1,1,1,4,51,1,4,1,0,1,68,31,14,4,14,101,7,0,4,27,0,192,6,27,10,9,11
"RNF170",50,1,4,0,0,0,3,41,0,0,1,0,0,64,16,9,3,15,70,0,1,1,38,0,153,1,27,2,7,4
"HOOK3",171,4,24,1,0,1,4,69,1,2,2,3,1,60,26,16,6,25,88,0,2,1,17,1,191,10,29,2,5,10
"FNTA",170,12,28,0,1,3,26,164,2,5,3,2,2,113,50,32,8,50,163,5,2,3,70,2,272,13,69,12,18,26
"HGSNAT",146,9,26,1,1,2,4,69,0,5,0,1,1,59,45,22,6,20,105,8,3,2,26,0,191,4,19,1,6,13
"SPIDR",35,2,4,0,0,0,0,31,0,0,0,0,0,22,4,2,3,7,14,0,0,2,27,1,70,2,11,2,3,3
"CEBPD",693,7,169,0,2,1,32,1054,0,11,4,1,0,23,110,29,49,3,50,1,16,4,70,7,325,52,12,2,4,49
"PRKDC",164,7,20,2,0,1,4,83,1,2,1,0,0,75,43,19,6,32,106,6,3,0,51,0,204,5,92,5,13,7
"MCM4",68,0,9,0,0,0,1,14,0,1,0,0,0,11,3,3,3,1,14,1,0,1,29,0,45,1,58,6,1,1
"UBE2V2",195,13,46,1,0,1,19,162,0,6,1,4,1,178,87,37,16,52,242,8,5,3,149,4,524,21,162,20,25,25
"RP11-567J20.3",1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,3,1,0,0,0,0,5,0,26,0,0,0
"RP11-770E5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0
"EFCAB1",0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"SNAI2",25,0,4,0,0,0,1,451,0,0,0,0,0,2,2,4,40,1,7,0,0,0,0,4,61,0,0,1,0,7
"PCMTD1",88,7,16,1,1,2,2,139,0,3,0,0,3,107,42,25,8,33,133,1,5,3,45,3,935,3,24,4,11,20
"RP11-110G21.1",5,1,2,0,0,0,0,7,0,0,0,1,0,12,6,2,1,8,22,0,0,0,3,0,93,1,10,1,0,1
"RP11-546K22.3",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,3,0,1,0,0,0
"RP11-546K22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ST18",7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RB1CC1",57,13,11,0,3,2,7,97,1,7,0,0,0,71,33,19,10,20,105,3,1,4,31,2,291,2,26,1,7,18
"ATP6V1H",185,8,27,0,0,1,9,80,0,2,0,0,0,115,45,16,7,46,152,4,3,2,39,0,153,4,61,4,16,16
"TCEA1",295,16,40,4,3,9,6,242,2,10,5,1,5,474,151,74,29,149,436,19,8,7,181,1,1669,15,720,21,43,28
"LYPLA1",292,10,56,1,5,1,4,99,1,8,1,3,0,209,79,28,8,77,242,6,8,3,219,3,825,8,285,10,30,28
"MRPL15",139,5,23,0,0,0,10,82,0,2,0,1,0,88,19,11,13,34,68,4,2,1,128,3,317,2,105,8,9,11
"SOX17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4
"XKR4",4,1,0,1,0,0,22,3,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,10,0,0,0,1,0
"TMEM68",39,2,5,0,2,1,5,27,0,1,0,0,0,31,12,11,3,9,34,2,1,1,45,0,103,1,14,1,4,5
"TGS1",55,5,11,1,1,0,12,57,2,3,0,1,1,56,30,21,10,16,110,5,2,2,41,0,119,3,31,4,18,7
"LYN",501,5,62,0,0,0,1,31,0,2,0,1,0,207,13,11,7,57,31,1,3,2,18,1,336,22,125,1,0,13
"RPS20",11718,942,1920,83,157,206,191,5867,52,519,64,82,75,21458,7540,2985,406,5736,29234,974,303,359,3475,50,50485,506,7291,543,1767,831
"PLAG1",7,1,1,0,0,0,0,12,0,0,0,0,0,30,5,0,0,2,16,1,0,0,3,0,42,1,7,0,2,2
"CHCHD7",301,15,56,3,2,0,7,101,1,13,2,2,1,255,114,51,8,59,323,16,9,9,83,1,1063,33,149,15,30,18
"RP11-140I16.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
"SDR16C5",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,6,0,3,0,0,7
"IMPAD1",97,3,14,0,0,0,3,70,0,0,0,1,0,28,14,11,13,5,27,1,0,3,19,1,194,2,6,1,2,11
"FAM110B",2,1,0,0,0,0,0,36,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0
"UBXN2B",58,2,5,0,0,0,1,13,0,4,0,0,1,28,11,5,0,10,29,1,3,0,23,1,112,7,16,4,1,3
"SDCBP",1265,42,118,7,4,3,15,350,3,25,4,1,13,240,220,113,35,96,739,20,26,13,278,4,670,57,77,14,53,146
"NSMAF",92,3,13,1,0,1,1,23,0,0,0,0,0,57,15,11,4,6,56,3,0,0,12,0,87,2,7,1,6,4
"TOX",7,8,0,0,2,4,4,27,0,3,0,1,1,21,9,17,5,4,39,0,2,3,20,0,36,0,50,1,26,0
"RP11-25K19.1",1,4,5,0,1,1,5,21,0,1,0,0,0,19,9,12,1,3,26,1,1,0,9,0,34,0,32,2,10,0
"CA8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,0,1,0,4,0,1,0
"RAB2A",391,11,66,7,3,3,30,397,1,12,1,7,5,261,133,70,47,60,319,11,8,6,463,9,1694,23,145,15,42,70
"RP11-91I20.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"CHD7",23,2,3,0,0,1,5,19,1,3,1,1,0,97,22,10,2,33,84,2,1,4,36,0,172,4,20,2,0,3
"AC022182.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0
"AC022182.3",20,2,1,0,0,0,0,2,0,1,1,1,0,17,15,6,1,6,29,0,1,1,2,0,33,1,15,1,1,0
"ASPH",49,0,5,0,0,0,21,88,0,0,0,0,1,15,11,2,8,10,19,0,0,1,112,1,147,0,9,0,1,9
"NKAIN3",1,1,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0
"RP11-659E9.2",5,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,3,0,0,0,1,0,17,1,1,0,0,0
