"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"KBTBD8",39,2,5,0,0,1,0,2,0,3,1,0,0,25,5,3,0,6,14,0,0,0,2,1,71,0,31,0,2,1
"SUCLG2",164,5,14,2,1,0,10,225,0,3,0,0,0,92,58,18,28,26,162,1,1,3,501,5,398,5,39,7,8,13
"FAM19A1",0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0
"EOGT",41,2,1,0,0,2,0,8,0,0,0,0,1,7,3,3,1,1,10,0,0,0,0,0,25,0,1,1,1,4
"TMF1",73,7,16,0,0,3,2,77,2,3,0,0,0,84,60,25,8,26,141,3,3,2,55,1,367,6,38,3,9,14
"UBA3",66,7,10,1,2,2,5,72,0,5,0,0,2,46,23,5,13,23,75,1,2,2,37,0,110,3,33,4,8,6
"ARL6IP5",641,54,110,11,7,11,43,383,1,25,2,7,2,590,391,162,37,133,873,28,17,23,170,6,715,47,85,7,103,35
"LMOD3",11,2,2,0,1,1,1,6,0,1,0,0,2,16,25,11,0,9,46,1,0,0,11,1,86,1,6,2,5,2
"FRMD4B",334,12,37,0,0,1,2,15,0,1,1,1,0,14,38,5,2,1,46,1,3,2,33,0,74,11,5,2,14,6
"MITF",129,0,2,0,0,0,0,72,0,1,0,0,5,2,2,0,5,1,4,0,1,0,1,1,32,1,0,1,0,2
"FOXP1",286,26,39,0,5,5,12,187,1,13,1,3,4,423,216,54,20,191,896,36,9,9,161,6,1008,12,161,19,88,42
