"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"SGCB",0,0,0,0,2,45,0,0,0,1,0,0,1,0,184,0,0,5
"SPATA18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"USP46",0,0,1,0,0,7,1,0,0,1,0,0,0,0,35,0,0,0
"USP46-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"RASL11B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"SCFD2",0,0,2,0,0,6,0,1,0,4,0,0,0,0,76,3,0,1
"FIP1L1",0,1,1,0,1,36,21,1,0,14,5,0,2,0,326,0,5,4
"LNX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0
"CHIC2",0,6,7,1,1,28,13,4,0,8,6,0,1,1,216,2,0,5
"PDGFRA",0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
"KIT",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"KDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"SRD5A3",1,0,7,0,2,6,2,0,0,2,1,0,0,1,232,0,0,9
"TMEM165",0,6,7,0,2,59,15,6,1,16,9,1,3,5,455,3,1,14
"CLOCK",0,0,0,0,0,3,2,0,0,0,0,0,0,0,67,0,0,1
"NMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"EXOC1",0,1,1,0,1,5,4,0,0,3,2,1,0,1,163,0,1,3
"CEP135",0,2,0,0,0,3,3,0,0,4,0,0,0,0,23,0,1,0
"KIAA1211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"AASDH",0,1,2,0,0,2,6,0,0,1,1,0,0,0,83,0,0,0
"PPAT",0,0,0,0,0,6,2,0,0,1,0,0,0,0,61,0,0,0
"PAICS",0,0,3,0,0,11,3,1,0,8,0,0,1,1,727,1,0,0
"SRP72",1,1,6,0,0,37,19,1,1,12,7,2,5,1,580,4,3,8
"HOPX",0,26,0,3,0,2,320,0,0,119,45,3,8,46,14,1,2,0
"SPINK2",0,0,0,0,0,0,5,0,0,14,1,0,2,0,98,3,0,0
"REST",0,0,2,0,0,20,10,0,0,21,4,3,1,2,182,1,1,1
"NOA1",0,1,2,0,0,9,7,0,2,1,2,3,0,0,404,0,0,0
"POLR2B",0,0,5,0,0,23,3,0,1,3,0,1,0,1,173,0,0,0
"IGFBP7",0,0,3,1,354,4353,0,2,0,10,1,3,2,1,138,2,1,1717
"RP11-16N2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"RP11-798L4.1",0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0
"CENPC",0,0,3,0,0,6,5,1,0,2,0,0,0,1,57,0,2,2
"STAP1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"UBA6",0,3,0,0,0,2,3,0,0,2,3,0,2,0,64,0,0,0
"UBA6-AS1",0,0,1,0,2,1,2,0,0,3,0,0,0,0,26,0,0,0
"YTHDC1",0,0,1,0,0,10,6,1,0,12,0,3,0,5,285,0,2,9
"UGT2B17",0,1,0,0,0,0,2,0,0,0,2,0,0,0,5368,0,0,0
"UGT2B15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0
"UGT2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0
"UGT2B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
"SULT1B1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,212,0,0,0
"ENAM",0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,1,2
"UTP3",1,0,3,0,2,11,12,0,2,6,2,0,0,0,182,1,0,7
"RUFY3",0,0,0,0,1,3,0,1,0,1,0,0,0,0,50,0,0,1
"GRSF1",3,2,13,2,2,31,9,2,0,10,2,2,0,2,865,2,3,8
"MOB1B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0
"DCK",1,3,10,3,1,3,28,3,2,22,8,5,1,1,207,0,0,11
"SLC4A4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,375,0,0,0
"COX18",0,0,0,0,0,1,1,0,0,2,0,1,0,0,61,0,0,0
"ANKRD17",0,0,0,0,0,2,3,0,0,2,0,2,0,0,235,0,0,5
"RASSF6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,201,0,0,0
"CXCL1",0,0,0,0,0,21,0,0,0,0,0,0,0,0,27,0,0,0
"PF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"CXCL3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,156,0,0,0
"CXCL2",0,0,6,0,0,1,0,1,0,0,0,0,0,0,59,0,0,7
"MTHFD2L",0,1,0,0,0,1,3,3,0,1,0,0,3,0,227,0,0,4
"EREG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1
"AREG",0,1,8,0,0,0,35,9,0,13,8,0,8,10,20,0,2,0
"BTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"PARM1",0,0,3,0,0,4,0,0,0,0,0,0,0,0,549,2,0,0
"RP11-44F21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0
"RCHY1",0,3,2,0,2,15,4,0,1,10,3,0,4,1,313,0,1,1
"THAP6",0,0,0,0,0,3,3,0,0,2,0,0,0,1,57,0,0,0
"G3BP2",0,2,1,0,0,7,12,0,0,37,2,1,1,1,173,0,3,9
"USO1",0,0,4,0,0,10,4,0,0,9,2,0,0,1,218,3,1,5
"NAAA",0,5,21,1,2,30,12,2,0,15,6,1,0,4,862,0,1,4
"SDAD1",0,0,5,0,3,9,9,0,2,2,1,2,0,0,223,0,0,2
"NUP54",0,2,1,1,0,8,10,1,0,10,0,2,0,3,219,0,0,1
"SCARB2",0,0,1,0,1,47,0,0,0,6,0,0,0,0,284,1,0,5
"FAM47E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"FAM47E-STBD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"SHROOM3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,336,0,0,0
"SEPT11",0,1,0,0,0,40,9,1,0,5,4,0,2,1,455,0,0,0
"CCNI",4,10,27,1,2,237,69,17,6,100,22,15,7,19,1916,3,9,11
"CCNG2",0,0,2,0,0,15,1,3,0,0,1,0,0,0,72,0,0,0
"CNOT6L",1,1,0,0,0,2,5,0,1,3,2,0,1,3,55,1,0,3
"MRPL1",0,1,3,1,0,10,9,1,0,9,1,0,0,1,518,0,0,7
"ANXA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0
"RP11-109G23.3",0,0,10,0,1,2,0,5,2,1,0,0,0,0,25,0,0,0
"BMP2K",0,0,1,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0
"PAQR3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0
"LINC01088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"ANTXR2",0,1,2,0,0,19,0,1,0,3,0,1,0,0,66,0,1,0
"BMP3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,119,0,0,0
"PRKG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"RASGEF1B",0,0,2,0,0,0,3,3,0,6,0,0,0,0,14,0,0,0
"HNRNPD",1,0,4,2,1,27,22,2,0,13,5,2,4,4,962,3,1,12
"RP11-127B20.3",0,1,0,1,0,9,5,0,0,5,0,0,0,1,36,0,1,0
"HNRNPDL",1,14,21,1,10,116,66,10,4,106,16,13,5,9,1391,9,4,27
"ENOPH1",0,1,4,1,4,9,14,0,1,8,7,0,2,3,290,0,0,4
"TMEM150C",0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,0,0,10
"SCD5",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"SEC31A",0,1,1,0,0,27,1,1,0,5,1,0,0,0,198,2,0,5
"THAP9-AS1",0,0,3,2,0,6,12,4,0,13,2,1,0,2,286,2,2,6
"THAP9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0
"LIN54",0,0,0,0,0,0,1,1,0,2,0,0,0,0,29,1,0,0
"COPS4",0,2,2,0,0,28,12,2,1,9,1,1,4,2,398,1,0,6
"PLAC8",0,5,13,0,0,1,13,0,5,32,2,3,10,5,6453,0,0,0
"COQ2",2,0,3,0,0,11,2,1,0,4,0,0,0,0,439,0,0,2
"HPSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
"HELQ",0,1,2,0,0,7,6,2,0,3,1,2,0,2,81,0,0,2
"MRPS18C",0,4,2,1,0,30,23,4,0,22,3,2,4,2,1446,2,2,14
"FAM175A",0,0,0,0,1,7,2,0,0,2,0,0,0,0,88,0,0,3
"CDS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
"WDFY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"ARHGAP24",0,0,0,0,3,21,0,0,3,0,0,0,0,0,29,0,0,2
"C4orf36",0,0,0,0,0,3,1,0,0,1,0,0,0,0,106,0,0,0
"AFF1",0,0,2,1,0,3,1,0,0,0,2,0,0,0,80,0,0,0
"KLHL8",0,0,0,0,0,0,1,0,0,1,0,0,0,2,96,0,0,0
"HSD17B13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"HSD17B11",2,3,20,1,4,78,38,11,1,36,12,3,6,1,3333,1,2,33
"NUDT9",0,0,1,0,0,23,2,1,2,6,2,0,0,0,431,2,1,2
"SPARCL1",0,0,1,0,39,160,0,0,0,1,1,0,0,0,0,0,0,314
"SPP1",0,0,0,0,107,0,0,0,0,0,1,0,0,0,0,0,2,0
"PKD2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0
"ABCG2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,251,0,0,4
"PPM1K",0,0,1,1,1,4,8,0,1,18,5,1,0,2,18,1,1,0
"HERC6",0,0,1,0,0,2,1,0,0,3,1,0,0,0,36,0,0,1
"HERC5",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"PYURF",0,8,25,1,3,73,38,8,0,33,12,3,4,6,1432,1,1,21
"HERC3",0,0,1,0,0,0,1,0,0,3,0,0,1,0,31,0,0,0
"NAP1L5",0,0,0,0,0,2,1,0,0,1,0,0,0,0,5,0,0,2
"FAM13A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"FAM13A",0,0,0,0,1,9,1,0,0,1,1,0,0,0,159,0,0,0
"TIGD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"GPRIN3",0,0,2,1,0,1,2,0,0,6,1,0,1,1,89,0,0,0
"SNCA",2,0,3,0,5,0,0,0,0,2,0,0,1,1,0,0,0,1
"CCSER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"SMARCAD1",0,0,0,0,0,0,1,0,0,1,0,0,1,0,24,0,0,0
"HPGDS",0,0,0,0,0,0,0,49,0,1,0,0,0,0,40,1,0,0
"PDLIM5",0,0,2,1,0,6,5,0,0,3,5,1,0,0,392,1,0,6
"UNC5C",0,0,0,0,0,9,0,0,0,1,0,0,0,0,19,0,0,0
"RP11-145G20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"RAP1GDS1",0,0,3,0,0,7,3,2,1,2,0,0,3,1,122,0,0,2
"TSPAN5",0,0,0,0,2,3,7,0,0,11,0,0,0,1,35,0,3,1
"EIF4E",0,3,5,1,3,28,21,3,5,17,5,4,4,3,758,3,0,11
"METAP1",0,0,0,0,0,2,1,1,0,10,2,0,0,1,278,1,0,1
"ADH5",0,2,7,2,2,127,41,5,2,34,7,1,6,4,2597,2,3,10
"RP11-696N14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
"ADH1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
"ADH1B",0,0,0,0,0,315,0,0,0,1,0,0,0,0,191,0,0,0
"TRMT10A",0,0,0,0,0,2,0,0,0,0,0,0,0,0,71,0,0,0
"DAPP1",0,0,7,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0
"LAMTOR3",0,2,3,0,1,11,7,1,1,7,2,2,0,0,386,0,1,0
"DNAJB14",0,1,3,2,1,11,8,1,0,11,2,1,0,1,108,0,0,2
"H2AFZ",9,11,56,10,14,148,102,19,9,153,19,21,11,27,7655,29,15,41
"EMCN",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32
"PPP3CA",0,0,1,0,0,4,6,0,0,1,0,0,0,0,41,0,0,0
"BANK1",0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"SLC39A8",0,1,0,0,0,1,2,0,0,8,1,0,0,0,357,0,0,0
"RP11-499E18.1",0,0,0,0,0,4,2,0,0,0,0,0,0,0,44,0,0,0
"NFKB1",0,1,2,0,0,3,2,0,0,2,1,0,1,0,197,0,1,0
"MANBA",0,0,4,0,0,13,8,2,2,2,1,0,0,1,100,0,0,0
"UBE2D3",2,13,49,8,14,109,110,7,8,144,34,13,8,24,2172,5,11,34
"RP11-10L12.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
"CISD2",1,4,4,0,0,27,16,4,0,22,4,4,1,0,770,2,1,11
"SLC9B2",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
"BDH2",0,0,0,0,1,60,8,1,0,6,0,0,2,0,697,0,0,13
"CENPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
"CXXC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"AC004069.2",0,1,0,0,1,1,1,0,0,2,1,1,0,0,54,0,1,0
"TET2",0,0,2,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0
"PPA2",0,2,16,4,0,50,18,1,0,10,2,0,3,2,1776,4,1,4
"ARHGEF38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"INTS12",0,0,2,1,3,14,5,3,0,3,0,0,1,0,150,1,0,2
"GSTCD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0
"NPNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
"TBCK",0,0,0,1,0,0,2,0,0,2,0,0,0,0,46,0,0,0
"AIMP1",3,1,11,0,1,24,14,2,1,8,2,2,0,1,882,1,2,5
"PAPSS1",0,3,6,0,2,16,6,1,0,2,0,0,1,1,145,0,0,3
"SGMS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
"RP11-286E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
"CYP2U1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"RP11-286E11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"HADH",1,0,0,0,0,9,3,2,0,5,2,1,0,1,2438,0,0,2
"LEF1",0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,1,3
"RPL34",29,129,437,51,24,1526,821,165,107,1452,270,119,100,148,44421,78,75,314
"OSTC",0,2,11,0,0,83,40,5,0,38,11,3,5,6,1532,8,2,16
"SEC24B-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0
"SEC24B",0,1,0,0,0,3,0,0,0,2,0,0,0,0,57,0,0,0
"CCDC109B",0,4,7,0,0,19,8,0,0,39,4,2,2,6,87,0,1,2
"CASP6",0,0,0,0,1,6,1,5,1,6,0,1,1,0,1260,0,0,7
"PLA2G12A",0,1,1,0,0,22,2,2,0,15,0,4,1,0,794,0,2,4
"CFI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,13
"GAR1",0,3,4,0,1,12,6,0,0,4,2,3,0,2,587,0,0,2
"ELOVL6",0,0,0,0,0,1,1,0,0,1,0,1,0,0,133,0,1,0
"ENPEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"PITX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0
"C4orf32",0,0,0,1,0,1,0,0,0,6,0,0,0,0,25,0,0,3
"AP1AR",0,1,0,0,0,0,1,0,0,0,1,0,0,0,52,0,0,0
"TIFA",0,1,2,0,0,6,3,0,0,15,1,0,1,0,78,4,1,3
"ALPK1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,1
"LARP7",2,3,2,0,1,33,11,4,0,19,4,1,1,0,471,1,0,13
"CAMK2D",0,0,1,0,0,4,1,0,0,0,0,2,0,2,187,0,0,0
"UGT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0
"MTRNR2L13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"SNHG8",1,9,20,2,1,77,29,15,3,98,16,9,7,15,2210,6,11,12
"PRSS12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0
"METTL14",0,0,1,0,0,3,2,0,0,0,0,0,0,0,89,0,0,0
"SEC24D",0,3,2,0,0,5,2,0,0,6,0,0,0,0,32,1,0,4
"SYNPO2",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"USP53",0,0,1,0,1,1,2,1,0,7,1,0,1,0,156,1,0,0
"C4orf3",3,2,23,2,3,187,68,4,1,65,26,5,5,12,1161,13,7,37
"FABP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0
"PDE5A",0,0,0,0,0,9,0,0,0,0,0,0,0,0,46,0,0,1
"MAD2L1",0,0,0,0,0,1,2,0,0,4,0,0,0,1,408,0,0,0
"PRDM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"ANXA5",4,6,67,6,13,274,53,3,0,50,15,2,1,8,684,2,3,50
"EXOSC9",0,1,4,0,0,11,8,0,0,7,4,0,0,2,194,0,1,0
"CCNA2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,161,0,0,0
"BBS7",0,1,1,0,0,3,3,0,0,0,3,1,0,0,119,0,1,6
"KIAA1109",0,0,0,0,0,4,0,0,0,1,0,1,0,0,68,0,0,0
"BBS12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"NUDT6",0,0,0,0,0,6,1,0,0,0,0,0,0,0,226,0,0,0
"SPATA5",0,0,0,0,0,3,0,0,0,0,1,0,0,1,35,0,0,2
"SPRY1",0,2,0,0,0,75,47,0,0,13,3,0,0,2,79,0,1,3
"ANKRD50",0,0,1,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0
"INTU",0,0,1,0,0,4,0,0,0,0,0,0,0,0,28,0,0,0
"HSPA4L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"PLK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"MFSD8",0,0,0,0,0,5,1,0,1,2,3,0,0,0,68,0,3,0
"LARP1B",0,2,0,0,0,3,1,2,0,2,0,0,0,0,187,0,0,1
"PGRMC2",0,0,2,0,1,18,6,0,0,9,0,1,0,0,600,2,3,2
"SCLT1",0,0,1,0,0,7,2,0,1,0,0,0,0,0,66,0,0,1
"C4orf33",1,0,2,0,0,3,4,7,0,2,1,0,0,0,162,1,3,0
"PCDH18",0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0
"SLC7A11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ELF2",0,2,0,0,1,18,5,2,0,9,1,0,0,0,140,0,0,6
"NDUFC1",1,0,3,0,9,63,13,6,1,17,7,2,1,3,4014,1,4,30
"NAA15",0,0,4,0,0,5,6,1,0,8,1,0,1,0,139,0,0,1
"RP11-83A24.2",0,0,0,0,0,4,1,1,0,3,4,1,0,1,126,0,0,1
"RAB33B",0,0,0,0,0,1,2,0,0,0,0,0,0,0,13,0,0,0
"SETD7",0,0,0,0,1,6,0,0,0,2,0,0,0,0,50,0,0,1
"MGST2",2,0,18,0,0,1,7,2,0,3,0,0,0,1,1294,0,0,13
"MAML3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
"SCOC",0,0,1,0,3,19,4,2,0,8,4,0,0,0,347,1,0,4
"CLGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ELMOD2",0,0,3,0,1,3,6,0,0,7,1,0,1,1,97,0,0,4
"TBC1D9",0,0,1,0,0,7,0,0,0,0,0,0,0,0,25,0,0,0
"RP11-102N12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"ZNF330",1,2,8,0,0,24,8,1,0,11,6,0,0,0,351,1,1,2
"IL15",0,1,0,0,0,2,3,0,0,0,0,0,0,0,36,0,1,2
"INPP4B",0,0,0,0,0,2,1,0,0,3,0,3,0,0,29,1,0,0
"USP38",0,0,0,0,0,0,1,0,0,2,0,0,0,0,59,0,0,0
"GAB1",0,0,0,0,2,1,0,1,0,0,0,0,0,0,69,0,0,2
"SMARCA5",0,1,7,0,0,16,3,0,0,10,0,0,2,1,182,0,0,3
"HHIP-AS1",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"HHIP",0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0
"ANAPC10",0,1,1,1,0,9,0,1,0,10,2,0,1,0,118,0,1,3
"ABCE1",0,0,0,0,2,10,8,0,0,6,1,0,1,5,169,0,0,1
"OTUD4",0,0,1,0,0,3,0,0,0,2,0,0,0,0,52,0,1,3
"SMAD1",0,0,0,0,0,2,0,0,0,1,0,0,0,0,80,0,0,6
"MMAA",0,0,0,0,0,0,2,0,0,0,0,0,0,0,78,0,0,0
"ZNF827",0,0,0,0,0,0,1,0,0,0,0,0,0,0,117,0,0,0
"LSM6",1,1,14,1,1,54,27,1,1,26,3,3,1,5,752,1,0,17
"SLC10A7",0,0,0,0,0,0,2,1,0,2,0,0,0,0,24,0,0,1
"TMEM184C",0,0,2,1,1,2,3,0,0,2,0,0,0,0,75,1,0,1
"NR3C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0
"DCLK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
"LRBA",0,0,0,0,0,8,5,1,0,0,3,2,0,1,180,0,1,0
"MAB21L2",0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
"RPS3A",26,115,538,43,14,1599,1189,123,93,1385,298,172,116,197,51587,49,77,245
"SH3D19",0,0,0,1,2,6,0,0,0,0,0,0,0,0,247,0,0,1
"FAM160A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"RP11-164P12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"RP11-164P12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"RP11-18H21.1",0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"FBXW7",0,1,0,0,0,2,3,0,0,2,2,0,0,0,50,0,0,0
"TMEM154",0,0,1,0,0,0,8,1,0,4,0,1,0,2,21,2,2,0
"ARFIP1",1,0,1,0,0,9,7,1,3,6,1,0,0,0,281,1,1,2
"FHDC1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,108,0,0,0
"TRIM2",0,0,0,0,2,3,0,0,0,0,0,0,0,0,446,0,0,0
"MND1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0
"KIAA0922",0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0
"PLRG1",17,3,4,0,0,27,13,0,0,10,3,4,1,2,352,0,2,3
"MAP9",0,0,1,0,0,4,5,0,0,1,1,0,0,0,2,0,0,0
"CTSO",0,0,3,0,0,27,4,0,0,2,0,0,0,1,37,0,0,4
"FAM198B",0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,3
"TMEM144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
"C4orf46",1,0,0,0,0,2,4,2,0,2,1,0,0,0,39,0,0,0
"ETFDH",0,0,1,0,0,3,3,0,0,11,1,1,0,3,278,1,0,2
"PPID",0,0,4,0,0,14,10,0,0,7,6,0,0,3,358,1,1,6
"FNIP2",0,0,6,0,0,1,1,0,0,2,0,0,0,0,135,0,0,9
"RAPGEF2",0,0,0,0,0,1,0,0,0,0,0,0,1,0,26,0,0,3
"NAF1",0,2,11,0,0,7,0,0,0,7,1,0,1,1,108,0,0,0
"NPY1R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"TMA16",0,0,10,0,0,14,12,0,1,6,3,1,2,1,381,1,3,1
"FAM218A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"TMEM192",0,0,0,0,0,3,5,1,0,6,1,0,0,1,157,1,0,2
"KLHL2",0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,0,0,1
"MSMO1",0,2,0,0,0,5,8,1,0,7,0,1,1,1,312,0,0,4
"CPE",0,0,0,0,0,34,0,0,0,0,0,0,0,0,27,0,0,78
"DDX60",0,0,0,0,0,0,4,0,0,0,0,0,0,0,70,0,0,0
"DDX60L",0,0,0,0,1,4,4,0,0,1,1,0,0,0,46,0,0,1
"PALLD",0,0,3,0,1,42,0,3,0,0,0,0,0,0,74,0,0,3
"CBR4",0,1,0,0,0,7,4,0,0,0,4,1,1,1,277,0,0,2
"SH3RF1",0,0,0,0,0,4,0,0,0,0,0,0,0,0,179,0,0,2
"NEK1",0,0,2,1,0,2,2,0,0,3,0,0,1,0,48,0,0,0
"CLCN3",0,0,1,0,1,7,1,1,0,0,0,1,0,0,183,0,0,0
"C4orf27",0,2,4,0,1,20,6,0,0,5,1,0,0,2,297,0,3,7
"AADAT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0
"GALNT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0
"HMGB2",0,13,16,1,4,44,39,5,1,57,23,5,21,9,3985,4,3,32
"RP11-798M19.6",0,0,0,0,3,4,1,0,0,0,0,0,0,0,9,1,0,5
"SAP30",0,1,0,0,0,1,1,0,0,0,0,0,0,0,79,0,0,2
"FBXO8",0,0,2,2,1,13,1,3,0,6,1,0,0,1,168,0,1,6
"CEP44",0,0,0,0,0,1,1,0,0,3,0,1,0,0,47,0,1,0
"HPGD",0,0,0,0,0,1,2,12,0,1,0,1,0,0,1008,0,0,0
"RP11-440I14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"GLRA3",0,0,0,0,0,5,1,0,0,3,0,0,0,0,22,0,0,2
"GPM6A",1,1,5,0,0,11,5,0,0,2,0,0,0,1,324,1,0,3
"SPCS3",1,0,12,0,1,15,16,3,1,16,5,2,2,3,392,2,0,6
"AGA",0,1,3,0,0,25,11,1,0,15,5,0,0,3,327,2,0,2
"DCTD",0,0,3,1,2,19,18,2,1,17,2,0,2,2,321,4,0,8
"WWC2",0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0
"CDKN2AIP",0,0,0,0,3,1,6,2,0,7,0,2,0,2,145,0,1,2
"RP11-367N14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"ING2",2,2,3,5,2,12,7,1,0,12,5,0,0,0,299,1,3,1
