"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"ZNF582",0,0,1,0,0,2,0,0,0,1,3,0,0,0,10,0,0,0
"ZNF582-AS1",0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,4
"ZNF583",0,1,0,0,2,11,2,0,1,3,1,0,0,0,24,0,1,3
"ZNF667-AS1",0,0,0,0,0,23,0,0,0,0,0,0,0,0,17,0,0,9
"ZNF471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"AC007228.11",0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0
"ZNF470",0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0
"ZNF71",0,0,0,0,0,2,4,1,0,1,1,0,0,0,34,0,0,0
"AC007228.9",0,0,0,0,0,6,0,0,0,4,0,0,1,0,48,0,0,0
"ZNF264",0,2,0,0,0,1,2,0,0,3,1,0,0,0,23,0,1,0
"ZNF805",0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0
"CTC-444N24.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"ZNF460",0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"CTC-444N24.11",0,0,0,0,0,8,0,0,0,2,0,0,0,0,71,0,0,2
"ZNF304",0,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1
"ZNF547",0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0
"TRAPPC2P1",0,1,8,0,0,16,9,1,0,21,2,2,1,1,139,1,1,6
"ZNF548",0,0,0,1,0,1,1,0,1,2,1,0,0,1,11,0,0,1
"ZNF17",0,0,0,0,3,0,1,0,0,2,1,0,0,0,21,0,0,0
"ZNF419",0,0,0,0,0,0,1,0,0,2,1,0,0,0,15,0,0,2
"ZNF773",0,0,0,0,0,1,1,1,0,3,0,0,0,0,11,0,0,0
"ZNF549",0,2,0,1,0,0,0,0,0,1,2,0,3,0,14,0,0,0
"ZNF550",0,0,0,0,0,1,1,0,0,0,0,1,0,1,21,0,0,1
