"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"MFN1",35,1,8,0,0,0,0,44,0,0,1,1,2,1,9,3,2,0,0,0,1,128,36,0,0,1,1,3
"GNB4",123,0,24,0,0,0,0,90,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,18,0,0,1,14
"AC007620.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"ACTL6A",55,3,30,2,0,1,5,123,3,4,1,0,1,5,36,18,3,9,0,5,0,397,76,5,2,4,8,24
"MRPL47",171,6,61,3,1,0,5,159,12,10,6,8,4,7,105,49,10,20,1,18,2,648,186,14,6,5,17,37
"NDUFB5",682,6,248,1,1,4,12,549,8,13,5,18,4,22,188,60,17,42,0,13,9,1427,576,56,10,5,25,89
"USP13",15,0,7,0,0,0,1,22,0,3,0,0,0,0,7,1,1,2,0,0,0,17,3,2,0,0,0,2
"TTC14",67,4,30,2,0,1,3,180,6,6,4,3,1,10,66,34,10,15,0,5,7,156,126,3,1,0,7,24
"FXR1",163,1,53,2,0,0,6,196,2,7,1,4,3,10,69,23,2,17,0,9,0,202,152,15,2,3,11,40
"DNAJC19",243,3,66,3,3,4,2,252,13,7,4,4,3,14,166,56,9,32,2,11,7,752,336,14,5,4,18,55
"ATP11B",44,3,7,0,1,2,0,32,3,2,1,2,1,6,37,13,0,3,0,3,1,156,54,2,0,0,2,4
"DCUN1D1",126,2,33,2,0,0,1,55,4,7,2,3,2,3,38,16,5,4,0,3,0,180,46,9,2,0,0,9
"MCCC1",28,1,21,1,0,0,1,29,1,0,1,0,0,2,4,2,1,3,0,2,1,129,27,1,1,0,1,5
"LAMP3",4,0,9,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,11,61,1,1,1,0
"MCF2L2",2,0,0,0,0,0,0,2,1,0,1,2,0,0,6,0,0,1,0,0,0,3,1,0,0,0,2,0
"B3GNT5",80,0,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,206,1,3,0,0,0,9
"KLHL6",31,0,12,0,1,0,0,10,3,1,0,3,2,4,18,6,1,6,0,2,1,18,124,5,0,0,1,2
"KLHL24",58,2,16,0,1,0,2,64,3,3,0,0,0,4,31,12,5,5,1,1,1,157,50,6,0,1,4,6
"YEATS2",48,0,8,0,0,0,0,14,1,0,0,0,1,0,7,4,0,1,0,0,0,25,10,1,0,0,0,2
"PARL",269,3,101,2,1,1,4,110,6,2,0,5,3,7,49,21,6,6,2,5,1,382,177,16,1,2,7,24
"ABCC5",255,0,8,0,0,0,1,32,0,1,0,0,0,2,11,3,0,2,0,1,0,62,10,2,0,1,0,3
"HTR3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HTR3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"EIF2B5",47,0,19,0,0,2,0,81,3,5,0,2,4,3,27,4,1,1,1,3,1,255,59,8,0,1,4,15
"DVL3",53,0,16,0,1,0,3,61,1,0,0,0,1,0,5,5,1,1,0,2,0,99,57,4,1,0,1,2
"AP2M1",741,6,244,4,1,4,26,848,13,13,4,13,7,19,194,91,36,33,1,25,5,985,381,38,6,9,28,105
"ABCF3",16,1,12,0,1,0,1,40,0,1,0,3,1,0,31,8,1,2,0,3,1,93,55,2,0,0,5,4
"ALG3",102,3,31,2,0,0,2,127,1,4,0,2,0,6,41,13,1,9,0,3,1,393,227,7,4,2,5,12
"ECE2",41,0,12,2,0,1,0,17,1,0,0,0,0,0,3,3,0,1,0,1,0,156,47,3,1,0,0,0
"PSMD2",160,5,70,6,0,0,10,232,9,7,0,4,6,10,102,30,9,13,1,13,7,459,201,18,4,8,9,39
"EIF4G1",133,1,53,0,0,0,2,90,7,4,0,3,1,4,45,17,2,2,0,3,1,454,137,15,3,2,2,21
"FAM131A",24,0,9,0,0,0,1,27,0,1,1,0,1,2,9,2,0,1,0,1,0,45,23,7,1,0,1,11
"CLCN2",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,2
"POLR2H",122,3,51,3,1,0,7,144,6,5,0,6,0,8,73,32,11,12,1,6,4,586,203,13,7,6,10,34
"CHRD",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF2B5-AS1",0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,27,3,0,0,0,0,0
"EPHB3",7,0,3,0,0,0,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,211,0,1,0,0,0,0
"MAGEF1",16,0,11,0,0,0,4,121,0,0,0,2,0,3,8,1,4,2,0,1,0,252,145,0,1,0,0,8
"VPS8",76,0,14,2,0,0,1,26,2,2,0,0,1,2,16,4,3,5,0,3,1,106,14,2,1,0,2,6
"C3orf70",0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,0,0,0,0,54,17,0,0,0,0,4
"EHHADH",6,0,4,0,0,0,1,8,0,0,1,0,0,1,0,0,0,0,0,0,0,125,8,0,0,0,0,2
"MAP3K13",313,2,72,3,0,0,5,173,8,4,1,6,1,8,67,23,9,18,0,10,3,715,194,23,2,2,4,65
"TMEM41A",28,1,20,0,0,0,1,54,1,1,1,0,0,1,30,11,1,7,0,2,0,113,43,4,2,2,2,14
"LIPH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,243,1,0,0,0,0,0
"SENP2",26,2,10,0,0,0,2,33,1,0,0,2,1,6,22,6,1,8,0,3,0,83,70,3,2,1,3,11
"IGF2BP2",0,0,5,0,0,0,0,35,0,0,0,2,0,0,0,1,1,0,0,0,0,182,0,2,0,0,0,6
"TRA2B",519,15,305,7,5,5,16,475,21,27,6,34,32,46,282,97,12,51,5,27,10,716,637,78,18,17,28,133
"ETV5",413,0,39,0,0,0,2,39,0,1,0,0,0,2,4,1,0,0,0,1,1,2,27,7,0,0,0,2
"DGKG",9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"CRYGS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
