"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"LRP1",184,0,30,0,0,0,5,608,0,0,0,1,0,0,2,0,5,0,0,0,0,149,8,7,0,0,0,5
"NXPH4",0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,3,0,0,5,0,0,0,0,0
"SHMT2",100,3,31,0,0,2,2,91,6,3,5,3,2,7,32,7,3,3,0,3,0,222,442,8,3,1,8,14
"NDUFA4L2",1,0,0,0,0,0,1,343,0,0,0,0,0,1,0,0,0,0,0,0,0,2,35,0,0,0,0,5
"STAC3",114,0,25,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,5,2,4,0,0,0,0
"R3HDM2",66,2,14,0,0,1,2,48,2,0,0,3,2,2,35,6,3,11,0,2,0,154,32,2,0,0,3,11
"RP11-756H6.1",1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,1,0,3,4,1,0,0,0,0
"GLI1",0,0,0,0,0,0,0,75,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,1
"ARHGAP9",139,11,70,3,1,2,0,5,24,8,8,11,1,14,110,49,0,14,0,25,5,3,63,6,5,7,10,0
"MARS",58,3,25,2,0,0,1,35,3,2,0,2,1,6,32,11,3,9,0,4,1,86,216,3,1,0,5,9
"DDIT3",196,6,174,3,4,0,8,224,5,10,4,8,22,22,115,40,4,18,1,18,4,120,582,29,3,3,12,34
"MBD6",45,0,10,1,1,0,1,44,1,2,0,1,0,2,8,4,1,3,0,3,0,104,35,4,0,0,0,3
"DCTN2",132,5,64,1,2,0,14,336,12,3,1,7,2,11,87,38,9,19,0,7,0,606,284,22,5,3,11,49
"PIP4K2C",27,0,3,0,0,0,0,15,2,0,0,0,0,1,20,7,1,1,0,2,0,73,18,1,0,0,2,5
"DTX3",4,1,1,0,0,0,3,80,3,1,0,2,0,1,20,9,7,4,0,0,1,1,33,1,0,0,3,2
"ARHGEF25",0,0,0,0,0,0,3,53,0,0,0,1,0,0,0,0,10,0,0,1,0,0,4,0,0,0,0,0
"B4GALNT1",0,0,0,0,0,0,7,13,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"OS9",303,4,109,0,1,1,13,594,2,9,1,6,2,8,80,26,15,15,0,4,1,558,653,31,2,4,5,70
"AGAP2",2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,4,0,2,0,0,0,0,6,0,0,0,1,0
"AGAP2-AS1",1,0,0,0,0,0,1,77,0,0,0,0,0,0,0,0,4,0,0,0,0,8,7,0,0,0,0,13
"TSPAN31",94,1,24,0,0,1,7,162,3,4,2,5,1,6,38,15,3,6,0,4,3,91,119,2,0,0,5,21
"CDK4",265,1,61,2,2,2,8,368,3,2,1,6,6,4,62,25,14,17,0,7,0,510,276,7,3,7,6,39
"MARCH9",16,3,3,0,0,0,1,31,0,2,1,1,0,6,16,3,2,5,2,3,1,44,36,0,1,0,1,2
"CYP27B1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,8,12,1,0,0,0,0
"METTL1",23,0,12,0,0,0,0,15,0,2,0,1,0,0,17,2,0,7,0,0,0,86,52,7,1,0,2,2
"METTL21B",10,0,4,0,0,0,0,31,0,1,0,1,2,0,3,1,4,1,0,0,0,18,31,1,0,0,0,1
"TSFM",48,3,26,0,0,1,3,90,6,2,1,4,2,3,31,12,2,5,0,1,0,450,97,6,4,0,2,25
"AVIL",6,0,2,0,0,0,0,26,0,0,1,0,0,0,2,1,0,0,0,1,0,72,10,3,0,0,1,0
"RP11-571M6.17",0,0,0,0,0,0,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"CTDSP2",139,1,70,0,0,0,9,266,6,3,2,4,1,5,61,22,7,13,1,4,0,269,97,13,1,1,4,34
"RP11-620J15.3",34,3,11,2,0,0,2,73,3,0,0,1,6,4,15,10,0,4,0,5,1,9,146,0,2,1,4,10
"XRCC6BP1",50,1,11,0,0,2,0,14,0,2,0,1,0,0,13,11,0,4,0,0,1,222,60,2,1,1,2,3
"LRIG3",0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,0,0,0,0,4
"SLC16A7",12,0,4,2,0,0,0,6,0,0,0,1,0,0,10,7,1,6,0,2,1,14,15,0,1,0,1,1
"FAM19A2",7,0,7,0,0,0,0,42,0,0,1,0,1,1,6,0,0,0,0,1,0,13,13,0,0,0,2,1
"USP15",155,5,55,1,1,0,1,77,3,16,6,5,4,13,125,51,3,33,1,10,5,158,92,18,1,1,10,9
"MON2",29,0,5,0,1,0,3,37,0,0,0,2,0,3,8,8,3,2,0,2,1,97,45,2,0,0,1,5
"RP11-631N16.2",1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,1
"PPM1H",7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1
"DPY19L2",0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"TMEM5",69,1,24,0,0,0,3,108,1,2,0,2,0,5,29,13,4,1,0,2,0,149,134,3,1,1,1,14
"SRGAP1",41,0,13,0,0,0,1,69,0,0,0,1,0,0,1,0,2,0,0,0,0,104,3,4,0,0,1,6
"C12orf66",10,0,3,0,0,1,0,3,0,0,0,0,2,3,6,1,0,0,0,0,0,25,12,1,0,0,0,1
"C12orf56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"XPOT",76,1,11,0,0,0,3,47,0,2,3,2,2,1,21,10,0,2,0,1,0,92,76,3,1,0,1,10
"TBK1",56,3,19,1,0,1,0,36,3,3,0,0,3,6,22,11,1,3,0,3,1,83,50,8,2,1,5,21
"RASSF3",156,1,44,0,1,2,0,13,3,3,0,1,3,7,32,14,1,7,1,4,1,258,35,17,2,0,4,20
"GNS",556,0,53,0,0,0,0,99,1,0,1,0,2,2,12,4,0,2,0,1,0,98,33,15,1,0,2,22
"TBC1D30",13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,0,0,0,1
"LEMD3",25,0,5,0,0,0,0,31,1,3,0,0,1,1,12,6,2,4,0,0,1,79,15,1,0,0,1,6
"MSRB3",2,0,3,0,0,0,1,88,0,1,0,0,1,0,9,4,11,1,0,0,0,4,6,0,0,0,1,13
"HMGA2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,81,1,0,0,0,0,0
"LLPH",122,3,44,2,0,1,2,113,3,7,2,9,2,3,83,27,2,17,1,5,2,211,156,14,4,6,11,22
"TMBIM4",641,9,195,5,1,2,26,823,26,21,8,19,10,25,247,94,11,42,4,24,14,1660,777,51,5,4,29,136
"IRAK3",49,0,20,0,0,0,1,44,0,0,0,0,1,0,1,0,1,0,0,1,0,3,2,8,0,0,1,15
"HELB",3,2,0,0,2,0,1,9,0,3,1,0,0,0,26,5,0,3,0,3,0,8,8,1,0,0,1,1
"GRIP1",15,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0
"CAND1",118,5,37,4,1,3,4,101,9,2,3,1,1,8,80,38,2,20,0,11,5,311,115,4,2,3,11,18
"DYRK2",45,2,12,0,1,1,3,48,1,4,0,4,0,1,26,6,3,4,0,1,1,283,10,1,1,0,2,3
"IFNG-AS1",0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,24,0,0,0,0,0
"IFNG",2,25,0,16,80,7,0,0,45,6,5,1,1,0,152,167,0,4,0,227,3,0,3,0,41,30,0,0
"IL26",0,0,0,0,0,0,0,0,0,4,0,3,0,0,24,1,0,2,0,0,0,0,0,0,1,0,1,0
"IL22",1,0,1,0,0,0,0,0,0,67,49,2,0,0,148,2,0,0,0,0,0,0,0,0,0,0,1,0
"MDM1",21,1,2,0,1,1,1,27,2,0,1,3,0,2,20,2,3,2,0,3,1,28,20,2,0,1,3,11
"RP11-81H14.2",6,1,0,0,0,0,1,18,1,3,1,5,0,0,13,0,0,0,0,2,0,0,148,0,0,0,0,0
"RAP1B",471,8,176,5,4,3,14,453,29,47,13,27,7,34,322,107,16,66,2,58,6,531,411,54,11,9,35,77
"RP11-637A17.2",2,0,0,0,0,0,0,2,0,0,0,1,0,0,8,1,0,2,0,0,0,0,11,0,0,0,1,0
"NUP107",37,2,13,1,1,0,1,54,6,1,1,0,1,3,24,9,2,4,0,4,3,112,23,5,1,2,3,6
"SLC35E3",43,0,13,1,0,1,3,57,2,2,0,0,0,4,15,7,0,5,0,4,0,88,54,3,2,0,1,11
"MDM2",55,1,9,0,0,1,1,60,1,2,1,0,1,1,23,5,2,6,0,3,0,109,73,7,1,1,1,4
"CPM",144,0,23,0,0,0,1,331,1,0,0,0,4,0,6,1,0,0,0,1,0,187,2,0,1,0,1,0
"CPSF6",118,0,44,3,1,2,5,117,6,8,1,7,2,9,64,22,4,12,0,6,3,298,146,11,4,4,7,18
"LYZ",28286,1,8630,2,1,0,2,43,3,3,1,1,2,4,55,19,2,11,0,6,1,135,97,2223,4,1,5,7
"RP11-1143G9.4",1442,1,326,0,0,0,1,15,0,0,0,0,0,0,16,6,0,1,0,1,0,26,18,100,0,1,2,3
"YEATS4",104,4,36,0,1,0,4,30,4,8,1,3,1,9,47,21,4,6,1,2,2,192,85,8,6,5,6,17
"FRS2",25,3,11,0,1,0,2,21,2,4,0,0,1,2,10,9,1,4,0,1,1,56,20,2,0,1,1,3
"CCT2",212,7,98,3,1,1,9,244,14,10,4,8,4,18,144,45,9,26,2,13,6,860,262,27,7,12,15,44
"RP11-588G21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0
"RAB3IP",8,2,4,1,1,0,0,6,0,3,1,3,0,0,13,8,0,5,0,3,2,244,40,2,0,1,6,3
"CNOT2",167,4,78,1,4,1,3,148,4,7,1,5,1,9,75,30,2,18,0,4,2,241,102,12,5,3,6,39
"KCNMB4",67,0,7,0,0,0,19,13,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"RP11-588H23.3",8,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,4
"PTPRB",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,55,3,0,0,1,0,117
"PTPRR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3
"TSPAN8",17,1,5,0,0,0,0,5,4,0,0,0,0,0,4,1,1,0,0,0,1,17787,10,0,0,0,0,3
"LGR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
"ZFC3H1",56,0,22,2,0,1,0,47,4,1,0,1,1,2,28,10,1,6,1,3,0,127,50,1,1,1,1,12
"THAP2",78,1,26,0,0,1,0,27,2,0,0,0,4,1,14,4,1,3,0,1,1,62,56,9,0,0,3,8
"TMEM19",111,3,23,1,0,0,4,34,4,0,0,1,1,16,19,10,0,2,0,2,1,281,225,10,2,2,1,15
"RAB21",190,5,60,1,2,1,2,102,3,2,2,2,1,7,36,21,4,11,1,5,1,254,103,15,0,1,8,28
"TBC1D15",54,2,21,1,0,0,2,65,2,4,1,1,1,1,45,14,2,9,0,2,0,101,60,7,3,0,2,54
"TRHDE",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"ATXN7L3B",63,1,17,0,2,0,3,73,5,2,0,3,1,5,32,5,4,5,0,6,1,245,23,6,1,0,2,12
"CAPS2",3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"GLIPR1L2",0,0,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0
"GLIPR1",665,10,423,7,5,6,0,68,16,21,16,11,0,46,269,93,9,66,3,22,7,4,246,38,10,14,29,1
"KRR1",74,5,17,0,0,3,3,130,5,5,3,8,8,12,75,25,4,18,1,5,2,197,75,3,6,0,7,22
"PHLDA1",205,9,71,7,7,6,22,453,24,13,12,22,0,1,206,61,9,16,1,32,2,59,24,6,3,3,38,29
"RP11-290L1.2",0,0,0,0,0,0,3,34,0,0,0,0,0,0,5,0,2,1,0,1,0,3,1,0,1,0,0,0
"NAP1L1",2204,40,1321,25,11,18,30,1966,52,61,17,65,25,167,844,245,76,242,13,50,24,1090,1121,158,38,41,88,147
"BBS10",13,0,4,1,0,0,3,26,1,0,0,0,0,0,0,0,3,0,0,1,0,19,2,0,0,0,0,0
"OSBPL8",308,4,75,3,2,2,2,163,6,2,0,7,7,10,86,26,6,14,0,12,1,98,61,13,1,10,10,21
"ZDHHC17",21,1,2,0,0,0,1,39,1,0,1,2,1,1,8,7,1,2,0,1,0,31,15,2,0,0,2,4
"CSRP2",4,0,1,0,0,0,0,26,0,0,0,0,0,0,2,0,25,0,0,0,0,6,4,1,0,0,0,25
"E2F7",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0
"SYT1",8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,0,2
"PAWR",3,0,0,0,0,0,0,14,0,0,0,2,0,9,1,2,3,0,0,1,0,601,33,1,0,0,1,9
"PPP1R12A",149,2,73,7,7,5,18,198,14,10,6,8,4,13,137,46,31,24,0,11,4,261,116,22,5,8,20,40
"LIN7A",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0
"ACSS3",0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"CCDC59",212,8,87,2,1,4,4,212,12,7,5,19,8,27,199,90,3,47,2,25,3,301,355,15,6,1,26,44
"METTL25",16,0,7,1,0,0,1,46,1,2,1,3,0,2,11,4,1,2,0,2,0,42,28,1,0,0,0,5
"RP11-263K4.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"TMTC2",7,0,3,0,0,0,2,36,0,0,0,0,0,0,0,1,3,1,0,1,0,37,19,1,0,0,0,4
"LRRIQ1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,3
"RASSF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"C12orf29",36,0,4,0,1,2,3,52,1,1,1,3,1,1,40,14,3,5,2,5,4,74,62,3,0,1,4,18
"CEP290",31,2,11,0,0,0,0,66,3,1,3,4,1,7,30,10,1,6,1,3,1,62,41,2,3,0,5,15
"TMTC3",12,0,1,0,0,0,1,79,1,2,0,1,0,2,7,3,3,1,0,0,0,68,18,0,0,0,1,8
"KITLG",7,0,2,0,0,0,1,168,0,0,0,0,0,0,0,0,9,0,0,0,0,132,0,0,0,0,0,14
"DUSP6",295,1,83,0,0,0,13,84,4,3,1,14,17,4,33,11,1,4,0,3,0,87,66,21,0,0,7,148
"POC1B",32,2,7,1,1,1,0,32,3,2,0,0,1,3,21,12,4,4,0,4,2,125,39,1,0,0,2,8
"RP11-734K2.4",9,0,0,0,0,0,0,4,0,0,0,2,1,0,7,2,0,0,0,1,1,22,17,0,0,0,1,1
"ATP2B1",266,2,164,2,0,2,7,261,5,3,2,3,3,23,75,23,9,12,0,5,1,382,149,25,3,3,7,30
"LINC00936",63,4,136,1,2,0,2,106,2,2,2,3,2,10,31,17,1,13,0,3,3,36,110,20,0,1,5,10
"LUM",37,1,10,3,0,0,21,10838,0,1,1,0,3,1,16,10,243,1,1,1,0,12,53,4,0,1,0,36
"DCN",34,0,7,0,0,0,28,11230,2,0,1,1,2,3,18,5,233,4,0,1,0,3,46,4,0,0,2,43
"BTG1",1094,162,646,44,41,86,59,1786,177,193,89,181,80,449,3256,1230,56,778,26,338,90,1612,2413,246,28,44,463,289
"RP11-796E2.4",7,0,5,1,0,0,1,20,1,0,1,1,0,6,8,3,1,2,0,2,0,7,15,4,0,4,6,2
"CLLU1",1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"RP11-693J15.5",10,0,2,0,0,0,0,1,0,0,0,0,0,8,1,0,0,1,0,0,0,0,17,0,0,0,0,0
"PLEKHG7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,10,0,0,0,0,0
"EEA1",105,1,34,0,0,0,4,182,2,2,1,2,0,4,33,7,8,8,0,4,1,231,22,4,0,0,1,15
"NUDT4",82,2,32,1,1,3,10,487,6,6,2,4,4,21,71,28,16,9,0,6,0,599,247,8,3,2,12,18
"UBE2N",332,13,169,6,2,3,6,273,21,17,15,13,5,46,274,107,15,49,0,29,16,687,399,45,10,23,40,57
"MRPL42",115,5,47,0,4,0,6,155,7,9,1,4,4,11,70,29,11,16,0,9,2,582,191,10,2,2,12,36
"SOCS2",13,1,1,0,0,0,7,22,2,5,0,2,0,0,26,2,1,6,0,7,2,62,29,8,0,0,3,35
"CRADD",26,1,4,1,0,0,2,32,2,2,0,0,0,0,12,5,1,3,0,1,1,96,40,0,0,1,5,8
"PLXNC1",322,0,42,0,0,0,2,5,1,2,0,5,0,5,10,2,0,1,0,1,0,8,20,4,0,0,0,0
"TMCC3",154,0,9,1,0,1,2,1,0,0,1,1,0,1,10,7,0,0,0,0,0,60,30,6,0,0,0,24
"NDUFA12",676,10,276,6,4,5,17,411,20,12,6,14,6,20,266,113,22,62,3,28,8,2292,426,90,11,14,30,257
"NR2C1",36,1,10,0,0,0,1,51,0,4,0,0,0,2,17,4,0,4,0,1,0,79,30,9,3,0,0,6
"FGD6",58,0,8,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,41,2,4,0,0,1,6
"VEZT",64,1,20,0,0,0,3,58,2,2,3,1,3,4,27,12,7,2,0,0,1,173,100,2,1,1,4,37
"METAP2",253,3,71,2,3,1,7,209,17,1,2,7,3,13,107,46,7,20,0,13,5,576,215,7,10,5,9,63
"USP44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"NTN4",2,0,1,0,0,0,14,95,0,0,0,0,0,0,0,0,1,0,0,0,0,63,1,0,0,0,0,40
"SNRPF",511,17,210,14,3,9,12,422,31,12,6,11,11,45,281,122,15,76,3,26,8,2176,439,46,8,17,54,90
"AMDHD1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1
"LTA4H",106,2,40,1,1,0,5,79,2,3,0,25,2,13,48,11,3,9,0,1,2,367,247,7,3,1,4,47
"ELK3",19,0,15,0,0,0,0,62,0,1,3,8,0,9,45,1,2,7,0,0,1,16,63,5,4,0,2,60
"CDK17",19,1,7,1,0,0,1,17,4,2,1,0,2,2,41,19,0,6,1,3,2,44,59,2,1,0,3,15
"NEDD1",17,1,9,1,1,0,2,19,2,0,1,3,0,1,11,9,0,3,0,3,4,45,11,1,3,0,1,5
"RP11-181C3.1",7,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,9,0,0,0,1,2
"TMPO-AS1",10,0,1,0,0,0,0,9,0,0,0,0,0,1,3,0,0,1,0,0,0,18,11,0,1,2,1,0
"TMPO",140,1,37,2,0,1,1,70,2,3,2,1,3,8,67,13,2,6,0,2,2,435,103,8,12,19,8,18
"SLC25A3",1513,13,659,13,11,6,35,1362,33,52,10,44,28,55,489,161,56,79,3,65,13,5152,1462,118,37,22,70,210
"IKBIP",165,1,79,1,0,0,2,127,1,1,1,1,0,3,24,11,4,3,1,10,1,8,303,14,3,3,3,37
"APAF1",57,2,38,0,0,0,0,13,3,0,2,0,0,0,7,2,0,1,0,5,0,85,7,7,0,0,3,2
"ANKS1B",2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2,0,0,0,0,3,1,0,1,0,4,1
"UHRF1BP1L",67,2,14,0,0,1,1,24,0,2,1,0,1,0,6,3,0,1,0,0,0,33,13,4,0,0,1,2
"ACTR6",38,0,18,0,0,2,7,60,3,3,1,0,3,2,28,19,2,7,0,6,2,165,36,7,2,1,7,16
"DEPDC4",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"SCYL2",81,2,28,0,0,0,1,29,4,2,2,2,2,1,13,8,4,2,0,1,0,226,41,1,0,0,0,6
"NR1H4",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,120,0,0,0,0,0,0
"GAS2L3",51,0,13,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0
"UTP20",20,0,8,0,1,0,1,17,1,1,0,1,1,1,7,6,1,0,0,1,0,59,15,0,0,0,0,7
"ARL1",150,3,35,0,0,0,9,293,3,2,3,1,3,5,57,21,11,7,0,7,3,499,444,16,1,1,9,53
"CHPT1",310,5,67,0,1,0,9,167,3,0,1,3,6,14,29,17,3,8,0,7,1,1629,216,12,1,1,0,13
"SYCP3",2,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,7,1,1,0,0,0,0
"GNPTAB",173,1,31,2,3,1,1,58,3,0,0,2,3,4,26,21,2,4,0,5,0,213,91,15,0,1,7,7
"DRAM1",137,0,22,0,0,0,0,197,0,0,0,0,0,4,5,3,3,0,0,3,0,2,54,30,0,1,0,8
"CCDC53",165,2,51,3,0,1,8,229,4,6,2,4,1,8,62,27,12,13,1,4,2,270,317,10,3,4,5,30
"RP11-554E23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"NUP37",40,2,25,0,0,0,0,73,3,1,0,0,2,3,24,8,2,2,0,1,1,233,78,6,5,4,2,11
"PARPBP",18,0,5,0,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,70,15,0,0,4,0,1
"IGF1",1660,0,93,0,0,0,0,97,1,1,0,0,0,1,2,2,1,1,0,0,0,1,188,2,0,0,0,1
"C12orf42",2,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,2,0,0,1,0,4,0,0,1,1,0
"NT5DC3",1,0,1,0,0,0,0,15,1,1,0,0,0,0,3,0,0,1,0,1,0,19,8,1,1,0,1,0
"HSP90B1",1132,7,282,3,3,2,26,1173,14,24,4,11,12,15,192,72,54,35,5,31,10,1904,7281,77,22,15,13,192
"C12orf73",44,1,8,0,0,0,0,30,1,2,0,1,1,0,10,3,2,1,0,0,1,118,35,0,0,2,0,7
"TDG",140,7,62,2,1,0,3,107,11,13,2,9,3,11,103,32,2,20,0,10,5,374,183,10,8,2,10,17
"GLT8D2",2,1,0,1,0,0,3,374,0,0,0,0,0,0,1,0,5,0,0,1,0,0,7,1,0,0,0,31
"HCFC2",12,1,3,0,0,0,1,26,0,1,1,2,1,1,16,6,0,0,0,0,0,30,30,0,0,0,0,5
"NFYB",50,2,29,1,2,2,2,126,7,4,0,1,3,4,39,15,6,7,0,5,1,165,116,2,0,5,3,10
"TXNRD1",151,1,33,1,0,0,1,49,1,4,1,1,1,7,36,12,2,5,2,3,3,233,59,4,3,2,8,13
"EID3",7,1,4,0,1,0,0,22,0,0,1,0,0,5,25,6,1,9,0,2,1,13,13,0,0,0,1,0
"CHST11",79,2,39,2,1,1,0,62,5,1,1,1,1,8,54,38,2,8,0,7,1,0,78,9,1,4,9,4
"SLC41A2",34,0,11,0,0,0,0,6,0,0,1,1,0,0,2,0,0,0,0,0,0,164,63,4,0,0,1,0
"C12orf45",128,2,72,3,0,1,2,78,1,1,1,2,5,3,34,18,3,6,0,1,2,270,395,8,1,2,9,14
"ALDH1L2",3,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
"KIAA1033",202,0,32,0,1,3,4,98,2,4,1,3,1,6,24,11,2,1,0,3,0,107,37,8,0,3,3,18
"APPL2",100,1,8,0,0,0,2,44,1,0,0,3,0,0,9,3,0,0,0,3,0,147,27,0,0,0,3,8
"C12orf75",22,12,22,12,4,4,0,24,12,9,3,3,1,16,132,90,3,24,2,9,8,576,221,3,4,33,5,1
"NUAK1",2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49
"CKAP4",6,1,5,0,0,0,4,130,1,0,0,1,1,1,5,2,9,1,0,0,0,291,545,4,0,0,0,13
"TCP11L2",0,1,0,0,0,0,0,12,1,1,0,0,0,4,11,1,0,1,0,1,0,12,10,1,1,0,3,2
"POLR3B",9,0,1,0,0,0,0,8,0,1,0,0,1,0,2,2,0,2,0,0,0,23,9,0,0,0,2,2
"RIC8B",20,0,1,0,0,1,1,32,1,1,1,0,0,0,11,3,2,1,0,1,0,80,18,0,1,0,1,6
"RP11-412D9.4",5,2,1,0,0,0,1,37,0,0,1,2,0,1,6,2,0,1,0,1,0,0,12,0,0,0,0,5
"CRY1",22,1,6,0,0,0,1,31,0,2,0,1,0,0,21,12,2,4,0,2,0,54,19,0,1,2,0,7
"BTBD11",0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,2,0,2,0,0,0,0,2,1,0,0,1,0
"PWP1",86,4,19,1,1,1,4,152,9,6,4,3,4,12,54,24,9,11,0,7,2,222,134,9,2,1,7,26
"PRDM4",45,1,7,1,0,1,0,21,0,0,0,1,0,1,11,8,0,4,0,1,0,73,13,0,0,2,1,6
"CMKLR1",371,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3
"FICD",25,0,7,0,0,0,1,24,2,0,0,0,2,1,12,8,1,0,0,2,0,18,157,1,0,0,1,4
"SART3",39,1,10,0,0,0,1,37,3,3,1,2,0,1,15,8,0,5,0,1,0,91,46,1,1,0,1,8
"ISCU",576,9,111,4,2,2,25,1014,19,18,6,15,13,64,254,88,40,75,2,17,9,1017,1356,49,7,6,41,106
"TMEM119",8,0,1,0,0,0,0,556,0,0,0,0,0,0,1,1,5,0,0,0,0,0,4,1,0,0,1,0
"SELPLG",111,5,38,3,0,3,0,2,6,8,5,0,2,1,66,25,0,19,0,3,2,0,43,8,1,2,11,0
"CORO1C",322,0,47,0,0,0,4,55,1,0,0,0,1,4,7,4,14,2,0,2,0,178,64,11,2,0,1,17
"SSH1",92,2,23,0,0,0,0,23,0,0,0,3,1,1,13,4,2,0,0,3,2,54,15,0,0,0,0,9
"DAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"USP30",8,1,2,0,0,0,0,18,0,2,0,0,0,1,3,0,1,1,0,1,1,79,12,3,0,1,0,3
"USP30-AS1",45,1,13,0,1,1,0,5,1,4,1,2,0,4,36,17,2,4,0,2,1,31,82,6,1,1,3,1
