"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"RAPH1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0
"CD28",0,11,0,2,8,0,0,0,0,0,0,51,5,0,0,12,1,0,3,0,0,0,4,0
"CTLA4",1,2,2,0,6,0,0,0,0,0,0,10,1,0,0,5,0,0,0,0,0,0,27,0
"ICOS",0,4,0,2,17,0,0,1,12,0,0,93,7,0,0,31,0,0,4,2,0,0,28,0
"PARD3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"NRP2",4,0,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"AC007679.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"INO80D",0,1,1,0,1,0,0,0,2,0,1,3,0,0,1,0,1,1,0,117,0,0,0,0
"AC007383.3",0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,35,0,1,0,0
"NDUFS1",1,2,9,0,2,0,16,2,1,1,2,10,4,1,0,0,0,0,0,489,0,0,2,1
"EEF1B2",61,36,248,14,32,3,324,77,28,34,328,701,84,16,110,219,25,16,36,14774,70,83,85,16
"FASTKD2",0,0,1,0,0,0,12,1,0,0,1,4,0,0,0,1,0,0,0,127,0,1,0,2
"KLF7",0,0,0,0,0,2,10,0,0,0,2,2,1,1,0,0,0,0,0,7,0,3,0,2
"CREB1",0,3,6,0,0,0,11,5,0,3,5,10,2,0,2,4,1,1,1,142,2,4,1,2
"METTL21A",3,1,11,0,3,0,12,2,3,2,4,24,4,0,3,4,1,1,1,217,0,7,6,2
"AC079767.4",0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,2,0,0
"CCNYL1",0,0,4,0,2,0,1,1,0,0,1,2,1,0,0,1,0,0,0,106,1,0,0,0
"RP11-801F7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"FZD5",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0
"AC096772.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"IDH1",12,0,1,0,1,0,14,8,0,1,1,1,1,1,0,1,0,0,1,822,0,0,1,0
"IDH1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"PIKFYVE",0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,24,0,2,0,0
"RPE",3,1,5,0,0,0,11,0,0,1,0,1,0,0,2,1,0,0,1,160,5,5,1,0
"KANSL1L",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0
"AC006994.2",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
"LANCL1",0,0,0,3,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,53,1,1,1,0
"RP11-105N14.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"SPAG16",1,0,1,0,1,0,16,3,0,0,1,5,1,0,0,3,0,1,2,483,0,2,1,2
"BARD1",0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,1,0,0,0,54,1,0,2,0
"ATIC",2,0,2,0,1,0,15,3,2,3,5,19,2,0,3,6,2,0,0,680,2,2,4,0
"FN1",0,0,0,0,0,0,182,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
"MREG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"PECR",0,1,2,0,1,0,0,0,0,0,4,2,0,0,0,2,0,0,0,189,0,0,2,1
"XRCC5",9,6,16,0,2,0,55,20,2,5,24,51,6,3,7,21,5,2,1,811,16,16,5,3
"SMARCAL1",0,1,0,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,86,0,0,0,1
"RPL37A",79,55,181,16,40,4,377,86,21,41,215,618,82,19,95,182,33,9,36,20122,83,122,63,22
"IGFBP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,3
"IGFBP5",0,0,0,0,0,0,46,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"TNS1",0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,2
"ARPC2",123,46,282,17,46,4,165,223,38,24,144,527,98,9,54,139,23,16,37,5611,71,253,102,21
"AAMP",2,1,15,1,3,0,61,10,3,2,6,24,4,5,6,8,2,0,0,1445,6,11,4,5
"PNKD",9,3,14,1,3,1,60,13,4,4,7,43,6,3,4,11,2,0,2,3164,4,15,4,9
"TMBIM1",7,0,3,1,1,2,37,4,0,1,9,14,3,1,1,4,0,0,3,999,0,1,10,6
"SLC11A1",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"CTDSP1",2,1,6,0,2,0,32,4,1,1,2,19,3,3,3,3,0,0,1,396,2,2,4,2
"RP11-378A13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"VIL1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1718,0,0,0,0
"USP37",0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,55,0,1,0,0
"RQCD1",0,0,3,1,1,2,5,2,0,1,1,8,1,0,0,3,0,0,0,132,1,7,1,0
"RP11-548H3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ZNF142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"BCS1L",0,0,2,0,0,1,13,2,0,0,4,4,0,0,1,0,0,2,0,316,2,1,1,2
"RNF25",3,1,0,0,1,1,17,0,0,0,0,5,2,3,1,0,0,0,1,86,1,0,0,3
"STK36",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
"TTLL4",0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"CYP27A1",3,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,1,776,0,0,0,4
"RP11-459I19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"WNT10A",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,1,0
"CRYBA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"IHH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0
"RP11-33O4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"NHEJ1",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0
"SLC23A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
"CNPPD1",3,3,10,1,1,0,15,6,0,0,18,17,4,1,0,7,1,0,0,788,0,9,2,1
"FAM134A",2,0,1,0,1,0,13,1,1,0,3,3,1,0,2,1,3,0,2,511,3,0,4,0
"ZFAND2B",1,4,8,0,4,0,27,8,3,0,5,19,13,1,3,7,2,2,2,1003,5,3,3,5
"ATG9A",1,0,1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,1,0,173,0,0,1,0
"ANKZF1",1,2,3,0,1,0,7,8,0,0,0,7,0,0,0,1,0,0,0,211,1,4,1,0
"GLB1L",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"STK16",1,2,2,0,2,0,14,3,0,1,2,11,0,0,0,2,0,0,1,400,0,4,1,2
"TUBA4A",2,23,3,5,17,1,1,12,9,1,40,95,29,1,14,42,4,3,4,1185,11,26,18,4
"DNAJB2",3,1,1,0,2,0,22,2,0,3,6,10,2,1,2,3,1,0,0,267,3,0,3,1
"DNPEP",1,1,5,1,0,0,39,2,2,3,9,17,3,3,2,1,1,1,2,983,8,3,1,6
"DES",0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,3,0,0,0,0
"SPEG",0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,17,0,0,0,0
"RP11-316O14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"GMPPA",3,2,8,0,1,0,16,2,0,0,0,6,0,0,0,5,0,0,2,378,8,2,1,2
"ASIC4",0,0,0,0,0,0,0,3,0,1,0,8,1,0,0,0,0,0,1,17,0,0,0,0
"CHPF",0,2,0,0,0,3,18,3,2,0,0,2,1,3,0,0,0,2,0,139,11,0,0,1
"TMEM198",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OBSL1",0,0,1,0,0,0,14,0,0,0,0,0,1,2,0,0,0,0,0,58,0,0,0,1
"STK11IP",0,0,0,0,1,0,6,2,0,0,0,0,0,0,1,0,0,0,0,93,0,0,0,0
"EPHA4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,3
"SGPP2",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,149,0,0,0,0
"FARSB",0,0,2,1,1,0,13,2,1,0,3,10,1,0,2,7,1,0,0,540,0,3,3,0
"ACSL3",0,0,2,0,1,0,11,2,0,0,2,6,0,0,1,2,1,0,0,181,0,1,1,0
"AP1S3",1,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,20,0,1,0,0
"WDFY1",0,0,0,0,3,0,3,2,0,0,1,1,0,0,0,0,0,1,0,68,0,0,0,0
"MRPL44",1,1,2,0,0,0,17,1,1,0,2,16,1,0,5,4,2,1,0,332,2,9,6,0
"SERPINE2",0,0,0,0,0,0,84,3,0,0,0,0,0,1,0,1,0,0,1,34,0,0,2,0
"CUL3",1,1,4,0,0,0,6,2,0,0,1,3,0,0,0,1,2,0,1,179,3,1,3,0
"DOCK10",2,4,12,1,1,0,0,7,2,0,1,11,0,0,1,3,1,0,1,22,0,1,0,0
"IRS1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"RHBDD1",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,1,2,0,0
"MFF",3,3,8,0,0,0,57,8,0,4,7,51,5,6,6,9,3,2,2,715,11,15,2,0
"TM4SF20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1,0,0
"AGFG1",0,1,0,0,0,0,2,1,0,0,2,5,1,0,0,0,0,0,0,86,0,0,1,0
"SLC19A3",0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,96,0,0,0,0
"CCL20",2,0,1,0,0,0,0,5,4,0,0,35,0,0,0,1,0,0,0,167,0,0,3,0
"PID1",0,0,23,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0
"TRIP12",1,1,3,0,0,0,4,0,0,0,0,2,2,0,1,0,0,1,0,129,0,1,0,1
"FBXO36",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0
"SLC16A14",0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"SP110",4,6,9,2,0,0,37,9,4,1,39,39,9,2,13,8,5,0,3,130,5,8,7,2
"SP140",0,2,2,0,1,0,2,4,0,0,7,22,2,0,3,2,0,0,2,0,0,12,4,0
"SP140L",1,1,3,0,0,0,7,2,0,0,3,15,0,0,4,5,0,0,1,98,2,1,2,0
"SP100",12,2,7,1,7,0,56,17,4,1,30,60,3,1,10,11,3,0,2,465,5,19,5,12
"CAB39",1,0,1,0,0,0,5,3,0,2,1,8,1,1,0,3,1,0,0,224,0,1,2,1
"ITM2C",39,13,38,11,8,16,212,28,9,25,23,39,29,21,3,6,1,1,8,17933,33,1,2,0
"C2orf72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0
"PSMD1",4,0,2,0,0,0,27,3,0,1,4,10,5,0,3,4,0,1,1,462,0,2,4,1
"ARMC9",3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,60,1,1,0,0
"B3GNT7",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,304,0,0,0,0
"NCL",4,2,16,1,1,0,52,18,4,3,14,38,4,3,5,10,1,1,5,1043,3,11,4,4
"PTMA",379,195,971,54,213,45,1717,714,199,221,985,2485,403,94,380,701,109,72,186,38593,423,823,359,229
"PDE6D",3,0,2,0,0,0,18,3,0,1,0,8,3,1,1,8,0,0,0,172,1,5,2,2
"COPS7B",0,1,5,0,1,0,19,3,2,1,6,15,0,1,2,1,0,0,1,134,2,4,1,0
"NPPC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,5,0,0
"DIS3L2",0,0,1,1,0,0,6,1,1,0,1,8,1,0,0,1,0,0,0,96,0,1,0,0
"ALPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
"TIGD1",0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,27,0,0,1,0
"EIF4E2",13,3,30,1,0,0,45,7,4,4,9,25,1,4,3,11,3,0,2,1893,2,4,4,2
"EFHD1",0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"GIGYF2",0,0,1,0,2,0,4,1,0,1,0,5,4,0,0,4,1,0,0,186,1,2,0,0
"C2orf82",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1530,0,0,0,0
"NGEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0
"INPP5D",2,2,4,1,0,0,0,5,0,1,9,8,0,0,1,0,0,0,1,3,0,2,2,0
"ATG16L1",0,0,0,0,1,0,2,1,1,0,1,1,0,0,0,0,0,1,1,105,1,0,0,0
"SAG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"DGKD",2,0,1,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,253,1,0,0,1
"USP40",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0
"UGT1A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"UGT1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"HJURP",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,0,5,0,0
"ARL4C",18,7,50,0,7,0,1,1,0,0,5,66,15,0,1,15,0,0,4,6,1,0,15,2
"SH3BP4",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
"AGAP1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0
"ACKR3",0,0,3,0,0,1,118,0,0,0,2,1,0,2,0,1,0,0,0,8,0,0,0,0
"COPS8",3,4,14,2,4,0,58,12,1,1,11,52,7,3,1,9,5,1,3,280,8,10,4,2
"COL6A3",0,0,0,0,0,0,44,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,1
"MLPH",0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,268,0,0,0,0
"RAB17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0
"AC104667.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
"LRRFIP1",10,7,30,0,9,0,17,11,5,2,21,78,18,0,10,23,2,3,2,1074,3,25,8,4
"RAMP1",1,0,12,0,0,0,25,0,1,0,0,2,0,1,0,0,0,0,0,103,0,7,0,9
"UBE2F",8,4,17,0,1,0,14,7,1,1,7,13,3,0,1,4,0,1,2,364,1,2,3,1
"SCLY",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,1,0,0,0
"ILKAP",4,2,2,0,2,0,34,8,1,0,3,18,1,0,2,5,4,3,0,307,2,4,6,0
"HES6",0,0,1,0,0,2,2,1,1,0,3,0,0,1,0,0,0,0,0,483,0,2,0,0
"PER2",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,0
"TRAF3IP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"ASB1",2,2,1,0,2,0,13,1,2,3,4,5,1,0,5,0,0,0,0,98,1,4,1,1
"HDAC4",1,0,1,0,0,0,9,0,0,0,0,1,0,1,0,1,0,1,0,53,0,1,0,2
"AC062017.1",0,0,0,0,0,0,3,0,0,0,2,4,0,0,0,3,1,2,1,29,0,0,1,0
"NDUFA10",14,3,19,1,6,2,64,11,0,5,10,36,7,3,4,5,1,0,4,2796,9,15,8,3
"MYEOV2",13,4,22,1,5,1,79,14,4,7,14,78,15,3,6,24,5,0,4,1837,11,17,10,6
"GPC1",0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
"ANKMY1",0,0,1,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0,43,0,0,0,0
"DUSP28",0,0,2,0,0,0,6,0,0,3,2,7,0,0,1,1,0,0,1,122,1,1,0,0
"RNPEPL1",3,0,2,0,1,0,2,2,1,0,1,7,0,2,0,7,0,0,0,508,1,0,1,2
"CAPN10-AS1",0,0,1,0,1,0,3,0,0,1,0,3,0,1,0,0,1,0,0,18,2,0,0,0
"CAPN10",0,0,2,1,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,70,0,0,0,0
"GPR35",3,0,5,0,1,0,0,6,1,2,0,7,0,0,0,1,0,0,1,460,0,0,0,0
"AC011298.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0
"AQP12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"AGXT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0
"C2orf54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
"SNED1",1,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1
"PASK",0,3,1,1,3,0,1,0,0,0,2,46,3,0,1,0,2,0,1,33,2,1,5,0
"PPP1R7",12,5,15,1,4,0,48,20,3,6,14,43,2,7,3,13,2,0,4,954,10,4,8,3
"ANO7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0
"HDLBP",4,0,8,0,0,0,24,4,1,2,0,16,6,0,3,1,1,0,1,1153,7,2,0,2
"SEPT2",3,2,14,0,4,2,70,14,7,13,4,35,6,1,4,14,1,1,0,715,2,17,3,4
"FARP2",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,246,2,1,0,0
"STK25",1,1,6,1,2,1,37,3,1,0,2,9,4,1,2,1,0,1,1,577,1,0,3,1
"BOK",0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,2
"THAP4",0,0,1,0,1,0,11,0,0,0,0,8,0,2,2,2,0,0,0,652,0,1,2,0
"ATG4B",4,2,5,1,0,0,17,2,4,0,7,15,0,1,3,4,0,0,2,508,4,5,4,0
"DTYMK",3,0,7,0,0,3,29,5,1,1,7,30,1,1,1,1,2,2,1,901,4,26,0,0
"ING5",0,1,1,0,1,1,3,1,0,0,6,4,0,0,2,2,0,0,2,201,1,3,1,0
"D2HGDH",1,0,4,0,0,0,11,2,1,0,0,8,1,0,0,0,0,0,0,394,0,0,0,0
"AC114730.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
"NEU4",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,777,0,0,0,0
"PDCD1",0,0,0,0,0,0,0,0,2,0,2,10,0,0,0,3,0,0,0,1,0,3,5,0
"CHL1",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTN4",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"IL5RA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRNT1",0,1,1,0,1,0,9,1,0,1,3,4,0,0,0,1,0,0,0,96,0,4,0,3
"CRBN",4,0,7,1,4,0,42,14,3,8,11,22,7,0,3,17,0,1,1,334,1,3,2,3
"SUMF1",3,0,2,0,0,1,13,1,1,0,0,11,1,0,0,1,0,0,0,243,0,0,0,0
"LRRN1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"SETMAR",0,0,0,0,0,0,10,1,0,1,1,3,0,0,0,1,0,0,0,94,0,1,0,0
"ITPR1",0,0,2,0,0,0,5,0,1,0,1,4,1,0,2,0,0,0,0,2,0,1,0,1
"AC018816.3",0,0,0,0,1,0,1,2,2,0,0,7,1,0,0,5,0,0,0,20,0,0,0,0
"BHLHE40",5,5,19,0,4,2,19,2,8,14,3,55,4,0,3,10,1,1,6,116,1,2,1,14
"ARL8B",3,3,6,0,1,0,10,2,1,0,0,4,1,1,0,2,0,0,0,97,1,1,0,0
"AC026202.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0
"EDEM1",1,0,6,0,2,0,2,2,0,0,3,1,0,0,0,3,1,0,1,77,3,3,2,0
"LMCD1",0,0,0,0,0,0,19,0,0,0,0,1,0,3,0,0,0,0,0,22,0,3,1,17
"SSUH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
"RAD18",0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,1,54,0,2,0,0
"SRGAP3",0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,21,0,0,1,0
"THUMPD3",3,0,2,0,1,0,9,1,0,1,1,8,0,0,0,0,0,0,0,151,4,0,0,0
"SETD5",0,1,2,1,0,0,6,3,0,0,0,14,0,0,1,1,0,0,0,200,0,0,0,2
"MTMR14",5,2,24,0,2,0,11,2,0,0,5,10,2,0,6,3,1,1,0,323,0,6,2,1
"BRPF1",0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,67,0,2,0,0
"OGG1",2,1,0,0,0,0,15,8,1,1,8,9,2,1,3,0,0,0,0,209,1,9,5,1
"CAMK1",19,0,35,0,1,2,25,9,1,4,0,1,0,1,0,1,0,0,0,72,0,2,4,2
"TADA3",6,4,11,0,3,0,31,16,1,3,9,22,4,1,6,9,0,1,7,662,0,9,3,5
"ARPC4",10,2,28,1,1,0,32,25,1,1,8,29,7,2,13,12,2,4,4,676,2,15,7,7
"TTLL3",2,0,3,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,52,0,0,0,0
"RPUSD3",2,1,2,0,0,0,22,5,2,2,5,16,4,0,2,4,1,2,0,502,4,6,2,2
"CIDEC",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,208,0,0,0,0
"JAGN1",5,1,10,0,3,1,40,5,2,0,6,26,2,1,4,8,4,2,1,1036,8,6,8,5
"IL17RE",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,442,0,0,0,0
"IL17RC",1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,1
"CRELD1",1,1,2,1,0,1,5,2,0,1,7,9,1,0,2,4,1,0,1,190,0,0,1,3
"PRRT3",0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,33,0,0,0,0
"PRRT3-AS1",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0
"EMC3",11,2,15,3,5,3,52,16,3,2,12,58,12,0,4,4,1,1,3,952,3,8,4,5
"FANCD2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
"BRK1",45,16,145,7,19,1,342,68,11,9,58,174,22,11,22,64,5,11,17,3094,21,49,34,21
"VHL",1,0,2,0,2,0,4,3,1,1,2,6,0,0,0,0,0,0,0,83,1,4,1,0
"IRAK2",0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0
"TATDN2",0,0,0,0,0,0,2,1,1,0,2,1,1,0,0,0,1,0,1,114,0,1,0,0
"LINC00852",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0
"SEC13",9,3,27,0,1,2,40,4,0,2,3,25,2,0,3,6,0,1,3,935,12,12,6,4
"HRH1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,156,0,0,0,1
"ATG7",1,0,4,0,0,1,12,0,0,0,1,3,1,2,0,0,1,0,1,103,0,1,2,0
"VGLL4",0,1,0,0,4,2,25,4,1,0,3,17,7,0,0,1,0,0,0,361,2,3,0,5
"TAMM41",3,0,0,0,1,0,9,5,1,0,5,7,4,0,0,2,0,0,2,127,0,1,3,0
"TIMP4",0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"PPARG",0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,1
"TSEN2",0,0,2,0,0,0,2,4,0,0,2,6,0,1,1,4,0,0,0,120,1,1,1,1
"MKRN2",0,1,3,0,1,1,11,2,0,1,3,5,5,0,1,4,0,1,0,100,2,1,1,0
"RAF1",0,2,3,1,1,0,13,1,1,0,5,11,0,0,3,5,0,0,2,314,2,4,1,0
"RPL32",273,258,1097,66,285,14,2209,568,164,169,1360,4450,526,47,565,1467,211,58,196,63738,360,329,511,148
"IQSEC1",0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,3,0,0,0,72,0,0,1,0
"NUP210",1,0,7,0,1,0,0,1,2,0,3,8,0,0,2,5,0,1,2,73,2,1,4,0
"HDAC11",1,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,148,0,0,0,0
"FBLN2",0,0,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"CHCHD4",0,0,6,0,1,0,6,0,1,0,5,2,1,0,1,0,0,0,0,267,2,5,1,1
"TMEM43",0,0,0,2,1,0,23,1,0,0,0,13,3,1,1,4,1,0,0,105,1,0,3,2
"XPC",0,3,0,0,0,1,13,0,0,0,3,6,0,0,4,2,0,2,1,138,0,3,0,2
"LSM3",8,7,12,0,5,0,55,13,5,4,20,37,11,5,6,11,1,1,1,1505,10,18,6,0
"SLC6A6",2,0,1,1,0,0,1,0,1,0,3,6,1,1,1,4,0,0,0,4,0,2,1,1
"CCDC174",2,4,7,1,3,0,21,4,7,4,7,27,3,0,2,5,0,1,2,245,3,3,4,4
"FGD5",1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
