"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"LILRB4",21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
"NLRP7",0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0
"NLRP2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0
"RDH13",0,0,0,0,0,0,5,1,1,0,2,1,0,0,0,5,0,0,0,234,0,1,0,0
"EPS8L1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,120,1,0,0,1
"PPP1R12C",0,2,2,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,196,0,1,0,1
"SYT5",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0
"PTPRH",0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,734,0,0,0,0
"TMEM86B",0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,40,0,0,0,0
"PPP6R1",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0
"HSPBP1",3,0,1,1,1,0,23,3,0,0,1,12,2,1,3,5,1,0,1,653,4,2,0,2
"BRSK1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TMEM150B",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,136,0,0,0,0
"COX6B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
"TMEM238",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0
"RPL28",236,196,711,63,214,3,1080,381,109,45,731,2245,325,17,362,729,110,44,116,39924,132,272,280,65
"UBE2S",4,7,21,2,3,0,28,7,5,4,17,95,16,1,8,13,6,2,8,556,13,51,7,6
"ISOC2",7,0,18,0,0,0,100,11,2,2,6,13,3,2,0,2,0,1,2,2090,11,13,0,3
"ZNF628",0,0,2,0,0,1,1,0,0,0,0,7,0,0,0,0,1,0,0,46,0,0,1,0
"NAT14",0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0
"ZNF579",0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0
"FIZ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
"ZNF524",1,1,4,0,0,0,19,4,1,0,0,20,1,0,0,10,0,0,1,649,1,0,5,1
"ZNF865",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,1
"ZNF784",0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,60,0,1,0,0
"ZNF580",1,0,5,0,0,0,29,4,1,3,4,7,0,5,12,0,0,0,3,350,2,2,1,1
"ZNF581",4,0,10,0,1,1,20,2,1,0,5,13,0,1,4,5,0,0,1,301,3,5,5,0
"CCDC106",1,0,4,0,0,1,5,0,0,0,9,0,0,2,1,0,1,1,0,58,0,2,0,2
"U2AF2",0,0,5,0,1,0,6,2,1,0,3,14,1,0,2,2,0,0,0,328,2,7,0,2
"EPN1",7,0,11,0,3,0,11,0,1,0,6,9,2,0,4,3,0,0,0,1248,3,6,3,2
"ZNF787",1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,114,0,0,0,0
"ZNF444",3,0,7,0,0,2,21,3,1,2,1,4,1,0,0,1,0,0,1,253,1,3,2,4
"ZSCAN5A",0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,46,0,0,0,2
"ZNF582",0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,1
"ZNF582-AS1",2,1,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF583",0,0,1,0,1,0,5,1,1,1,4,8,0,0,1,0,0,0,0,14,0,1,0,0
"ZNF667-AS1",0,0,1,0,0,0,63,7,2,3,0,3,0,4,4,4,0,0,0,5,1,0,0,5
"ZNF471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"ZFP28",0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"AC007228.11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"ZNF470",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
"ZNF71",0,3,1,0,0,0,5,1,0,0,0,1,0,0,0,3,1,0,1,35,1,1,0,1
"AC007228.9",1,0,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,31,0,0,0,0
"ZNF264",0,0,2,0,0,0,2,4,0,0,3,4,2,0,0,1,0,0,0,23,0,1,1,1
"AURKC",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ZNF805",0,0,2,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,15,0,1,0,0
"CTC-444N24.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"CTC-444N24.6",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ZNF460",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0
"CTC-444N24.11",0,0,2,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,85,0,1,0,1
"ZNF304",0,0,1,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,9,0,0,0,0
"ZNF547",0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,5,0,0,2,0
"TRAPPC2P1",2,6,7,0,3,0,17,4,1,2,16,44,2,0,7,15,1,3,3,128,3,3,2,3
"ZNF548",5,0,1,0,0,0,3,1,1,1,0,3,0,0,0,1,1,0,0,18,0,0,1,0
"ZNF17",0,0,2,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,10,0,1,0,0
"ZNF749",0,0,1,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,62,1,0,0,0
"ZNF772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ZNF419",0,1,0,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,20,2,2,0,0
"ZNF773",0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,0,14,1,0,2,0
"ZNF549",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,18,0,0,1,0
"ZNF550",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,1,0
"ZNF416",0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,11,0,0,0,0
"ZNF530",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,17,0,0,0,1
"ZNF134",0,0,5,0,1,0,4,1,0,0,0,9,2,0,1,4,0,0,0,10,0,1,0,0
"ZNF211",0,0,1,0,1,0,3,4,0,0,4,3,0,1,1,1,0,0,0,17,0,2,0,0
"ZNF551",1,0,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,23,0,1,1,3
"ZNF154",0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1
"ZNF671",0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0
"ZNF776",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20,1,0,2,0
"ZNF586",2,0,0,1,0,0,0,0,0,0,1,4,1,1,0,2,1,0,1,31,0,1,1,0
"ZNF552",0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,0,0,1,0
"ZNF587B",0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0
"ZNF814",1,1,2,0,0,0,1,2,3,0,4,7,0,0,1,1,1,0,0,121,1,0,0,0
"ZNF587",0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,66,3,0,0,1
"ZNF417",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0
"ZNF256",0,2,0,0,1,0,1,2,0,0,1,6,1,0,1,4,0,0,1,25,0,0,0,0
"C19orf18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"ZNF606",0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,34,0,0,0,0
"ZNF135",0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0
"ZSCAN18",0,2,2,0,0,0,15,1,0,2,2,9,2,0,6,3,1,1,0,80,3,0,2,1
"ZNF329",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0
"ZNF274",0,2,1,0,0,0,2,3,3,2,4,16,1,0,4,6,0,0,0,77,2,1,2,2
"ZNF544",0,1,2,0,0,0,1,1,0,0,1,8,0,0,0,0,0,0,0,87,0,7,0,0
"CTD-3138B18.5",0,0,0,0,2,0,2,1,1,0,0,11,0,1,1,2,0,0,0,46,0,1,1,0
"ERVK3-1",3,0,1,1,2,0,17,7,2,1,0,5,4,0,0,3,0,0,0,98,0,0,0,1
"ZSCAN22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"A1BG-AS1",0,0,1,0,0,0,9,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ZNF497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"ZNF837",0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,37,0,0,0,1
"RPS5",188,128,640,39,110,10,1487,400,131,62,913,2159,292,51,407,711,120,46,101,51328,280,298,233,58
"ZNF584",0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,33,0,0,0,0
"ZNF324B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ZNF324",0,1,0,0,0,0,5,0,0,0,3,6,2,0,0,2,0,0,0,58,0,0,1,0
"ZNF446",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,78,0,2,0,0
"SLC27A5",0,1,1,0,0,0,2,4,0,0,4,6,0,0,0,0,0,0,0,126,1,1,1,1
"ZBTB45",0,0,0,0,0,0,10,2,2,0,0,3,2,0,1,0,0,0,0,91,0,1,0,0
"TRIM28",7,3,5,0,0,0,12,2,1,1,3,5,1,1,0,1,0,1,1,691,2,2,0,0
"CHMP2A",16,4,33,2,9,1,127,22,9,11,13,69,4,6,6,18,3,2,12,5475,10,5,8,13
"UBE2M",0,0,3,0,1,0,3,1,0,0,0,3,0,0,0,0,0,1,0,263,2,1,0,0
"MZF1",1,0,1,0,0,0,2,3,2,0,1,9,2,0,0,0,0,0,0,143,0,0,2,1
"TPTEP1",0,0,3,0,0,1,6,0,2,0,2,0,0,0,1,0,0,0,0,21,1,0,1,0
"IL17RA",1,1,2,0,0,0,4,2,0,0,1,2,1,0,2,2,0,0,0,108,0,2,2,0
"CECR5",1,0,2,0,0,0,21,4,2,2,4,15,0,0,4,3,1,2,0,652,0,1,1,2
"CECR1",4,0,22,0,0,0,4,0,0,0,3,8,0,0,1,3,2,0,1,35,2,0,0,0
"ATP6V1E1",10,3,21,4,0,3,65,19,5,3,12,62,2,4,2,13,0,2,1,849,5,10,10,6
"BCL2L13",0,1,5,2,2,1,7,4,0,0,2,6,3,0,1,2,0,1,0,276,1,1,5,0
"BID",8,2,100,1,2,0,10,10,1,2,12,18,7,0,2,3,0,2,5,631,7,16,6,1
"LINC00528",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"MICAL3",0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,182,0,3,0,0
"XXbac-B476C20.9",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,182,0,0,0,0
"PEX26",0,0,3,0,0,0,3,1,0,0,1,2,2,0,0,1,0,0,1,929,0,4,2,0
"USP18",0,0,1,0,1,0,10,0,0,0,1,0,0,1,0,0,0,0,0,33,0,0,0,0
"DGCR6",0,0,5,0,0,0,32,4,0,0,0,7,1,0,0,1,1,0,0,91,0,0,0,0
"PRODH",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,0,0
"DGCR2",3,0,1,0,1,0,14,2,1,1,0,7,1,1,1,3,0,0,0,518,0,2,0,2
"DGCR14",0,0,1,0,2,0,13,2,0,2,1,7,4,0,1,1,0,0,1,103,1,2,0,1
"SLC25A1",7,1,4,0,0,0,32,7,0,0,6,14,1,2,0,2,0,1,1,1285,0,3,0,1
"CLTCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"HIRA",2,1,0,0,0,0,2,0,0,0,1,2,1,0,1,2,0,0,0,107,0,0,1,0
"C22orf39",1,1,12,0,2,0,30,10,2,1,5,15,2,1,3,6,0,2,1,582,4,4,4,1
"MRPL40",6,2,10,0,0,0,52,12,2,1,6,19,2,4,3,5,0,3,0,851,9,14,1,1
"UFD1L",16,9,14,1,5,1,57,8,8,6,12,48,9,2,2,13,0,1,6,1094,14,15,4,2
"CDC45",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,1,3,0,0
"CLDN5",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,240
"GNB1L",1,3,2,0,2,0,6,5,1,0,0,6,0,0,0,1,1,0,0,75,1,4,1,0
"C22orf29",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
"TXNRD2",0,0,2,0,0,1,18,1,0,0,4,7,1,1,1,1,0,0,0,285,2,3,0,0
"COMT",38,0,33,2,0,14,143,8,6,2,14,42,7,7,4,5,4,4,4,1874,1,3,3,7
"ARVCF",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
"TANGO2",0,1,1,2,3,0,4,1,0,0,1,8,2,0,1,2,0,0,1,93,0,0,1,0
"DGCR8",0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,1,0,0,0,123,0,0,0,0
"TRMT2A",2,0,2,0,0,2,8,5,0,0,4,3,2,0,0,3,0,0,1,152,4,0,0,1
"RANBP1",24,6,58,2,10,7,139,30,6,14,36,121,14,3,23,37,4,3,9,4103,30,89,14,13
"ZDHHC8",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1
"DGCR6L",12,4,14,1,1,0,54,21,4,3,5,60,6,2,2,11,1,1,3,764,6,2,5,3
"ZNF74",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,34,0,0,0,0
"KLHL22",0,0,1,0,0,0,6,1,2,0,0,1,1,1,0,2,0,0,0,45,0,0,0,1
"MED15",2,0,4,0,1,0,14,4,0,1,0,10,4,0,1,1,0,0,0,230,0,1,0,1
"PI4KA",0,0,0,0,0,0,8,0,0,0,1,3,1,0,0,2,0,0,0,295,2,2,0,0
"SNAP29",22,0,24,1,2,0,41,10,4,1,3,21,2,0,2,7,0,0,0,757,3,7,6,4
"CRKL",1,1,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,1,170,0,3,0,0
"XXbac-B135H6.15",2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,3
"AIFM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0
"LZTR1",0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,1,0,0,0,87,0,0,0,0
"XXbac-B135H6.18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0
"THAP7",5,6,4,1,2,0,35,5,4,1,6,20,2,1,1,9,4,0,1,318,7,3,3,3
