"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-426C22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-231C14.7",0,0,5,1,22,0,1,1,5,0,0,0,0,0,0,3,0,1,2,0,4,1
"NPIPB11",0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0
"BOLA2",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-345J4.5",0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,8,1,0,1,0,3,0
"SLX1B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345J4.3",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPN",3,5,10,0,3,4,1,14,0,19,21,0,2,5,6,0,0,7,27,4,0,0
"QPRT",5,1,0,1,167,0,0,4,1,0,0,0,0,0,0,92,2,2,1,1,1,0
"C16orf54",1,4,2,0,3,0,0,5,4,5,3,0,3,0,0,0,0,2,2,0,0,0
"AC009133.17",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ZG16",3,1,2,6,66,0,1,8,2,3,5,0,1,0,2,1799,1,2,5,2,6,1
"KIF22",6,0,4,1,112,2,2,5,1,3,2,2,1,0,0,47,5,3,9,0,12,4
"AC009133.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MAZ",5,4,0,5,110,1,3,7,1,6,1,2,2,3,0,133,2,4,10,4,24,7
"AC009133.12",0,0,0,3,25,1,0,1,1,1,1,1,0,0,0,54,0,2,2,1,1,1
"PRRT2",1,0,0,3,71,0,0,0,0,0,0,2,1,0,0,8,1,0,1,0,0,8
"PAGR1",0,0,0,0,8,0,0,2,0,0,0,0,1,0,1,3,0,0,2,0,3,0
"MVP",17,2,4,11,340,2,4,5,0,3,5,2,1,0,0,199,2,3,22,2,35,6
"CDIPT",7,2,3,13,266,0,3,7,0,8,5,3,0,1,0,32,2,6,5,2,35,2
"CTD-2574D22.7",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEZ6L2",0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,26,1,0,0,0,0,0
"ASPHD1",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1
"KCTD13",0,0,0,0,10,0,0,3,0,3,0,0,1,0,0,14,0,0,3,0,3,2
"CTD-2574D22.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"TMEM219",32,4,15,20,395,2,11,24,4,16,10,3,2,0,5,180,10,13,48,5,86,25
