"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"GBX2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCA1",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ACKR3",0,14,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,20,0,1,0,0,0,0,27
"AC105760.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
"COPS8",14,34,3,1,8,1,50,2,1,1,7,2,1,9,0,0,0,52,3,3,6,6,3,86,94
"AC112715.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"COL6A3",7,725,0,0,6,0,851,1,0,0,0,0,3,6,0,0,1,758,1,0,1,2,0,18,22
"AC112721.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC112721.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MLPH",4,3,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,1,0,0,0,93,2
"RAB17",2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,49,2
"AC104667.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"LRRFIP1",252,62,24,24,61,3,62,13,10,5,88,15,68,93,17,8,11,176,9,44,46,37,40,404,293
"RBM44",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RAMP1",2,22,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,2
"UBE2F",60,25,3,8,31,1,15,3,2,0,8,4,3,25,2,2,2,37,5,3,3,6,6,101,112
"UBE2F-SCLY",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCLY",3,2,0,1,3,0,2,1,0,0,0,1,3,3,0,0,0,2,0,0,2,1,0,15,5
"ESPNL",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM132B",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"ILKAP",13,10,1,4,12,0,16,4,2,1,14,2,2,10,1,1,0,16,2,1,1,5,7,57,45
"HES6",3,2,1,0,1,0,3,0,0,0,4,0,2,3,0,0,1,2,0,0,0,1,1,75,5
"PER2",5,8,1,0,2,0,14,0,1,0,2,0,1,0,0,0,0,7,0,2,1,0,0,46,11
"TRAF3IP1",3,4,0,0,0,0,6,0,0,0,1,0,1,1,0,1,0,16,1,0,1,1,0,32,16
"ASB1",7,5,2,1,8,0,4,1,0,0,3,2,0,5,0,3,2,12,0,1,1,4,2,20,5
"TWIST2",0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDAC4",1,7,2,0,1,0,11,0,1,1,3,0,0,2,0,0,0,5,0,1,0,0,2,15,6
"AC062017.1",1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,6,0,1,1,3,0,6,0
"AC093802.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NDUFA10",59,32,2,9,13,0,41,4,6,2,18,4,14,14,1,6,2,74,6,7,5,10,4,351,81
"MYEOV2",149,93,12,20,44,2,142,7,13,1,38,10,21,60,3,6,9,182,17,13,23,24,34,503,328
"GPC1",1,21,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,35,1,1,0,1,0,7,2
"ANKMY1",1,3,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,1,0,1,2,1,1,10,5
"DUSP28",5,1,0,0,0,1,3,0,0,0,1,1,2,3,0,1,1,5,1,0,0,3,0,16,6
"RNPEPL1",28,3,4,8,6,1,8,2,1,0,4,1,6,12,3,4,2,16,5,2,3,7,2,64,56
"CAPN10-AS1",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,0,0,0,1,6,6
"CAPN10",3,1,1,1,3,0,2,1,1,0,1,0,1,3,1,0,1,3,0,0,0,1,0,16,10
"GPR35",18,1,0,0,0,0,2,0,0,0,14,1,1,2,0,2,1,0,1,2,0,0,2,64,2
"AGXT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"C2orf54",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"SNED1",1,4,0,0,1,0,13,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,21
"MTERF4",9,8,4,4,6,0,9,1,1,1,7,4,9,22,4,3,1,29,5,1,1,1,7,70,34
"PASK",3,1,0,0,2,0,1,2,1,0,0,0,2,4,0,0,0,2,1,0,3,0,4,3,13
"PPP1R7",51,29,1,4,19,1,36,6,3,1,15,5,9,27,4,2,4,50,8,4,3,7,9,180,57
"ANO7",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,7,5
"HDLBP",87,103,5,8,15,0,104,3,2,1,28,2,4,18,0,2,3,154,34,7,10,13,6,403,161
"SEPT2",92,79,6,10,27,0,121,9,8,6,79,3,17,31,2,4,6,214,10,14,16,12,21,274,340
"FARP2",7,2,0,1,3,0,8,0,0,1,1,0,2,7,0,0,0,13,2,0,1,0,0,84,15
"STK25",16,20,1,0,7,1,23,2,1,3,4,1,2,4,1,0,2,41,2,3,1,3,3,78,89
"BOK-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"BOK",0,6,0,0,0,0,3,0,0,2,0,0,1,3,0,0,0,10,0,0,0,0,0,12,38
"THAP4",10,2,1,2,3,0,15,1,1,0,3,0,2,2,1,1,0,19,3,1,5,1,2,96,25
"ATG4B",18,10,4,0,12,0,8,1,1,0,6,1,7,7,2,2,4,31,2,0,1,3,4,74,33
"DTYMK",31,21,1,5,6,0,17,1,1,0,4,2,5,13,0,0,1,39,2,2,9,28,4,119,63
"AC133528.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"ING5",3,2,0,0,1,0,3,0,2,0,3,1,1,6,1,0,2,7,2,1,2,2,1,35,4
"D2HGDH",5,7,3,2,2,0,7,1,0,1,3,0,4,8,1,2,2,16,1,0,1,4,1,61,23
"AC114730.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GAL3ST2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC114730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"NEU4",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1
"PDCD1",0,0,0,0,11,0,0,0,1,0,0,0,1,8,0,0,3,0,0,0,0,4,1,2,1
"AC093642.3",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"CHL1",0,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01266",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTN4",0,19,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,1,0,1
"IL5RA",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2,0,0,0,0,0,0
"TRNT1",6,13,1,1,0,1,9,0,0,2,4,3,6,6,2,1,2,14,3,0,0,1,1,50,26
"CRBN",13,17,4,2,8,2,26,2,4,4,30,2,13,13,6,3,2,33,3,0,10,4,4,83,119
"RP11-97C16.1",0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,5,0
"SUMF1",18,18,1,3,1,1,16,0,0,1,3,0,1,1,1,0,0,15,0,3,3,0,1,45,24
"LRRN1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"SETMAR",2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,4,1
"ITPR1-AS1",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ITPR1",16,10,5,0,6,1,22,3,5,0,7,0,9,7,2,0,2,45,1,0,2,3,5,4,23
"EGOT",1,20,0,4,0,0,11,1,0,0,0,0,1,1,0,0,0,8,0,0,0,0,2,0,12
"AC018816.3",1,2,1,0,4,0,1,2,1,1,0,0,3,2,0,0,0,1,0,0,1,0,2,2,32
"BHLHE40-AS1",0,0,0,0,1,2,0,10,2,0,0,1,6,2,0,0,1,0,0,0,3,2,2,3,1
"BHLHE40",71,110,6,15,18,0,87,7,5,0,131,0,27,23,2,5,6,113,3,22,12,9,9,237,226
"ARL8B",88,24,0,4,9,0,20,4,2,0,6,2,3,5,1,0,1,30,1,5,5,6,7,85,52
"AC026202.3",1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1
"EDEM1",30,16,1,5,9,0,3,1,0,0,5,4,1,9,1,1,2,18,8,3,4,6,2,42,33
"AC069277.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRM7-AS1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMCD1-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"AC023481.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"LMCD1",0,72,0,0,5,0,27,4,1,1,5,0,1,3,0,0,1,86,0,0,1,1,5,8,106
"SSUH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,9
"OXTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
"RAD18",3,3,0,0,0,0,4,0,0,0,2,0,1,8,0,1,1,7,0,1,0,2,0,20,10
"SRGAP3",23,0,6,4,48,0,6,3,4,7,11,0,8,26,0,0,5,1,0,0,1,8,3,13,0
"RP11-380O24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"THUMPD3-AS1",22,15,8,4,23,3,39,4,7,5,24,6,15,51,4,8,7,64,5,3,11,16,16,215,90
"THUMPD3",26,11,0,2,2,0,21,0,1,0,8,0,2,10,0,0,1,21,2,0,2,3,1,79,25
"SETD5",29,35,6,1,12,2,64,3,6,2,15,5,12,23,4,2,4,86,13,3,11,5,11,151,146
"LHFPL4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,1
"MTMR14",32,6,1,8,1,0,7,2,0,0,3,3,2,4,0,0,3,12,2,0,2,3,3,37,26
"CPNE9",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BRPF1",10,1,0,2,1,0,2,0,0,0,1,0,2,1,0,1,1,1,0,0,0,1,0,10,11
"OGG1",3,5,0,0,8,0,8,0,3,0,6,0,3,4,0,2,2,5,1,0,1,3,3,22,13
"CAMK1",72,6,0,4,5,0,11,2,0,0,11,0,2,9,0,2,0,31,0,4,0,1,3,7,19
"TADA3",49,16,2,8,10,1,45,4,3,0,8,2,5,12,2,2,3,50,2,3,2,6,7,86,33
"ARPC4",181,47,7,22,39,3,45,13,7,1,27,11,22,49,6,11,5,137,6,22,19,25,21,249,159
"TTLL3",4,2,1,1,2,0,8,0,0,1,0,0,0,4,0,1,1,12,1,0,1,2,1,25,10
"RP11-266J6.2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPUSD3",14,9,1,0,5,0,9,0,0,0,4,2,1,5,1,2,0,16,2,0,1,3,2,51,28
"JAGN1",28,25,0,2,2,0,26,2,1,0,10,1,3,3,0,1,1,40,2,3,5,2,1,118,43
"IL17RE",0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,37,2
"IL17RC",6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,33,8
"CRELD1",7,8,0,0,4,0,10,1,0,1,1,0,1,3,0,1,0,16,1,0,1,1,3,35,27
"PRRT3",1,4,0,0,1,0,5,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,1,7,3
"PRRT3-AS1",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
"EMC3",53,48,2,3,9,1,39,2,1,1,15,5,3,11,2,2,1,39,3,1,4,2,2,144,69
"AC022007.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"FANCD2",3,2,0,1,1,0,2,1,0,0,1,0,0,3,0,0,1,5,0,0,3,6,2,20,5
"BRK1",227,145,13,47,48,1,196,23,11,3,82,18,37,57,9,9,9,353,23,22,20,37,31,456,481
"VHL",23,14,1,6,8,0,14,2,2,1,12,5,12,19,1,2,2,35,0,2,4,1,4,51,42
"IRAK2",15,2,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,2,1,4,0,0,1,2,11
"TATDN2",12,4,1,0,3,0,4,1,0,0,2,1,3,7,2,0,0,8,6,0,1,2,2,26,15
"LINC00852",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GHRL",12,2,1,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,1
"GHRLOS",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0
"SEC13",31,30,1,8,4,0,34,2,1,0,7,3,2,5,1,3,0,62,10,4,3,2,2,182,83
"SLC6A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"HRH1",10,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,57,75
"ATG7",27,16,1,0,1,0,9,0,0,0,4,0,1,2,0,0,0,9,1,1,2,1,3,23,32
"VGLL4",15,85,1,1,14,0,81,1,0,2,9,1,3,5,1,4,2,88,2,0,3,2,1,122,172
"TAMM41",5,2,1,0,4,0,12,1,0,0,3,0,0,1,0,1,0,2,1,1,3,1,2,17,9
"TIMP4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PPARG",2,0,0,1,1,0,2,2,3,0,0,1,0,0,0,0,1,6,0,0,3,0,0,44,8
"TSEN2",1,0,0,1,0,0,4,0,0,0,1,0,2,1,0,0,2,1,1,0,2,0,1,29,7
"MKRN2OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"MKRN2",4,9,1,0,5,0,4,1,1,1,1,0,1,3,0,1,0,6,2,0,0,0,2,26,17
"RAF1",22,16,0,3,14,1,24,2,4,0,7,3,9,7,3,5,1,37,5,5,7,5,7,75,75
"CAND2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"RPL32",1733,1536,303,470,660,62,2536,141,178,110,1412,502,791,1139,236,231,250,2739,477,342,287,316,348,12391,4131
"IQSEC1",21,11,0,0,4,0,18,1,0,1,2,2,3,10,1,0,2,37,3,1,1,1,2,12,77
"NUP210",13,0,5,2,14,0,2,0,2,0,2,7,7,11,0,1,2,0,5,1,9,7,4,29,4
"HDAC11",5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,1,2,0,28,7
"FBLN2",0,59,0,0,0,0,107,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,2,23
"WNT7A",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRXL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2
"CHCHD4",14,7,0,0,4,0,3,0,1,0,3,0,0,2,0,0,0,12,5,4,1,0,1,42,23
"TMEM43",13,26,2,1,7,0,27,1,1,1,3,2,4,9,2,0,4,27,0,1,1,1,2,45,51
"RP11-434D12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC093495.4",1,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,1,5
"XPC",16,22,4,2,17,0,32,1,1,2,3,2,12,13,3,5,5,33,4,5,6,9,7,58,60
"LSM3",119,44,7,14,30,3,88,3,3,2,29,10,16,31,1,2,4,126,18,7,22,21,12,420,114
"SLC6A6",41,52,3,3,11,1,7,3,1,2,6,0,8,13,2,4,2,21,1,4,4,3,5,26,84
"GRIP2",0,7,0,1,0,0,7,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,3,2
"CCDC174",20,19,5,2,13,1,22,2,3,0,5,2,3,16,1,2,1,16,3,2,6,4,6,55,41
"FGD5",8,3,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2,114
"FGD5-AS1",23,27,4,6,15,2,36,2,0,2,11,2,2,8,0,0,0,46,3,4,3,7,2,110,83
"NR2C2",4,13,0,2,4,2,14,3,1,1,2,1,3,8,1,1,1,18,0,0,1,4,2,30,33
"MRPS25",31,14,2,4,7,0,31,1,2,0,9,6,3,6,0,0,2,46,6,3,4,4,7,197,58
"RBSN",5,5,0,1,6,0,14,2,1,1,5,0,3,1,0,1,1,12,1,1,2,1,1,25,14
"CAPN7",13,10,3,1,5,0,22,0,0,0,6,2,3,11,1,1,0,13,4,0,0,4,2,55,32
"SH3BP5-AS1",1,3,0,0,0,0,3,0,0,0,2,0,0,3,1,1,0,1,1,0,0,0,0,1,0
"SH3BP5",37,19,1,2,1,0,56,0,1,0,0,13,4,6,1,3,0,6,3,7,4,4,4,6,138
"METTL6",8,6,0,1,2,0,8,0,0,1,4,1,0,1,0,0,0,6,1,0,3,1,2,14,8
"EAF1",17,9,2,0,1,0,5,0,0,2,5,2,4,6,0,3,0,19,2,2,2,3,3,58,24
"EAF1-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0
"COLQ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HACL1",5,3,1,0,3,0,4,0,2,0,5,2,3,9,0,2,0,7,3,1,2,3,3,33,21
"BTD",4,3,0,0,1,0,4,0,0,0,3,0,3,0,2,0,0,5,1,1,0,1,2,25,10
"ANKRD28",27,54,13,11,74,2,73,16,42,1,104,5,64,105,9,4,3,124,146,3,26,43,10,81,272
"GALNT15",0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"DPH3",48,12,4,5,7,0,15,4,1,1,10,1,5,10,1,0,1,36,4,2,5,4,3,83,56
"OXNAD1",7,0,7,0,14,2,1,3,3,0,12,2,22,26,5,1,2,8,0,0,6,11,13,27,8
"RFTN1",16,31,5,5,10,1,34,3,6,1,13,1,8,12,2,3,4,121,4,2,6,5,8,6,92
"RP11-415F23.2",0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2
"RP11-415F23.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAZL",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC091493.2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PLCL2",4,2,0,1,0,0,2,0,2,0,0,0,2,2,0,1,0,1,1,0,0,0,1,3,19
"TBC1D5",29,12,1,6,8,1,19,1,1,0,3,2,6,8,1,2,1,13,4,2,6,3,3,46,45
"SATB1",24,7,3,4,3,1,19,0,0,0,12,1,15,8,5,0,2,14,0,6,1,3,12,35,32
"KCNH8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0
"RAB5A",55,24,0,0,5,0,27,2,4,2,9,3,6,16,0,2,1,37,6,3,3,2,4,126,90
"KAT2B",12,2,1,3,8,0,2,1,2,0,5,0,4,5,0,1,3,3,1,1,2,3,10,13,17
"SGOL1",6,1,0,2,3,0,0,0,0,0,1,1,2,1,0,0,0,2,0,0,4,8,0,36,8
"RP11-669C19.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF385D",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,43
"UBE2E2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2E2",65,24,0,5,0,0,19,0,0,1,0,0,1,0,0,0,0,104,1,8,0,0,0,9,31
"UBE2E1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"UBE2E1",56,40,0,12,3,1,32,2,1,2,11,3,3,10,1,1,1,92,4,2,3,2,2,131,71
"NKIRAS1",5,3,0,1,1,0,4,0,0,0,0,0,1,1,0,0,0,3,1,0,1,0,0,3,10
"RPL15",1495,1124,151,403,397,36,1801,121,127,65,807,288,411,605,128,124,115,2367,390,223,191,206,278,7499,3780
"NR1D2",12,7,0,0,1,0,16,0,1,0,1,1,4,2,1,1,2,35,3,2,1,0,6,41,59
"LINC00691",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THRB",0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13,0
"RARB",1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,6
"TOP2B",31,21,3,6,9,1,29,2,6,0,9,1,8,9,4,5,4,40,8,4,4,7,8,106,59
"NGLY1",19,5,4,4,6,0,7,1,1,0,2,2,2,11,0,1,0,20,13,2,5,3,6,56,26
"OXSM",0,2,0,2,2,0,2,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,33,5
"NEK10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,9
"SLC4A7",52,14,4,4,17,1,24,5,4,2,5,7,16,22,1,1,5,54,0,1,11,10,3,47,105
"RP11-222K16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-222K16.2",0,0,1,0,3,2,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,1
"EOMES",0,0,4,0,3,2,0,0,0,0,0,0,1,6,0,5,9,0,0,0,0,3,0,0,0
"CMC1",36,12,17,5,21,3,19,1,0,1,6,0,5,35,3,42,34,35,2,1,3,4,5,247,61
"AZI2",30,22,2,0,8,0,53,3,2,0,4,0,0,6,0,0,1,27,0,1,4,6,1,77,46
"ZCWPW2",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"RBMS3-AS3",0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBMS3",0,49,0,0,0,0,86,0,0,0,0,0,0,0,0,1,0,95,0,0,1,1,0,0,58
"AC116035.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"TGFBR2",43,45,3,0,20,0,103,2,3,5,29,1,7,17,3,1,4,62,5,5,5,7,0,72,510
"STT3B",46,20,4,0,8,0,30,5,0,1,11,3,7,12,5,1,3,34,7,1,5,2,5,180,113
"OSBPL10",1,8,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,9,2,0,0,1,0,11,18
"OSBPL10-AS1",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3
"ZNF860",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"GPD1L",8,0,0,0,1,1,1,0,0,0,3,0,0,2,1,1,2,5,0,1,2,1,0,47,5
"CMTM8",0,2,1,0,1,1,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,41,18
"CMTM7",43,1,1,6,5,1,6,1,1,0,2,4,8,12,7,0,1,9,4,1,4,6,4,22,48
"CMTM6",218,74,3,18,32,1,68,5,14,1,48,23,23,27,3,7,3,111,11,31,23,23,30,240,137
"DYNC1LI1",48,18,2,5,11,0,33,1,1,1,9,0,6,8,1,1,1,48,3,4,3,3,1,77,58
"CNOT10",8,5,1,5,2,0,5,0,2,1,5,0,5,3,1,0,1,9,2,1,5,2,2,24,28
"CCR4",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0
"GLB1",33,16,3,0,2,1,15,2,0,0,8,1,1,1,0,0,0,18,1,2,3,2,2,82,26
"TMPPE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CRTAP",57,63,5,4,2,0,98,0,1,3,23,3,4,4,2,1,0,141,4,5,0,2,4,66,89
"SUSD5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"FBXL2",0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9
"UBP1",21,13,1,1,6,0,14,2,1,1,5,0,1,7,3,0,2,40,2,1,5,2,1,85,41
"CLASP2",16,10,2,1,5,0,9,0,0,1,3,1,3,5,1,2,1,16,4,3,1,1,2,37,53
"RP11-10C24.2",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"RP11-10C24.3",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,20,5
"RP11-10C24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"PDCD6IP",35,29,1,0,13,0,39,2,1,5,18,4,10,14,3,4,5,44,7,8,2,2,3,226,120
"AC123023.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"STAC",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCLK3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,1
"TRANK1",4,5,3,0,3,1,6,0,1,1,1,3,2,4,1,1,0,17,7,1,1,4,4,21,12
"EPM2AIP1",19,17,5,2,9,1,16,2,3,0,11,3,3,14,3,0,3,40,1,1,2,6,7,57,36
"MLH1",11,4,1,0,1,0,2,0,0,0,5,1,1,3,1,0,0,9,1,1,2,0,3,26,14
"LRRFIP2",41,32,1,4,7,0,25,2,0,1,5,2,7,4,1,0,0,95,3,2,3,5,3,172,115
"RP11-285J16.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
