"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"NCOA5",5,5,0,0,3,0,4,0,1,0,0,1,1,1,0,1,0,6,0,0,2,2,2,12,11
"CD40",215,15,0,3,1,0,27,1,0,0,0,8,0,0,0,0,0,62,2,1,0,0,2,17,111
"SLC35C2",18,15,0,4,6,0,21,1,0,3,7,0,5,8,3,2,1,33,6,2,3,2,4,110,26
"ELMO2",8,2,2,1,2,1,5,1,0,0,0,0,0,4,0,3,0,13,0,1,1,6,1,13,15
"ZNF334",4,2,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,17,2
"OCSTAMP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC13A3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
"TP53RK",16,14,1,4,4,1,14,1,1,0,4,0,3,8,0,0,1,30,0,2,2,1,1,112,29
"RP1-28H20.3",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SLC2A10",0,13,0,0,0,0,9,0,0,1,3,0,0,0,0,0,0,17,0,0,0,0,0,41,12
"EYA2",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
"ZMYND8",17,10,9,4,9,1,26,2,3,3,13,2,8,21,3,1,6,38,9,0,8,1,8,271,44
"RP4-569M23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NCOA3",32,20,2,11,11,0,20,3,3,2,6,8,6,20,4,5,5,26,20,9,7,6,15,68,89
"SULF2",12,42,2,2,3,0,30,0,0,5,4,2,1,2,1,1,0,7,6,3,1,0,3,80,97
"LINC00494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PREX1",52,1,5,7,20,0,5,2,3,0,1,5,13,26,3,6,7,0,1,8,6,7,4,8,111
"RP5-906C1.1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ARFGEF2",13,8,0,2,3,0,6,0,0,0,1,2,1,4,0,1,0,11,2,1,0,2,2,69,42
"CSE1L-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSE1L",22,6,1,2,6,0,7,0,2,1,2,1,0,3,2,0,2,19,0,3,2,5,3,124,37
"STAU1",51,53,7,3,18,2,78,2,1,4,14,0,11,23,4,7,1,115,11,7,7,6,9,400,148
"DDX27",37,25,4,5,9,2,15,2,3,2,22,5,8,15,5,3,4,30,9,3,8,7,10,235,44
"ZNFX1",25,18,1,4,12,0,25,3,1,0,9,4,12,14,1,1,1,31,1,4,8,9,5,81,71
"ZFAS1",147,121,15,26,41,1,210,19,12,4,96,29,34,62,8,12,15,238,21,25,26,17,22,1857,282
"KCNB1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"PTGIS",1,14,0,0,4,0,66,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,3,1
"B4GALT5",37,14,3,0,8,0,13,1,2,1,30,1,0,5,0,0,1,13,0,6,1,2,0,187,51
"SLC9A8",5,2,0,0,1,1,1,0,0,0,0,0,3,2,0,0,0,3,0,0,1,1,1,31,8
"SPATA2",4,2,1,1,2,0,2,0,0,0,0,1,1,1,0,0,0,3,1,0,2,1,0,36,9
"RNF114",58,42,4,8,15,0,37,3,2,2,14,3,12,18,3,4,4,53,3,4,6,8,12,556,76
"SNAI1",13,14,0,6,0,0,6,0,0,0,1,0,0,0,0,0,0,29,0,3,0,0,0,8,46
"UBE2V1",3,7,1,1,5,0,7,0,1,0,2,0,2,1,0,3,2,12,2,2,0,0,2,37,22
"TMEM189",27,16,0,0,3,0,7,0,1,0,5,1,3,3,0,1,0,23,0,2,3,6,2,70,56
"LINC01273",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"CEBPB-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CEBPB",149,158,3,2,7,0,195,1,1,1,5,0,5,9,2,3,0,95,3,33,2,2,0,132,19
"LINC01272",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0
"LINC01270",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPN1",84,26,3,14,19,1,24,5,6,0,15,14,11,34,6,4,3,76,14,7,6,9,10,91,36
"RP4-530I15.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM65C",0,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,3
"RP4-530I15.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARD6B",1,0,0,0,2,1,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,1,1,146,3
"BCAS4",1,4,0,0,7,0,4,1,0,0,2,7,5,13,0,0,1,2,0,1,1,2,1,11,1
"ADNP",12,18,3,1,5,0,15,3,2,0,6,2,3,4,0,1,3,22,2,2,2,3,2,72,48
"ADNP-AS1",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"DPM1",44,36,6,3,19,0,45,5,2,0,19,2,14,16,3,2,2,52,6,5,7,6,5,290,72
"MOCS3",2,4,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,22,3
"KCNG1",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"NFATC2",19,4,6,2,11,1,8,1,1,0,8,5,12,27,5,6,6,40,2,3,7,6,6,13,20
"ATP9A",3,15,0,0,0,0,10,3,1,0,0,1,0,0,0,0,0,11,1,0,0,0,2,136,6
"SALL4",0,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LINC01429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZFP64",1,6,1,1,1,0,4,0,0,0,0,0,1,1,1,0,0,7,0,0,0,1,0,29,8
"TSHZ2",0,120,1,0,7,0,202,4,2,2,1,3,6,4,0,1,1,8,3,0,1,5,6,10,145
"RP11-15M15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP4-669H2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-724E16.2",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,1,0,3,0
"ZNF217",14,12,1,5,11,0,12,1,3,1,7,2,8,14,4,0,2,15,1,2,3,6,4,120,40
"BCAS1",0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,114,0
"AC005220.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
